Headcount by Major by Level,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Engineering,SENG,7598,-0.4%,5,-58.3%,770,5.8%,,,5,-58.3%,
,Subtotal,,,1323,6.2%,,,,,9691,0.9%,
G. Bush,BUSH,,,76,20.6%,,,,,76,20.6%,
"School of
Govt","INTA
Subtotal",,,"41
117","100.0%
85.7%",,,,,"41
117","100.0%
85.7%",
Geosciences,ATMO,,,42,23.5%,13,30.0%,,,55,25.0%,
,ESCI,15,-6.3%,,,,,,,15,-6.3%,
,GEOG,150,2.0%,19,5.6%,25,25.0%,,,194,4.9%,
,GEOL,100,3.1%,49,-10.9%,23,4.5%,,,172,-1.1%,
,GEOP,16,-20.0%,19,5.6%,18,-5.3%,,,53,-7.0%,
,GEOS,,,2,-50.0%,,,,,2,-50.0%,
,METR,169,9.7%,3,-25.0%,3,-25.0%,,,175,8.0%,
,OCNG,,,45,-11.8%,33,10.0%,,,78,-3.7%,
,Subtotal,450,3.7%,179,-2.7%,115,9.5%,,,744,2.9%,
Liberal Arts,AMST,18,260.0%,,,,,,,18,260.0%,
,ANTH,132,13.8%,73,-11.0%,36,-7.7%,,,241,1.7%,
,COML,,,1,100.0%,,,,,1,100.0%,
,ECON,662,14.5%,46,31.4%,49,-14.0%,,,757,13.0%,
,ENGL,577,1.9%,48,14.3%,61,-17.6%,,,686,0.6%,
,FREN,9,-40.0%,,,,,,,9,-40.0%,
,GERM,10,11.1%,,,,,,,10,11.1%,
,HIST,514,2.0%,32,23.1%,46,4.5%,,,592,3.1%,
,INTS,322,20.6%,,,,,,,322,20.6%,
,JOUL,0,-100.0%,,,,,,,0,-100.0%,
,JOUR,622,-22.1%,1,100.0%,,,,,623,-21.9%,
,MODL,2,100.0%,16,23.1%,,,,,18,28.6%,
,MUSC,27,237.5%,,,,,,,27,237.5%,
,PHIL,97,27.6%,33,17.9%,5,100.0%,,,135,29.8%,
,POLL,1,0.0%,,,,,,,1,0.0%,
,POLS,958,12.0%,23,4.5%,36,16.1%,,,1017,12.0%,
,PSYC,1437,5.6%,36,-14.3%,60,9.1%,,,1533,5.1%,
,RUSS,10,25.0%,,,,,,,10,25.0%,
,SCOM,812,13.2%,15,0.0%,29,16.0%,,,856,13.1%,
,SOCI,262,8.3%,27,8.0%,38,2.7%,,,327,7.6%,
,SPAN,64,10.3%,,,,,,,64,10.3%,
,STJR,,,15,25.0%,,,,,15,25.0%,
,TCMS,12,100.0%,,,,,,,12,100.0%,
,THAR,62,19.2%,,,,,,,62,19.2%,
,Subtotal,6610,5.8%,366,7.0%,360,-0.6%,,,7336,5.5%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
