Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,450,3.7%,179,-2.7%,115,9.5%,,,744,2.9%,
Gender,Female,202,4.1%,69,-1.4%,40,37.9%,,,311,6.1%,
,Male,248,3.3%,110,-3.5%,75,-1.3%,,,433,0.7%,
Ethnicity,White,399,5.6%,110,-14.1%,49,11.4%,,,558,1.5%,
,Black,7,16.7%,,,,,,,7,16.7%,
,Hispanic,34,6.3%,10,100.0%,3,200.0%,,,47,23.7%,
,Asian,3,-50.0%,2,0.0%,2,100.0%,,,7,-22.2%,
,American Indian,1,-75.0%,2,100.0%,,,,,3,-40.0%,
,International,1,-75.0%,50,13.6%,60,1.7%,,,111,3.7%,
,Unknown/Other,5,25.0%,5,25.0%,1,100.0%,,,11,37.5%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,268,4.7%,2,100.0%,,,,,270,5.1%,
,22-25,139,3.0%,78,-4.9%,2,-66.7%,,,219,-1.8%,
,26-30,26,-3.7%,59,-14.5%,29,-3.3%,,,114,-9.5%,
,31-39,10,-9.1%,32,23.1%,67,28.8%,,,109,22.5%,
,40+,6,20.0%,8,33.3%,17,0.0%,,,31,10.7%,
Enrollment,1st Time in College,82,36.7%,,,,,,,82,36.7%,
Status,1st Time PB,2,0.0%,12,100.0%,,,,,14,600.0%,
,1st Time Graduate,,,53,47.2%,10,-33.3%,,,63,23.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,18,-50.0%,,,,,,,18,-50.0%,
,Readmitted,7,250.0%,1,100.0%,1,100.0%,,,9,350.0%,
,Continuing,341,2.1%,113,-23.6%,104,15.6%,,,558,-2.4%,
Tuition,Resident Tuition,424,5.0%,52,-13.3%,21,23.5%,,,497,3.3%,
Status,Non-Resident Tuition,10,-33.3%,24,-14.3%,21,-16.0%,,,55,-19.1%,
,Tuition Exemption/Waiver,16,6.7%,103,7.3%,73,15.9%,,,192,10.3%,
Residency,Texas Resident,425,4.7%,51,-16.4%,22,29.4%,,,498,2.9%,
Status,"Non-TX, US Resident",24,0.0%,79,0.0%,32,14.3%,,,135,3.1%,
,"Non-TX, Non-US Resident",1,-75.0%,49,11.4%,61,1.7%,,,111,2.8%,
SCH,< 6 SCH,6,200.0%,32,3.2%,28,27.3%,,,66,20.0%,
Categories,6-8 SCH,10,-33.3%,2,-60.0%,2,0.0%,,,14,-36.4%,
,9-11 SCH,17,-5.6%,112,5.7%,84,5.0%,,,213,4.4%,
,12-14 SCH,299,6.0%,25,-24.2%,1,0.0%,,,325,2.8%,
,15-17 SCH,108,3.8%,0,-100.0%,,,,,108,1.9%,
,>17 SCH,10,-23.1%,8,14.3%,,,,,18,-10.0%,
Ft/Pt:,Less Than Half Time,5,150.0%,29,3.6%,25,13.6%,,,59,13.5%,
TAMU,Half-Time,9,-40.0%,5,-37.5%,5,150.0%,,,19,-24.0%,
Status,Three-Quarter Time,16,-11.1%,,,,,,,16,-11.1%,
,Full-Time,420,5.3%,145,-2.0%,85,4.9%,,,650,3.5%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
