Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,345",-5.2%,358,8.8%,90,2.3%,,,"1,793",-2.3%,
Gender,Female,450,-6.8%,136,19.3%,25,13.6%,,,611,-1.3%,
,Male,895,-4.4%,222,3.3%,65,-1.5%,,,"1,182",-2.9%,
Ethnicity,White,"1,147",-4.9%,145,2.8%,25,-19.4%,,,"1,317",-4.4%,
,Black,14,-17.6%,6,100.0%,1,-66.7%,,,21,-8.7%,
,Hispanic,120,0.0%,16,6.7%,4,100.0%,,,140,2.2%,
,Asian,34,21.4%,7,-12.5%,1,0.0%,,,42,13.5%,
,American Indian,7,-22.2%,1,0.0%,,,,,8,-20.0%,
,International,5,-54.5%,177,12.0%,58,16.0%,,,240,9.6%,
,Unknown/Other,18,-35.7%,6,100.0%,1,0.0%,,,25,-21.9%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,799,-7.6%,0,-100.0%,,,,,799,-7.9%,
,22-25,500,-2.9%,185,24.2%,0,-100.0%,,,685,2.9%,
,26-30,27,22.7%,123,0.0%,19,0.0%,,,169,3.0%,
,31-39,13,0.0%,42,5.0%,51,18.6%,,,106,10.4%,
,40+,5,25.0%,8,-42.9%,20,-16.7%,,,33,-21.4%,
Enrollment,1st Time in College,152,4.1%,,,,,,,152,4.1%,
Status,1st Time PB,,,5,100.0%,,,,,5,100.0%,
,1st Time Graduate,,,143,-0.7%,13,0.0%,,,156,-0.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,61,-9.0%,,,,,,,61,-9.0%,
,Readmitted,7,-36.4%,0,-100.0%,,,,,7,-53.3%,
,Continuing,"1,125",-5.9%,210,16.0%,77,2.7%,,,"1,412",-2.7%,
Tuition,Resident Tuition,"1,297",-4.7%,142,1.4%,26,-10.3%,,,"1,465",-4.2%,
Status,Non-Resident Tuition,31,-3.1%,62,21.6%,19,-26.9%,,,112,2.8%,
,Tuition Exemption/Waiver,17,-34.6%,154,11.6%,45,36.4%,,,216,9.6%,
Residency,Texas Resident,"1,297",-4.7%,143,1.4%,26,-10.3%,,,"1,466",-4.2%,
Status,"Non-TX, US Resident",43,-8.5%,38,26.7%,4,-55.6%,,,85,-1.2%,
,"Non-TX, Non-US Resident",5,-54.5%,177,12.0%,60,20.0%,,,242,10.5%,
SCH,< 6 SCH,4,-77.8%,44,-15.4%,27,-15.6%,,,75,-26.5%,
Categories,6-8 SCH,32,-5.9%,13,44.4%,4,0.0%,,,49,4.3%,
,9-11 SCH,71,-20.2%,110,-9.1%,53,23.3%,,,234,-7.5%,
,12-14 SCH,840,-3.9%,151,31.3%,4,-33.3%,,,995,0.0%,
,15-17 SCH,371,0.5%,40,33.3%,2,-33.3%,,,413,2.7%,
,>17 SCH,27,-22.9%,0,-100.0%,,,,,27,-27.0%,
Ft/Pt:,Less Than Half Time,3,-81.3%,33,-13.2%,25,-7.4%,,,61,-24.7%,
TAMU,Half-Time,31,-8.8%,24,4.3%,6,-33.3%,,,61,-7.6%,
Status,Three-Quarter Time,71,-19.3%,,,,,,,71,-19.3%,
,Full-Time,"1,240",-3.2%,301,12.3%,59,13.5%,,,"1,600",-0.1%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
