Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Education,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,411",10.4%,559,0.0%,626,-0.3%,,,"4,596",7.5%,
Gender,Female,"2,772",9.3%,411,1.2%,418,2.0%,,,"3,601",7.5%,
,Male,639,15.3%,148,-3.3%,208,-4.6%,,,995,7.6%,
Ethnicity,White,"3,024",10.5%,432,4.9%,422,0.5%,,,"3,878",8.7%,
,Black,65,27.5%,20,-44.4%,63,-4.5%,,,148,-3.3%,
,Hispanic,234,8.3%,55,-9.8%,75,-11.8%,,,364,0.6%,
,Asian,30,25.0%,8,100.0%,4,-20.0%,,,42,27.3%,
,American Indian,25,25.0%,3,0.0%,4,300.0%,,,32,33.3%,
,International,8,14.3%,35,0.0%,50,19.0%,,,93,10.7%,
,Unknown/Other,25,-28.6%,6,-25.0%,8,-11.1%,,,39,-25.0%,
TAMU Age,<18,5,400.0%,,,,,,,5,400.0%,
Categories,18-21,"2,138",5.7%,4,100.0%,,,,,"2,142",5.8%,
,22-25,"1,170",20.1%,186,4.5%,21,0.0%,,,"1,377",17.4%,
,26-30,56,3.7%,129,3.2%,114,7.5%,,,299,4.9%,
,31-39,30,11.1%,121,8.0%,209,7.2%,,,360,7.8%,
,40+,12,9.1%,119,-16.2%,282,-7.8%,,,413,-10.0%,
Enrollment,1st Time in College,363,23.9%,,,,,,,363,23.9%,
Status,1st Time PB,4,100.0%,81,100.0%,,,,,85,4150.0%,
,1st Time Graduate,,,162,8.0%,82,41.4%,,,244,17.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,321,8.4%,,,,,,,321,8.4%,
,Readmitted,37,0.0%,4,300.0%,5,-16.7%,,,46,4.5%,
,Continuing,"2,686",9.1%,312,-23.5%,539,-4.4%,,,"3,537",3.0%,
Tuition,Resident Tuition,"3,328",10.5%,470,2.2%,525,-0.8%,,,"4,323",8.0%,
Status,Non-Resident Tuition,47,-4.1%,44,-6.4%,39,-4.9%,,,130,-5.1%,
,Tuition Exemption/Waiver,36,33.3%,45,-13.5%,62,6.9%,,,143,4.4%,
Residency,Texas Resident,"3,329",10.5%,477,2.6%,525,-0.9%,,,"4,331",8.0%,
Status,"Non-TX, US Resident",74,8.8%,47,-20.3%,50,-10.7%,,,171,-6.6%,
,"Non-TX, Non-US Resident",8,14.3%,35,0.0%,51,21.4%,,,94,11.9%,
SCH,< 6 SCH,16,-52.9%,133,-26.1%,286,-4.3%,,,435,-15.2%,
Categories,6-8 SCH,194,19.0%,183,8.3%,94,40.3%,,,471,18.0%,
,9-11 SCH,237,15.6%,174,17.6%,202,-3.8%,,,613,8.9%,
,12-14 SCH,"1,861",11.6%,61,3.4%,40,-9.1%,,,"1,962",10.8%,
,15-17 SCH,"1,013",10.2%,8,166.7%,4,-42.9%,,,"1,025",10.3%,
,>17 SCH,90,-10.9%,,,0,-100.0%,,,90,-11.8%,
Ft/Pt:,Less Than Half Time,16,-51.5%,112,-24.8%,252,0.8%,,,380,-12.0%,
TAMU,Half-Time,69,4.5%,204,2.5%,128,10.3%,,,401,5.2%,
Status,Three-Quarter Time,114,12.9%,,,,,,,114,12.9%,
,Full-Time,"3,212",11.2%,243,15.2%,246,-6.1%,,,"3,701",10.1%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
