Country,Undergraduate,Masters,PhD,Professional,Total Students
Albania,1,1,,,2
Algeria,,,1,,1
Angola,5,5,,,10
Argentina,2,5,8,,15
Armenia,,2,1,,3
Australia,3,2,,,5
Austria,2,4,,,6
Azerbaijan,,5,,,5
"Bahamas, The",,2,,,2
Bangladesh,4,13,8,,25
Barbados,,1,,,1
Belarus,,3,5,,8
Belgium,1,,,,1
Belize (British Honduras),,1,,,1
Bolivia,4,3,2,,9
Botswana,,,1,,1
Brazil,5,10,10,,25
Bulgaria,,8,4,,12
Burma (Myanmar),,1,,,1
Cameroon,2,,,,2
Canada,15,14,23,,52
Chile,,2,2,,4
"China, People's Rep of",18,319,361,,698
Colombia,17,31,8,,56
Costa Rica,11,3,6,,20
Cote d'Ivoire (Ivory Coast),,1,2,,3
Croatia,4,1,,,5
Cuba,1,,,,1
Cyprus,1,,,,1
Denmark,1,,1,,2
Dominican Republic,2,,1,,3
Ecuador,15,11,3,,29
Egypt (A.R.E.),1,3,25,,29
El Salvador,5,2,,,7
Eritrea,,1,1,,2
Ethiopia,1,1,,,2
Finland,,1,,,1
France,9,25,8,,42
Georgia (C.I.S.),,1,3,,4
