Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College General Studies,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,502",-4.7%,,,,,,,"3,502",-4.7%,
Gender,Female,"1,572",-5.6%,,,,,,,"1,572",-5.6%,
,Male,"1,930",-3.9%,,,,,,,"1,930",-3.9%,
Ethnicity,White,"2,885",-4.4%,,,,,,,"2,885",-4.4%,
,Black,122,5.2%,,,,,,,122,5.2%,
,Hispanic,346,-6.2%,,,,,,,346,-6.2%,
,Asian,86,-12.2%,,,,,,,86,-12.2%,
,American Indian,17,0.0%,,,,,,,17,0.0%,
,International,18,0.0%,,,,,,,18,0.0%,
,Unknown/Other,28,-26.3%,,,,,,,28,-26.3%,
TAMU Age,<18,11,-31.3%,,,,,,,11,-31.3%,
Categories,18-21,"3,409",-4.7%,,,,,,,"3,409",-4.7%,
,22-25,73,25.9%,,,,,,,73,25.9%,
,26-30,6,-57.1%,,,,,,,6,-57.1%,
,31-39,3,-50.0%,,,,,,,3,-50.0%,
,40+,0,-100.0%,,,,,,,0,-100.0%,
Enrollment,1st Time in College,"1,530",-11.3%,,,,,,,"1,530",-11.3%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,104,-18.8%,,,,,,,104,-18.8%,
,Readmitted,89,-13.6%,,,,,,,89,-13.6%,
,Continuing,"1,779",3.5%,,,,,,,"1,779",3.5%,
Tuition,Resident Tuition,"3,343",-5.1%,,,,,,,"3,343",-5.1%,
Status,Non-Resident Tuition,102,-3.8%,,,,,,,102,-3.8%,
,Tuition Exemption/Waiver,57,26.7%,,,,,,,57,26.7%,
Residency,Texas Resident,"3,361",-5.0%,,,,,,,"3,361",-5.0%,
Status,"Non-TX, US Resident",124,6.0%,,,,,,,124,6.0%,
,"Non-TX, Non-US Resident",17,-10.5%,,,,,,,17,-10.5%,
SCH,< 6 SCH,549,53.4%,,,,,,,549,53.4%,
Categories,6-8 SCH,52,20.9%,,,,,,,52,20.9%,
,9-11 SCH,57,-8.1%,,,,,,,57,-8.1%,
,12-14 SCH,"2,361",-14.9%,,,,,,,"2,361",-14.9%,
,15-17 SCH,481,10.3%,,,,,,,481,10.3%,
,>17 SCH,2,100.0%,,,,,,,2,100.0%,
Ft/Pt:,Less Than Half Time,548,53.5%,,,,,,,548,53.5%,
TAMU,Half-Time,51,21.4%,,,,,,,51,21.4%,
Status,Three-Quarter Time,56,-8.2%,,,,,,,56,-8.2%,
,Full-Time,"2,847",-11.4%,,,,,,,"2,847",-11.4%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
