Headcount by Major by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,,
Fall 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,25,43,1,3,2,5,2,4,1,2,44,69,2,2,72,126,198,
,COMG,3,13,,1,,1,,,,,16,35,,2,19,52,71,
,COSC,26,243,,1,4,22,,1,,,,,,,32,267,299,
,COSL,34,224,,2,6,21,1,2,,,,,,1,41,252,293,
,ENDL,121,124,3,4,17,17,8,4,,1,,,,,152,150,302,
,ENDS,133,127,2,2,12,10,7,7,,2,,2,4,6,158,156,314,
,LAND,31,30,,,3,,1,1,,,15,2,2,2,52,35,87,
,LANL,31,33,,,3,5,,,,1,1,,1,1,36,40,76,
,LDEV,1,9,,1,,,,,,,2,4,1,,4,14,18,
,URPL,5,4,1,,3,1,,,,,5,8,,,14,13,27,
,URSC,2,11,,,1,1,,,,,5,18,,,8,30,38,
,VIZA,12,32,,,2,4,2,2,,1,7,7,,1,23,47,70,
,Subtotal,424,893,7,14,53,87,21,21,1,7,95,145,10,15,611,1182,1793,
Business,ACCT,353,265,11,,27,14,13,10,1,1,20,7,4,4,429,301,730,
Admin,AGBU,7,6,,,,,,,,,,,,,7,6,13,
,BUAD,1023,903,37,17,76,68,35,34,2,3,17,56,6,11,1196,1092,2288,
,FINC,222,339,4,1,15,22,13,10,,3,18,18,3,9,275,402,677,
,INFO,117,211,10,3,11,13,14,15,1,,6,10,3,2,162,254,416,
,MGMT,175,186,5,3,17,18,8,5,1,2,11,12,4,3,221,229,450,
,MISY,19,32,,2,1,2,1,2,,,22,19,,2,43,59,102,
,MKTG,474,225,7,3,37,17,7,5,4,1,8,10,4,6,541,267,808,
,MLER,7,37,,,,1,,,,,,,,,7,38,45,
,Subtotal,2397,2204,74,29,184,155,91,81,9,10,102,132,24,37,2881,2648,5529,
Education,CPSY,23,18,2,,4,1,,,,,1,,,,30,19,49,
,EDAD,147,97,18,8,23,10,3,1,2,,5,1,2,2,200,119,319,
,EDCI,119,23,24,9,14,4,4,,1,,15,2,,,177,38,215,
,EDHL,122,16,3,1,12,1,1,,1,,,,2,1,141,19,160,
,EDIS,875,40,12,1,62,6,10,1,8,,3,,2,,972,48,1020,
,EDIT,7,7,2,,2,1,1,,,,,,,,12,8,20,
,EDKI,397,347,8,9,27,33,4,6,2,1,1,1,1,6,440,403,843,
,EDTC,22,10,,,1,,,,,,5,1,1,,29,11,40,
,EHRD,63,42,4,4,16,7,,1,,,11,6,,2,94,62,156,
,EPSY,142,21,5,1,30,2,2,,2,1,19,3,3,1,203,29,232,
,HEED,15,7,1,1,,,,,,,1,,1,,18,8,26,
,HLTH,94,8,10,,17,2,3,,,,,,,,124,10,134,
,INST,842,21,5,2,43,2,1,1,10,,1,,8,1,910,27,937,
,KINE,159,136,8,4,10,19,1,1,2,,4,10,1,3,185,173,358,
,PHED,3,2,,,1,1,,1,1,,,,1,,6,4,10,
,SPSY,25,3,5,,7,4,,,,,1,2,1,,39,9,48,
,TECR,19,6,1,,,2,,,1,,,,,,21,8,29,
,Subtotal,3074,804,108,40,269,95,30,12,30,2,67,26,23,16,3601,995,4596,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,,,
