Headcount by Department by Classification by Ethnicity,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,
Ethnicity  Unknown/Other,,,,,,,,,,,,,,,
"Fall 2002
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD INEN SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
3
13
13
45","Sophomore
6
6
13
13
70","Junior
6
6
2
2
128","Senior
11
11
175","PB
1","Total
26
26
28
28
419",PB,Master,Total,PhD,Total,Professional,Total,,
,,,,,,,,,,,,Veterinary,,,
,,,,,,,5,1,1,1,1,8,8,34,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,2,2,8,8,37,
,,,,,,,,,,,,,,28,
,,,,,,,,,,,,,,28,
,,,,,,,,74,79,29,29,8,8,535,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,
