Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,610",5.8%,366,7.0%,360,-0.6%,,,"7,336",5.5%,
Gender,Female,"4,026",5.0%,187,7.5%,144,-2.0%,,,"4,357",4.8%,
,Male,"2,584",7.0%,179,6.5%,216,0.5%,,,"2,979",6.5%,
Ethnicity,White,"5,480",6.2%,225,0.0%,227,-7.0%,,,"5,932",5.4%,
,Black,153,-5.6%,9,125.0%,5,-16.7%,,,167,-2.9%,
,Hispanic,676,7.0%,31,14.8%,22,22.2%,,,729,7.7%,
,Asian,144,1.4%,12,71.4%,7,133.3%,,,163,7.2%,
,American Indian,39,14.7%,2,100.0%,1,-50.0%,,,42,16.7%,
,International,33,13.8%,71,-1.4%,90,9.8%,,,194,6.0%,
,Unknown/Other,85,-5.6%,16,128.6%,8,14.3%,,,109,4.8%,
TAMU Age,<18,9,50.0%,,,,,,,9,50.0%,
Categories,18-21,"4,484",2.7%,6,50.0%,,,,,"4,490",2.7%,
,22-25,"1,942",14.2%,158,5.3%,25,38.9%,,,"2,125",13.7%,
,26-30,105,2.9%,115,17.3%,127,-3.1%,,,347,4.8%,
,31-39,47,-6.0%,58,3.6%,153,6.3%,,,258,3.2%,
,40+,23,-4.2%,29,-14.7%,55,-20.3%,,,107,-15.7%,
Enrollment,1st Time in College,771,4.9%,,,,,,,771,4.9%,
Status,1st Time PB,,,23,100.0%,,,,,23,100.0%,
,1st Time Graduate,,,126,13.5%,57,50.0%,,,183,22.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,344,6.5%,,,,,,,344,6.5%,
,Readmitted,93,-4.1%,5,150.0%,3,100.0%,,,101,2.0%,
,Continuing,"5,402",6.0%,212,-7.4%,300,-7.4%,,,"5,914",4.7%,
Tuition,Resident Tuition,"6,347",5.9%,186,14.8%,153,-4.4%,,,"6,686",5.8%,
Status,Non-Resident Tuition,154,3.4%,50,-2.0%,59,-10.6%,,,263,-1.1%,
,Tuition Exemption/Waiver,109,3.8%,130,0.8%,148,8.8%,,,387,4.6%,
Residency,Texas Resident,"6,361",5.9%,188,16.0%,153,-4.4%,,,"6,702",5.9%,
Status,"Non-TX, US Resident",217,1.9%,107,-0.9%,116,-2.5%,,,440,0.0%,
,"Non-TX, Non-US Resident",32,6.7%,71,-1.4%,91,9.6%,,,194,4.9%,
SCH,< 6 SCH,66,-7.0%,71,-5.3%,122,-12.9%,,,259,-9.4%,
Categories,6-8 SCH,158,4.6%,16,-20.0%,16,14.3%,,,190,2.7%,
,9-11 SCH,404,20.6%,240,12.7%,203,9.1%,,,847,15.4%,
,12-14 SCH,"3,852",4.5%,37,15.6%,19,-9.5%,,,"3,908",4.5%,
,15-17 SCH,"1,997",7.0%,2,0.0%,0,-100.0%,,,"1,999",6.9%,
,>17 SCH,133,-4.3%,,,,,,,133,-4.3%,
Ft/Pt:,Less Than Half Time,57,-10.9%,61,-9.0%,93,-13.9%,,,211,-11.7%,
TAMU,Half-Time,156,4.7%,26,-7.1%,45,-2.2%,,,227,1.8%,
Status,Three-Quarter Time,395,19.0%,,,,,,,395,19.0%,
,Full-Time,"6,002",5.2%,279,13.0%,222,6.7%,,,"6,503",5.6%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
