Headcount by Major by Ethnic Origin,,,,,,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,,,,,,
Fall 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,68,11.5%,4,100.0%,7,40.0%,4,0.0%,0,-100.0%,113,0.9%,2,0.0%,198,6.5%,
,COMG,16,23.1%,1,100.0%,1,-66.7%,,,,,51,18.6%,2,100.0%,71,20.3%,
,COSC,269,3.5%,1,0.0%,26,62.5%,3,50.0%,,,,,0,-100.0%,299,3.8%,
,COSL,258,6.6%,2,0.0%,27,-12.9%,3,50.0%,2,100.0%,0,-100.0%,1,0.0%,293,4.6%,
,ENDL,245,-19.7%,7,-12.5%,34,13.3%,12,20.0%,2,-33.3%,0,-100.0%,2,-66.7%,302,-16.8%,
,ENDS,260,-6.5%,4,-33.3%,22,-40.5%,14,16.7%,2,0.0%,2,-71.4%,10,0.0%,314,-10.8%,
,LADE,0,-100.0%,,,,,,,,,0,-100.0%,,,0,-100.0%,
,LAND,61,17.3%,,,3,100.0%,2,100.0%,,,17,88.9%,4,33.3%,87,33.8%,
,LANL,64,-23.8%,,,8,33.3%,0,-100.0%,1,0.0%,1,0.0%,2,0.0%,76,-20.0%,
,LDEV,10,233.3%,1,100.0%,0,-100.0%,0,-100.0%,,,6,500.0%,1,100.0%,18,200.0%,
,URPL,9,350.0%,1,-50.0%,4,100.0%,,,,,13,62.5%,,,27,125.0%,
,URSC,13,-38.1%,0,-100.0%,2,0.0%,,,,,23,9.5%,,,38,-17.4%,
,VIZA,44,12.8%,,,6,0.0%,4,0.0%,1,0.0%,14,16.7%,1,0.0%,70,11.1%,
,Subtotal,1317,-4.4%,21,-8.7%,140,2.2%,42,13.5%,8,-20.0%,240,9.6%,25,-21.9%,1793,-2.3%,
Business,ACCT,618,5.1%,11,-8.3%,41,10.8%,23,91.7%,2,-33.3%,27,35.0%,8,-11.1%,730,7.2%,
Admin,AGBU,13,85.7%,,,,,,,,,,,,,13,85.7%,
,BUAD,1926,1.4%,54,-12.9%,144,-9.4%,69,-19.8%,5,-58.3%,73,-7.6%,17,-48.5%,2288,-1.8%,
,BUAG,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,FINC,561,-10.7%,5,-37.5%,37,-24.5%,23,64.3%,3,50.0%,36,-5.3%,12,9.1%,677,-9.7%,
,INFO,328,-32.0%,13,-7.1%,24,-29.4%,29,-9.4%,1,-50.0%,16,-5.9%,5,-44.4%,416,-29.5%,
,MGMT,361,6.5%,8,14.3%,35,0.0%,13,62.5%,3,200.0%,23,-14.8%,7,16.7%,450,6.4%,
,MISY,51,-17.7%,2,100.0%,3,-25.0%,3,-40.0%,,,41,17.1%,2,-33.3%,102,-7.3%,
,MKTG,699,-8.5%,10,-9.1%,54,-11.5%,12,-7.7%,5,25.0%,18,-18.2%,10,0.0%,808,-8.7%,
,MLER,44,46.7%,,,1,0.0%,,,,,,,,,45,45.2%,
,Subtotal,4601,-4.3%,103,-10.4%,339,-10.8%,172,1.2%,19,-20.8%,234,-1.7%,61,-24.7%,5529,-4.9%,
Education,CPSY,41,10.8%,2,100.0%,5,25.0%,0,-100.0%,,,1,0.0%,,,49,11.4%,
,EDAD,244,9.9%,26,-21.2%,33,3.1%,4,33.3%,2,100.0%,6,-25.0%,4,33.3%,319,5.6%,
,EDCI,142,-7.8%,33,-31.3%,18,-45.5%,4,33.3%,1,0.0%,17,-15.0%,0,-100.0%,215,-18.3%,
,EDHL,138,-15.9%,4,-60.0%,13,-45.8%,1,-75.0%,1,-50.0%,,,3,50.0%,160,-22.3%,
,EDIS,915,-9.6%,13,8.3%,68,13.3%,11,10.0%,8,-11.1%,3,200.0%,2,-83.3%,1020,-8.6%,
,EDIT,14,100.0%,2,100.0%,3,200.0%,1,100.0%,,,,,,,20,122.2%,
,EDKI,744,16.6%,17,30.8%,60,9.1%,10,66.7%,3,50.0%,2,-50.0%,7,-22.2%,843,16.0%,
,EDTC,32,-5.9%,,,1,100.0%,,,,,6,0.0%,1,0.0%,40,-2.4%,
,EHRD,105,-16.7%,8,60.0%,23,-8.0%,1,100.0%,,,17,0.0%,2,-50.0%,156,-11.9%,
,EPSY,163,9.4%,6,-14.3%,32,-5.9%,2,100.0%,3,50.0%,22,29.4%,4,33.3%,232,8.9%,
,HEED,22,15.8%,2,100.0%,,,,,,,1,100.0%,1,0.0%,26,23.8%,
,HLTH,102,-7.3%,10,400.0%,19,58.3%,3,100.0%,,,,,0,-100.0%,134,7.2%,
,IDTC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,INST,863,52.5%,7,0.0%,45,7.1%,2,0.0%,10,150.0%,1,0.0%,9,28.6%,937,49.0%,
,KINE,295,8.9%,12,71.4%,29,31.8%,2,0.0%,2,-33.3%,14,100.0%,4,0.0%,358,13.3%,
,PHED,5,-50.0%,,,2,-33.3%,1,0.0%,1,100.0%,,,1,100.0%,10,-28.6%,
,SPSY,28,-3.4%,5,-16.7%,11,-21.4%,,,,,3,50.0%,1,0.0%,48,-7.7%,
,TECR,25,31.6%,1,100.0%,2,100.0%,,,1,100.0%,,,,,29,45.0%,
,Subtotal,3878,8.7%,148,-3.3%,364,0.6%,42,27.3%,32,33.3%,93,10.7%,39,-25.0%,4596,7.5%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,,,,,,
