Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
University Total,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"36,775",0.5%,"4,822",4.4%,"2,993",3.2%,493,-0.8%,"45,083",1.0%,
Gender,Female,"18,036",1.0%,"1,955",6.3%,"1,095",3.9%,353,2.9%,"21,439",1.7%,
,Male,"18,739",-0.1%,"2,867",3.2%,"1,898",2.8%,140,-9.1%,"23,644",0.5%,
Ethnicity,White,"30,312",0.9%,"2,508",4.9%,"1,283",-3.2%,444,-0.4%,"34,547",1.0%,
,Black,883,-0.7%,78,-14.3%,87,-6.5%,,,"1,048",-2.3%,
,Hispanic,"3,302",0.6%,246,8.4%,141,-2.8%,25,8.7%,"3,714",1.0%,
,Asian,"1,177",-2.2%,105,18.0%,53,17.8%,14,-22.2%,"1,349",-0.4%,
,American Indian,189,1.1%,11,37.5%,9,28.6%,2,-50.0%,211,2.4%,
,International,493,4.4%,"1,795",2.3%,"1,391",11.0%,,,"3,679",5.7%,
,Unknown/Other,419,-20.8%,79,36.2%,29,-12.1%,8,33.3%,535,-14.5%,
TAMU Age,<18,79,16.2%,,,,,,,79,16.2%,
Categories,18-21,"25,828",-1.6%,72,-23.4%,3,100.0%,28,-6.7%,"25,931",-1.6%,
,22-25,"9,866",6.5%,"2,489",8.0%,227,11.3%,275,-3.2%,"12,857",6.7%,
,26-30,650,-2.1%,"1,267",0.2%,"1,073",6.2%,131,0.8%,"3,121",1.7%,
,31-39,252,-3.4%,654,6.5%,"1,152",4.6%,48,9.1%,"2,106",4.3%,
,40+,100,-9.1%,340,0.3%,538,-8.2%,11,22.2%,989,-5.3%,
Enrollment,1st Time in College,"6,949",2.8%,,,,,,,"6,949",2.8%,
Status,1st Time PB,19,-32.1%,252,100.0%,,,,,271,867.9%,
,1st Time Graduate,,,"1,844",7.7%,379,28.5%,,,"2,223",10.8%,
,1st Time Professional,,,,,,,134,3.9%,134,3.9%,
,1st Time Transfer,"1,768",-5.1%,1,100.0%,,,,,"1,769",-5.0%,
,Readmitted,468,-17.6%,18,20.0%,15,25.0%,,,501,-15.8%,
,Continuing,"27,571",0.7%,"2,707",-6.3%,"2,599",0.2%,359,-2.4%,"33,236",0.0%,
Tuition,Resident Tuition,"34,956",0.6%,"2,321",8.2%,"1,099",-1.4%,472,-0.8%,"38,848",1.0%,
Status,Non-Resident Tuition,"1,042",-3.0%,723,1.5%,419,-7.9%,5,-37.5%,"2,189",-2.7%,
,Tuition Exemption/Waiver,777,-1.0%,"1,778",1.1%,"1,475",10.8%,16,23.1%,"4,046",4.1%,
Residency,Texas Resident,"35,026",0.6%,"2,344",8.0%,"1,107",-1.2%,471,-1.1%,"38,948",1.0%,
Status,"Non-TX, US Resident","1,256",-4.0%,681,-1.3%,487,-6.0%,22,4.8%,"2,446",-3.6%,
,"Non-TX, Non-US Resident",493,2.1%,"1,797",2.3%,"1,399",10.9%,,,"3,689",5.3%,
SCH,< 6 SCH,899,16.5%,672,-7.6%,767,-5.9%,,,"2,338",1.0%,
Categories,6-8 SCH,890,0.9%,365,8.3%,165,26.0%,,,"1,420",5.2%,
,9-11 SCH,"1,740",11.7%,"2,695",9.1%,"1,935",7.0%,,,"6,370",9.1%,
,12-14 SCH,"23,278",-0.2%,708,-13.1%,117,-9.3%,0,-100.0%,"24,103",-0.6%,
,15-17 SCH,"9,408",-0.9%,255,5.4%,9,-40.0%,1,-50.0%,"9,673",-0.8%,
,>17 SCH,560,-3.6%,127,408.0%,0,-100.0%,492,-0.4%,"1,179",6.9%,
Ft/Pt:,Less Than Half Time,785,25.2%,579,-8.7%,653,-6.6%,,,"2,017",2.9%,
TAMU,Half-Time,747,-2.4%,455,6.1%,278,12.6%,,,"1,480",2.7%,
Status,Three-Quarter Time,"1,588",10.7%,,,,,,,"1,588",10.7%,
,Full-Time,"33,655",-0.4%,"3,788",6.6%,"2,062",5.5%,493,-0.8%,"39,998",0.5%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
