Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,14946,1.5%,1184,7.1%,569,1.8%,315,3.6%,17014,1.9%,
,Black,519,-1.0%,40,-16.7%,62,-11.4%,,,621,-3.3%,
,Hispanic,1601,0.9%,120,9.1%,75,-12.8%,21,10.5%,1817,0.9%,
,Asian,533,-0.6%,47,14.6%,30,25.0%,11,-26.7%,621,0.8%,
,American Indian,91,13.8%,6,100.0%,4,100.0%,1,-66.7%,102,15.9%,
,International,158,5.3%,526,3.1%,345,13.9%,,,1029,6.9%,
,Unknown/Other,188,-24.5%,32,39.1%,10,0.0%,5,150.0%,235,-17.3%,
,Subtotal,18036,1.0%,1955,6.3%,1095,3.9%,353,2.9%,21439,1.7%,
Male,White,15366,0.3%,1324,3.0%,714,-6.8%,129,-9.2%,17533,0.1%,
,Black,364,-0.3%,38,-11.6%,25,8.7%,,,427,-0.9%,
,Hispanic,1701,0.2%,126,7.7%,66,11.9%,4,0.0%,1897,1.1%,
,Asian,644,-3.4%,58,20.8%,23,9.5%,3,0.0%,728,-1.5%,
,American Indian,98,-8.4%,5,0.0%,5,0.0%,1,0.0%,109,-7.6%,
,International,335,4.0%,1269,2.0%,1046,10.1%,,,2650,5.3%,
,Unknown/Other,231,-17.5%,47,34.3%,19,-17.4%,3,-25.0%,300,-12.3%,
,Subtotal,18739,-0.1%,2867,3.2%,1898,2.8%,140,-9.1%,23644,0.5%,
Grand Total,,36775,0.5%,4822,4.4%,2993,3.2%,493,-0.8%,45083,1.0%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
