Demographic Summary,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,
College Science,,,,,,,,,,,,
Fall 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,946",5.0%,314,0.6%,358,8.2%,,,"2,618",4.8%,
Gender,Female,"1,211",7.0%,134,21.8%,97,-5.8%,,,"1,442",7.2%,
,Male,735,1.8%,180,-10.9%,261,14.5%,,,"1,176",2.1%,
Ethnicity,White,"1,479",5.2%,149,7.2%,125,-2.3%,,,"1,753",4.8%,
,Black,60,-3.2%,4,-20.0%,3,0.0%,,,67,-4.3%,
,Hispanic,239,11.7%,17,6.3%,8,0.0%,,,264,10.9%,
,Asian,130,10.2%,10,11.1%,7,-22.2%,,,147,8.1%,
,American Indian,6,0.0%,,,2,0.0%,,,8,0.0%,
,International,10,-23.1%,129,-7.9%,212,18.4%,,,351,5.7%,
,Unknown/Other,22,-37.1%,5,66.7%,1,-50.0%,,,28,-30.0%,
TAMU Age,<18,11,-8.3%,,,,,,,11,-8.3%,
Categories,18-21,"1,559",0.8%,4,-60.0%,1,100.0%,,,"1,564",0.4%,
,22-25,345,33.7%,169,-3.4%,56,-3.4%,,,570,16.1%,
,26-30,22,-8.3%,80,9.6%,190,10.5%,,,292,8.6%,
,31-39,6,-14.3%,39,-7.1%,96,9.1%,,,141,2.9%,
,40+,3,-50.0%,22,83.3%,15,15.4%,,,40,29.0%,
Enrollment,1st Time in College,549,8.9%,,,,,,,549,8.9%,
Status,1st Time PB,0,-100.0%,21,100.0%,,,,,21,950.0%,
,1st Time Graduate,,,117,-8.6%,35,105.9%,,,152,4.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,101,-16.5%,,,,,,,101,-16.5%,
,Readmitted,17,-26.1%,1,0.0%,0,-100.0%,,,18,-30.8%,
,Continuing,"1,279",6.2%,175,-4.4%,323,3.5%,,,"1,777",4.6%,
Tuition,Resident Tuition,"1,835",4.9%,102,10.9%,55,-8.3%,,,"1,992",4.7%,
Status,Non-Resident Tuition,57,11.8%,22,4.8%,41,7.9%,,,120,9.1%,
,Tuition Exemption/Waiver,54,1.9%,190,-4.5%,262,12.4%,,,506,4.3%,
Residency,Texas Resident,"1,842",5.1%,107,13.8%,56,-9.7%,,,"2,005",5.0%,
Status,"Non-TX, US Resident",92,4.5%,76,-1.3%,89,2.3%,,,257,2.0%,
,"Non-TX, Non-US Resident",12,-7.7%,131,-7.1%,213,17.0%,,,356,6.0%,
SCH,< 6 SCH,10,11.1%,41,57.7%,32,-11.1%,,,83,16.9%,
Categories,6-8 SCH,19,-13.6%,13,0.0%,3,0.0%,,,35,-7.9%,
,9-11 SCH,67,63.4%,252,5.0%,319,11.5%,,,638,12.5%,
,12-14 SCH,"1,359",6.4%,8,-74.2%,4,-33.3%,,,"1,371",4.3%,
,15-17 SCH,467,-4.1%,0,-100.0%,,,,,467,-4.5%,
,>17 SCH,24,33.3%,,,,,,,24,33.3%,
Ft/Pt:,Less Than Half Time,10,42.9%,38,52.0%,31,-6.1%,,,79,21.5%,
TAMU,Half-Time,16,-27.3%,16,14.3%,4,-33.3%,,,36,-14.3%,
Status,Three-Quarter Time,62,63.2%,,,,,,,62,63.2%,
,Full-Time,"1,858",4.0%,260,-4.8%,323,10.6%,,,"2,441",3.8%,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,
