Top 10,,,,,,,,
Fall 2002  Feeder Patterns First Time In College,,,,,,,,
Texas County   Students  % Total,,,,,,,,
Harris,,1121,,16.2%,,,,
Tarrant,,446,,6.4%,,,,
Dallas,,441,,6.3%,,,,
Bexar,,388,,5.6%,,,,
Fort Bend,,277,,4.0%,,,,
Brazos,,210,,3.1%,,,,
Collin,,204,,2.9%,,,,
Montgomery,,199,,2.9%,,,,
Travis,,183,,2.6%,,,,
Denton,,161,,2.3%,,,,
State,Students  % Total,,,,,,,
Texas,6606,,95.2%,,,,,
Louisiana,46,,0.7%,,,,,
California,25,,0.4%,,,,,
Oklahoma,20,,0.3%,,,,,
Arkansas,16,,0.2%,,,,,
Colorado,14,,0.2%,,,,,
Kansas,14,,0.2%,,,,,
Virginia,13,,0.2%,,,,,
New Mexico,11,,0.2%,,,,,
Missouri,10,,0.1%,,,,,
Country,,Students  % Total,,,,,,
United States,,6887,,,99.2%,,,
India,,17,,,0.2%,,,
Mexico,,7,,,0.1%,,,
"China, People's Rep",,4,,,0.0%,,,
Canada,,3,,,0.0%,,,
Honduras,,3,,,0.0%,,,
"Korea, Republic of",,3,,,0.0%,,,
Kazakhstan,,2,,,0.0%,,,
United Kingdom,,2,,,0.0%,,,
Indonesia,,2,,,0.0%,,,
