Demographic Summary by Entry Status,,,,,,,,,,,,,
Fall 2002,,,,,,,,,,,,,
"Fall 2002
Head Count       Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,,,Professional,,
,"1st Time in College
6949
3665
3284
5758
182
664
230
27
56
32
74
6870
4
1
533
152
921
363
1484
82
771
549
564
1530
6934
15
6581
181
187
6614
281
54
311
27
22
5838
746
5
311
27
21
6590","1st Time PB
19
6
13
15
1
1
1
1
10
7
2
4
4
8
2
1
19
17
2
17
1
1
2
1
2
10
3
1
1
1
1
16","1st Time Transfer
1768
843
925
1466
23
144
34
9
68
24
1
1431
222
65
34
15
377
61
45
321
342
18
344
101
55
104
1220
548
1641
95
32
1650
52
66
14
47
70
1368
263
6
14
45
71
1638","Readmit ted
468
182
286
363
14
57
18
6
3
7
156
223
61
22
6
108
7
28
37
73
7
93
17
9
89
146
322
447
17
4
452
13
3
14
37
47
273
87
10
14
36
44
374","Contin uing
27571
13340
14231
22710
663
2437
895
146
365
355
4
17371
9407
516
196
77
4323
1125
3649
2686
5691
341
5402
1279
1273
1779
23
7843
19728
26270
747
554
26293
909
369
558
778
1599
15789
8309
538
445
638
1451
25037",1st Time PB,1st Time Graduate,1st Time Transfer,Readmit ted,Contin uing,1st Time Professional,Contin uing,
,,,,,,252,2223,1,33,5306,134,359,
,,,,,,139,915,,13,1983,106,247,
,,,,,,113,1308,1,20,3323,28,112,
,,,,,,161,1130,,21,2479,122,322,
,,,,,,12,39,,1,113,,,
,,,,,,25,109,,4,249,7,18,
,,,,,,5,54,,,99,2,12,
,,,,,,1,6,,,13,,2,
,,,,,,45,838,,7,2296,,,
,,,,,,3,47,1,,57,3,5,
,,,,,,4,62,,,9,26,2,
,,,,,,66,1265,,2,1383,78,197,
,,,,,,55,503,1,10,1771,17,114,
,,,,,,56,288,,10,1452,11,37,
,,,,,,71,105,,11,691,2,9,
,,,,,,15,279,1,6,898,,,
,,,,,,5,156,,,287,,,
,,,,,,7,482,,,397,,,
,,,,,,81,244,,9,851,,,
,,,,,,21,580,,7,1485,,,
,,,,,,30,52,,,35,,,
,,,,,,12,63,,2,217,,,
,,,,,,23,183,,8,512,,,
,,,,,,21,152,,1,498,,,
,,,,,,1,27,,,113,134,359,
,,,,,,36,5,,,13,,,
,,,,,,252,1844,1,18,2707,,,
,,,,,,,379,,15,2599,,,
,,,,,,,,,,,134,359,
,,,,,,167,1030,,24,2199,125,347,
,,,,,,53,310,,7,772,,5,
,,,,,,32,883,1,2,2335,9,7,
,,,,,,174,1046,,25,2206,124,347,
,,,,,,36,333,1,1,797,10,12,
,,,,,,42,844,,7,2303,,,
,,,,,,119,68,,19,1233,,,
,,,,,,68,101,,4,357,,,
,,,,,,34,1316,,7,3273,,,
,,,,,,21,428,1,3,372,,,
,,,,,,2,195,,,67,,1,
,,,,,,8,115,,,4,134,358,
,,,,,,107,51,,18,1056,,,
,,,,,,80,117,,5,531,,,
,,,,,,65,2055,1,10,3719,134,359,
"Prepared by OISP, 25 Nov 02",,,,,,,,,,,,,
