Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2005,,,,,,,,,,,,
Enrollment Profile -- Summer 2005 Official Combined Summer Data -- Not Certified,,,,,,,,,,,,
Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"5,255",-7.7%,770,-5.8%,446,3.5%,97,-2.0%,"6,568",-6.7%,
,Black,194,-15.3%,54,22.7%,61,3.4%,,,309,-6.9%,
,Hispanic,662,-1.8%,97,-6.7%,88,27.5%,6,-14.3%,853,-0.1%,
,Asian,208,0.5%,30,-9.1%,22,0.0%,3,-25.0%,263,-1.1%,
,American Indian,34,0.0%,5,150.0%,4,300.0%,,,43,16.2%,
,International,64,-5.9%,239,-13.7%,317,7.5%,,,620,-3.1%,
,Unknown/Other,43,-8.5%,20,-20.0%,10,11.1%,3,100.0%,76,-6.2%,
,Subtotal,"6,460",-7.1%,"1,215",-6.7%,948,7.0%,109,-0.9%,"8,732",-5.6%,
Male,White,"4,996",-6.6%,768,-4.6%,481,-3.2%,31,-16.2%,"6,276",-6.1%,
,Black,205,5.7%,30,36.4%,29,3.6%,1,100.0%,265,8.6%,
,Hispanic,677,2.4%,92,7.0%,66,22.2%,1,-50.0%,836,4.1%,
,Asian,241,-7.7%,35,0.0%,26,52.9%,,,302,-3.5%,
,American Indian,43,22.9%,1,-50.0%,3,-25.0%,0,-100.0%,47,11.9%,
,International,160,-11.6%,493,-17.8%,889,3.1%,,,"1,542",-6.1%,
,Unknown/Other,61,-7.6%,25,8.7%,22,46.7%,,,108,3.8%,
,Subtotal,"6,383",-5.4%,"1,444",-8.2%,"1,516",2.6%,33,-17.5%,"9,376",-4.7%,
Grand Total,,"12,843",-6.2%,"2,659",-7.5%,"2,464",4.3%,142,-5.3%,"18,108",-5.1%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
