Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,103,21.2%,,,,,103,21.2%,
Gender,Female,,,45,18.4%,,,,,45,18.4%,
,Male,,,58,23.4%,,,,,58,23.4%,
Ethnicity,White,,,79,23.4%,,,,,79,23.4%,
,Black,,,3,-40.0%,,,,,3,-40.0%,
,Hispanic,,,13,116.7%,,,,,13,116.7%,
,Asian,,,1,-75.0%,,,,,1,-75.0%,
,American Indian,,,1,100.0%,,,,,1,100.0%,
,International,,,5,0.0%,,,,,5,0.0%,
,Unknown/Other,,,1,0.0%,,,,,1,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,0.0%,,,,,1,0.0%,
,22-25,,,49,22.5%,,,,,49,22.5%,
,26-30,,,31,34.8%,,,,,31,34.8%,
,31-39,,,14,-6.7%,,,,,14,-6.7%,
,40+,,,8,33.3%,,,,,8,33.3%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,10,-37.5%,,,,,10,-37.5%,
,1st Time Graduate,,,2,100.0%,,,,,2,100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,91,33.8%,,,,,91,33.8%,
Tuition,Resident Tuition,,,77,32.8%,,,,,77,32.8%,
Status,Non-Resident Tuition,,,3,-40.0%,,,,,3,-40.0%,
,Tuition  Exemption/Waiver,,,23,4.5%,,,,,23,4.5%,
Residency,Texas Resident,,,78,34.5%,,,,,78,34.5%,
Status,"Non-TX, US Resident",,,18,-18.2%,,,,,18,-18.2%,
,"Non-TX, Non-US Resident",,,7,40.0%,,,,,7,40.0%,
SCH,< 6 SCH,,,33,22.2%,,,,,33,22.2%,
Categories,6-8 SCH,,,61,22.0%,,,,,61,22.0%,
,9-11 SCH,,,8,100.0%,,,,,8,100.0%,
,12-14 SCH,,,1,-50.0%,,,,,1,-50.0%,
,15-17 SCH,,,0,-100.0%,,,,,0,-100.0%,
,>17 SCH,,,0,-100.0%,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",,,1,-94.4%,,,,,1,-94.4%,
,Full-Time,,,102,52.2%,,,,,102,52.2%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
