Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,553",-9.2%,113,-1.7%,224,9.3%,,,"2,890",-7.7%,
Gender,Female,"1,503",-8.4%,57,-19.7%,105,18.0%,,,"1,665",-7.6%,
,Male,"1,050",-10.3%,56,27.3%,119,2.6%,,,"1,225",-8.0%,
Ethnicity,White,"2,051",-10.3%,62,-19.5%,138,6.2%,,,"2,251",-9.7%,
,Black,76,-12.6%,8,100.0%,4,33.3%,,,88,-6.4%,
,Hispanic,323,2.2%,22,100.0%,18,20.0%,,,363,6.1%,
,Asian,55,-8.3%,4,100.0%,4,0.0%,,,63,-4.5%,
,American Indian,10,-37.5%,0,-100.0%,3,200.0%,,,13,-27.8%,
,International,17,-10.5%,14,-17.6%,51,8.5%,,,82,-1.2%,
,Unknown/Other,21,-25.0%,3,0.0%,6,20.0%,,,30,-16.7%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"1,152",-4.6%,,,,,,,"1,152",-4.6%,
,22-25,"1,272",-13.4%,55,3.8%,23,109.1%,,,"1,350",-11.9%,
,26-30,91,-4.2%,35,0.0%,97,5.4%,,,223,0.5%,
,31-39,24,9.1%,17,6.3%,78,1.3%,,,119,3.5%,
,40+,14,-26.3%,6,-45.5%,26,4.0%,,,46,-16.4%,
Enrollment,1st Time in College,6,20.0%,,,,,,,6,20.0%,
Status,1st Time PB,,,2,-33.3%,,,,,2,-33.3%,
,1st Time Graduate,,,1,100.0%,1,-50.0%,,,2,0.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,32,-3.0%,,,,,,,32,-3.0%,
,Readmitted,23,-42.5%,1,0.0%,0,-100.0%,,,24,-42.9%,
,Continuing,"2,492",-8.9%,109,-1.8%,223,10.4%,,,"2,824",-7.3%,
Tuition,Resident Tuition,"2,447",-9.6%,53,-17.2%,81,-5.8%,,,"2,581",-9.7%,
Status,Non-Resident Tuition,55,-8.3%,17,-15.0%,31,72.2%,,,103,5.1%,
,Tuition  Exemption/Waiver,51,13.3%,43,38.7%,112,10.9%,,,206,16.4%,
Residency,Texas Resident,"2,453",-9.5%,55,-15.4%,82,-4.7%,,,"2,590",-9.5%,
Status,"Non-TX, US Resident",81,0.0%,44,33.3%,90,26.8%,,,215,16.2%,
,"Non-TX, Non-US Resident",19,-9.5%,14,-17.6%,52,8.3%,,,85,-1.2%,
SCH,< 6 SCH,629,-1.7%,83,59.6%,175,56.3%,,,887,10.3%,
Categories,6-8 SCH,"1,015",-7.6%,28,-44.0%,46,-47.7%,,,"1,089",-11.9%,
,9-11 SCH,406,-23.5%,1,-87.5%,2,0.0%,,,409,-24.4%,
,12-14 SCH,472,-6.0%,1,-66.7%,1,-50.0%,,,474,-6.5%,
,15-17 SCH,24,-33.3%,0,-100.0%,0,-100.0%,,,24,-38.5%,
,>17 SCH,7,40.0%,,,,,,,7,40.0%,
Ft/Pt:,Less Than Half Time,86,19.4%,21,40.0%,51,45.7%,,,158,29.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","720
1","-5.8%
-66.7%",2,-75.0%,4,-69.2%,,,"726
1","-7.5%
-66.7%",
,Full-Time,"1,746",-11.5%,90,-2.2%,169,7.6%,,,"2,005",-9.8%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
