Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,001",-10.8%,644,-8.3%,666,3.6%,,,"3,311",-7.7%,
Gender,Female,409,-15.0%,129,-5.1%,101,6.3%,,,639,-10.3%,
,Male,"1,592",-9.7%,515,-9.0%,565,3.1%,,,"2,672",-7.1%,
Ethnicity,White,"1,424",-10.5%,227,10.2%,81,0.0%,,,"1,732",-7.8%,
,Black,48,-32.4%,20,300.0%,7,0.0%,,,75,-9.6%,
,Hispanic,232,-2.9%,24,-14.3%,16,77.8%,,,272,-1.4%,
,Asian,121,-19.9%,16,-20.0%,12,33.3%,,,149,-17.2%,
,American Indian,7,-12.5%,0,-100.0%,0,-100.0%,,,7,-30.0%,
,International,135,-15.6%,351,-19.3%,548,2.4%,,,"1,034",-8.5%,
,Unknown/Other,34,41.7%,6,-14.3%,2,100.0%,,,42,31.3%,
TAMU Age,<18,3,100.0%,,,,,,,3,100.0%,
Categories,18-21,907,-3.3%,1,100.0%,,,,,908,-3.2%,
,22-25,986,-16.4%,364,-8.3%,58,-4.9%,,,"1,408",-14.0%,
,26-30,84,-11.6%,199,-8.3%,344,15.1%,,,627,2.6%,
,31-39,19,-17.4%,66,-5.7%,235,-8.6%,,,320,-8.6%,
,40+,2,-77.8%,14,-22.2%,29,11.5%,,,45,-15.1%,
Enrollment,1st Time in College,12,50.0%,,,,,,,12,50.0%,
Status,1st Time PB,2,100.0%,5,66.7%,,,,,7,75.0%,
,1st Time Graduate,,,32,-25.6%,10,-33.3%,,,42,-27.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,23,35.3%,,,,,,,23,35.3%,
,Readmitted,15,7.1%,1,-66.7%,,,,,16,-5.9%,
,Continuing,"1,949",-11.6%,606,-7.2%,656,4.5%,,,"3,211",-7.9%,
Tuition,Resident Tuition,"1,741",-11.8%,215,2.4%,69,11.3%,,,"2,025",-9.8%,
Status,Non-Resident Tuition,166,-14.0%,111,-22.4%,127,24.5%,,,404,-7.8%,
,Tuition  Exemption/Waiver,94,20.5%,318,-8.9%,470,-1.9%,,,882,-2.6%,
Residency,Texas Resident,"1,751",-11.3%,225,6.6%,72,12.5%,,,"2,048",-8.9%,
Status,"Non-TX, US Resident",107,-0.9%,65,20.4%,42,5.0%,,,214,5.9%,
,"Non-TX, Non-US Resident",143,-12.3%,354,-19.0%,552,2.4%,,,"1,049",-7.9%,
SCH,< 6 SCH,787,-1.3%,498,127.4%,587,505.2%,,,"1,872",68.2%,
Categories,6-8 SCH,795,-12.3%,121,-73.2%,75,-86.0%,,,991,-47.7%,
,9-11 SCH,322,-23.0%,22,-29.0%,2,-77.8%,,,346,-24.5%,
,12-14 SCH,93,-17.7%,3,200.0%,1,0.0%,,,97,-15.7%,
,15-17 SCH,4,-55.6%,,,1,100.0%,,,5,-44.4%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,270,17.9%,115,21.1%,86,16.2%,,,471,18.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","652
13","-2.2%
116.7%",5,-92.8%,4,-55.6%,,,"661
13","-11.3%
116.7%",
,Full-Time,"1,066",-20.6%,524,-2.6%,576,2.9%,,,"2,166",-11.2%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
