Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,12,33.3%,25,-16.7%,26,30.0%,,,51,2.0%,
,ENGS,,,,,,,,,12,33.3%,
,ENST,18,-5.3%,,,,,,,18,-5.3%,
,GEOG,51,-32.0%,12,33.3%,14,100.0%,,,77,-15.4%,
,GEOL,32,-8.6%,19,0.0%,15,0.0%,,,66,-4.3%,
,GEOP,6,20.0%,9,28.6%,11,22.2%,,,26,23.8%,
,GEOS,,,4,-20.0%,,,,,4,-20.0%,
,METR,42,-4.5%,,,,,,,42,-4.5%,
,OCNG,,,25,-16.7%,22,-4.3%,,,47,-11.3%,
,Subtotal,161,-13.9%,94,-6.0%,88,18.9%,,,343,-5.0%,
Liberal Arts,AMST,14,0.0%,,,,,,,14,0.0%,
,ANTH,50,0.0%,15,0.0%,12,140.0%,,,77,10.0%,
,COML,,,2,100.0%,,,,,2,100.0%,
,ECON,269,-25.1%,9,-35.7%,21,-19.2%,,,299,-25.1%,
,ENGL,260,-12.5%,6,-57.1%,31,-16.2%,,,297,-14.7%,
,FREN,6,-14.3%,,,,,,,6,-14.3%,
,GERM,3,0.0%,,,,,,,3,0.0%,
,HISP,,,1,100.0%,1,100.0%,,,2,100.0%,
,HIST,269,8.0%,13,62.5%,11,0.0%,,,293,9.3%,
,INTS,162,21.8%,,,,,,,162,21.8%,
,JOUR,30,-66.3%,,,,,,,30,-66.3%,
,MODL,,,3,200.0%,,,,,3,200.0%,
,MUSC,8,100.0%,,,,,,,8,100.0%,
,PHIL,43,0.0%,3,-25.0%,3,50.0%,,,49,0.0%,
,POLS,397,-9.8%,9,-10.0%,50,8.7%,,,456,-8.1%,
,PSYC,505,-10.5%,21,10.5%,50,35.1%,,,576,-7.1%,
,RUSS,4,100.0%,,,,,,,4,100.0%,
,SCOM,285,-6.6%,13,116.7%,22,10.0%,,,320,-3.3%,
,SOCI,150,-10.2%,15,-6.3%,23,9.5%,,,188,-7.8%,
,SPAN,50,4.2%,,,,,,,50,4.2%,
,STJR,,,3,-62.5%,,,,,3,-62.5%,
,TCMS,19,111.1%,,,,,,,19,111.1%,
,THAR,29,0.0%,,,,,,,29,0.0%,
,Subtotal,"2,553",-9.2%,113,-1.7%,224,9.3%,,,"2,890",-7.7%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
