Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,648,1.9%,255,-3.4%,338,6.0%,,,"1,241",1.8%,
Gender,Female,356,-5.3%,129,4.0%,85,0.0%,,,570,-2.6%,
,Male,292,12.3%,126,-10.0%,253,8.1%,,,671,5.8%,
Ethnicity,White,473,2.8%,140,0.0%,111,5.7%,,,724,2.7%,
,Black,29,81.3%,4,33.3%,3,-25.0%,,,36,56.5%,
,Hispanic,66,-25.0%,17,-22.7%,15,114.3%,,,98,-16.2%,
,Asian,58,3.6%,9,-10.0%,11,175.0%,,,78,11.4%,
,American Indian,3,50.0%,3,100.0%,1,0.0%,,,7,133.3%,
,International,11,0.0%,76,-8.4%,193,-1.5%,,,280,-3.4%,
,Unknown/Other,8,166.7%,6,0.0%,4,100.0%,,,18,63.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,389,4.6%,,,1,100.0%,,,390,4.8%,
,22-25,243,1.3%,97,29.3%,48,14.3%,,,388,8.7%,
,26-30,12,-40.0%,80,-12.1%,171,-1.7%,,,263,-7.7%,
,31-39,3,-25.0%,34,-32.0%,107,11.5%,,,144,-4.0%,
,40+,1,100.0%,44,-8.3%,11,57.1%,,,56,1.8%,
Enrollment,1st Time in College,5,-16.7%,,,,,,,5,-16.7%,
Status,1st Time PB,1,100.0%,34,-8.1%,,,,,35,-5.4%,
,1st Time Graduate,,,9,-35.7%,4,-20.0%,,,13,-31.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,3,-50.0%,,,,,,,3,-50.0%,
,Readmitted,4,-33.3%,0,-100.0%,,,,,4,-42.9%,
,Continuing,635,2.8%,212,0.0%,334,6.4%,,,"1,181",3.2%,
Tuition,Resident Tuition,587,3.3%,122,10.9%,57,21.3%,,,766,5.7%,
Status,Non-Resident Tuition,16,-67.3%,10,-68.8%,37,-32.7%,,,63,-53.7%,
,Tuition  Exemption/Waiver,45,136.8%,123,0.8%,244,12.4%,,,412,15.1%,
Residency,Texas Resident,587,2.6%,123,11.8%,61,22.0%,,,771,5.3%,
Status,"Non-TX, US Resident",49,-5.8%,56,-20.0%,80,11.1%,,,185,-4.6%,
,"Non-TX, Non-US Resident",12,0.0%,76,-9.5%,197,0.0%,,,285,-2.7%,
SCH,< 6 SCH,257,1.6%,212,133.0%,321,167.5%,,,790,70.3%,
Categories,6-8 SCH,254,8.1%,32,-80.2%,15,-92.4%,,,301,-49.4%,
,9-11 SCH,93,2.2%,10,11.1%,1,0.0%,,,104,3.0%,
,12-14 SCH,43,-17.3%,0,-100.0%,1,100.0%,,,44,-18.5%,
,15-17 SCH,1,-80.0%,1,100.0%,,,,,2,-60.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,79,-4.8%,9,-35.7%,15,-73.2%,,,103,-32.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","209
4","15.5%
0.0%",2,-66.7%,2,-33.3%,,,"213
4","12.1%
0.0%",
,Full-Time,356,-3.3%,244,0.0%,321,23.5%,,,921,5.6%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
