Country,Undergraduate,Masters,PhD,Professional,Total Students
Albania,,1,,,1
Algeria,,,1,,1
Angola,,1,,,1
Antigua and Barbuda,,1,,,1
Argentina,2,4,2,,8
Armenia,,2,1,,3
Australia,1,,1,,2
Austria,,,2,,2
Azerbaijan,,3,,,3
Bangladesh,2,3,8,,13
Belarus,,2,5,,7
Belize (British Honduras),1,,,,1
Bolivia,2,2,1,,5
Bosnia-Herzegovina,1,,,,1
Botswana,,,1,,1
Brazil,1,4,9,,14
Bulgaria,,1,5,,6
Burma (Myanmar),,,1,,1
Cameroon,,1,1,,2
Canada,5,7,15,,27
Chile,1,1,5,,7
"China, People's Rep of",9,126,350,,485
Colombia,4,29,19,,52
Costa Rica,5,,1,,6
Cote d'Ivoire (Ivory Coast),,,1,,1
Croatia,1,,,,1
Cyprus,,1,,,1
Czech Republic,,1,,,1
Denmark,,1,,,1
Dominica,,,1,,1
Dominican Republic,2,,,,2
Ecuador,3,2,1,,6
Egypt (A.R.E.),1,2,15,,18
El Salvador,2,2,,,4
Eritrea,1,,2,,3
Ethiopia,1,1,,,2
France,2,11,3,,16
Georgia (C.I.S.),,,1,,1
Germany,1,4,7,,12
Ghana,1,2,2,,5
Greece,,1,7,,8
