Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,570",-10.8%,337,-3.2%,67,0.0%,,,"1,974",-9.3%,
Gender,Female,855,-12.9%,154,1.3%,31,6.9%,,,"1,040",-10.6%,
,Male,715,-8.2%,183,-6.6%,36,-5.3%,,,934,-7.8%,
Ethnicity,White,"1,374",-10.1%,238,-6.7%,28,0.0%,,,"1,640",-9.4%,
,Black,26,-27.8%,8,60.0%,1,0.0%,,,35,-16.7%,
,Hispanic,89,-4.3%,18,38.5%,2,0.0%,,,109,0.9%,
,Asian,51,-27.1%,8,-11.1%,1,100.0%,,,60,-24.1%,
,American Indian,10,100.0%,1,0.0%,,,,,11,83.3%,
,International,17,-10.5%,60,-4.8%,33,-5.7%,,,110,-6.0%,
,Unknown/Other,3,-70.0%,4,100.0%,2,100.0%,,,9,-30.8%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,937,-8.9%,5,0.0%,,,,,942,-8.9%,
,22-25,611,-13.2%,246,-4.3%,1,-75.0%,,,858,-11.1%,
,26-30,8,-55.6%,58,-1.7%,28,21.7%,,,94,-6.0%,
,31-39,7,16.7%,25,25.0%,29,11.5%,,,61,17.3%,
,40+,7,75.0%,3,-57.1%,9,-35.7%,,,19,-24.0%,
Enrollment,1st Time in College,12,20.0%,,,,,,,12,20.0%,
Status,1st Time PB,0,-100.0%,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,119,9.2%,3,200.0%,,,122,10.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,11,-42.1%,,,,,,,11,-42.1%,
,Readmitted,7,-50.0%,,,,,,,7,-50.0%,
,Continuing,"1,540",-10.3%,218,-8.4%,64,-3.0%,,,"1,822",-9.8%,
Tuition,Resident Tuition,"1,521",-11.0%,261,-2.6%,14,-12.5%,,,"1,796",-9.9%,
Status,Non-Resident Tuition,22,-12.0%,26,62.5%,5,-16.7%,,,53,12.8%,
,Tuition  Exemption/Waiver,27,0.0%,50,-21.9%,48,6.7%,,,125,-8.1%,
Residency,Texas Resident,"1,519",-11.2%,261,-2.6%,18,0.0%,,,"1,798",-9.9%,
Status,"Non-TX, US Resident",33,3.1%,16,-5.9%,15,7.1%,,,64,1.6%,
,"Non-TX, Non-US Resident",18,-5.3%,60,-4.8%,34,-2.9%,,,112,-4.3%,
SCH,< 6 SCH,428,-8.9%,161,17.5%,59,247.1%,,,648,3.8%,
Categories,6-8 SCH,659,0.9%,69,-43.4%,8,-84.0%,,,736,-10.8%,
,9-11 SCH,264,-22.6%,51,8.5%,,,,,315,-18.8%,
,12-14 SCH,206,-25.1%,55,37.5%,,,,,261,-17.1%,
,15-17 SCH,12,-42.9%,1,-50.0%,,,,,13,-43.5%,
,>17 SCH,1,0.0%,,,,,,,1,0.0%,
Ft/Pt:,Less Than Half Time,55,-8.3%,28,-3.4%,8,-20.0%,,,91,-8.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","522
8","2.6%
700.0%",2,-97.0%,1,0.0%,,,"525
8","-9.0%
700.0%",
,Full-Time,985,-17.3%,307,21.8%,58,3.6%,,,"1,350",-9.9%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
