Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,271",-8.2%,368,-24.3%,380,-8.0%,,,"3,019",-10.5%,
Gender,Female,"1,096",-7.4%,187,-23.7%,151,-10.1%,,,"1,434",-10.2%,
,Male,"1,175",-9.0%,181,-24.9%,229,-6.5%,,,"1,585",-10.8%,
Ethnicity,White,"1,864",-9.3%,252,-21.7%,172,-12.2%,,,"2,288",-11.1%,
,Black,94,-1.1%,8,33.3%,6,20.0%,,,108,1.9%,
,Hispanic,193,-11.1%,25,0.0%,14,16.7%,,,232,-8.7%,
,Asian,44,0.0%,2,-33.3%,7,-50.0%,,,53,-13.1%,
,American Indian,24,50.0%,1,0.0%,,,,,25,47.1%,
,International,26,18.2%,67,-41.2%,178,-2.7%,,,271,-15.0%,
,Unknown/Other,26,4.0%,13,-13.3%,3,0.0%,,,42,-2.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,889,-3.6%,2,100.0%,,,,,891,-3.5%,
,22-25,"1,258",-10.7%,182,-27.5%,18,-5.3%,,,"1,458",-13.2%,
,26-30,88,-9.3%,126,-19.7%,166,-10.3%,,,380,-13.4%,
,31-39,25,-13.8%,48,-20.0%,144,0.7%,,,217,-6.5%,
,40+,11,-35.3%,10,-41.2%,52,-21.2%,,,73,-27.0%,
Enrollment,1st Time in College,6,100.0%,,,,,,,6,100.0%,
Status,1st Time PB,2,-33.3%,4,-20.0%,,,,,6,-25.0%,
,1st Time Graduate,,,19,-17.4%,1,-83.3%,,,20,-31.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,46,-22.0%,,,,,,,46,-22.0%,
,Readmitted,52,40.5%,1,-80.0%,0,-100.0%,,,53,23.3%,
,Continuing,"2,165",-8.7%,344,-24.1%,379,-6.7%,,,"2,888",-10.6%,
Tuition,Resident Tuition,"2,138",-9.4%,215,-19.5%,125,-5.3%,,,"2,478",-10.2%,
Status,Non-Resident Tuition,73,7.4%,29,-32.6%,38,-34.5%,,,140,-17.2%,
,Tuition  Exemption/Waiver,60,30.4%,124,-29.5%,217,-2.7%,,,401,-9.9%,
Residency,Texas Resident,"2,148",-9.3%,218,-19.3%,127,-5.2%,,,"2,493",-10.1%,
Status,"Non-TX, US Resident",93,14.8%,83,-17.8%,74,-21.3%,,,250,-9.4%,
,"Non-TX, Non-US Resident",30,25.0%,67,-41.7%,179,-3.2%,,,276,-14.8%,
SCH,< 6 SCH,766,-1.5%,295,116.9%,334,200.9%,,,"1,395",36.1%,
Categories,6-8 SCH,896,-8.9%,59,-81.7%,40,-86.4%,,,995,-37.8%,
,9-11 SCH,341,-22.5%,11,-52.2%,6,50.0%,,,358,-23.3%,
,12-14 SCH,236,-2.1%,3,-25.0%,0,-100.0%,,,239,-4.0%,
,15-17 SCH,29,0.0%,0,-100.0%,,,,,29,-3.3%,
,>17 SCH,3,0.0%,,,,,,,3,0.0%,
Ft/Pt:,Less Than Half Time,194,20.5%,57,0.0%,43,-40.3%,,,294,1.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","737
15","-9.8%
50.0%",6,-77.8%,1,-95.8%,,,"744
15","-14.3%
50.0%",
,Full-Time,"1,325",-10.8%,305,-24.1%,336,6.0%,,,"1,966",-10.8%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
