Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,572,0.0%,38,-29.6%,61,-9.0%,142,-5.3%,813,-3.6%,
Gender,Female,372,-2.6%,27,-37.2%,39,18.2%,109,-0.9%,547,-3.7%,
,Male,200,5.3%,11,0.0%,22,-35.3%,33,-17.5%,266,-3.3%,
Ethnicity,White,441,-2.9%,21,-41.7%,37,15.6%,128,-5.9%,627,-4.7%,
,Black,8,-38.5%,,,0,-100.0%,1,100.0%,9,-35.7%,
,Hispanic,63,3.3%,4,33.3%,2,100.0%,7,-22.2%,76,4.1%,
,Asian,50,66.7%,3,100.0%,3,50.0%,3,-25.0%,59,63.9%,
,American Indian,2,-50.0%,,,,,0,-100.0%,2,-60.0%,
,International,6,200.0%,10,-33.3%,18,-40.0%,,,34,-27.7%,
,Unknown/Other,2,-75.0%,,,1,-50.0%,3,100.0%,6,-40.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,365,0.0%,1,100.0%,,,1,0.0%,367,0.3%,
,22-25,194,-2.5%,18,-33.3%,11,83.3%,65,-5.8%,288,-4.3%,
,26-30,12,100.0%,13,-18.8%,27,-3.6%,57,0.0%,109,1.9%,
,31-39,1,0.0%,4,-55.6%,16,-42.9%,17,-19.0%,38,-35.6%,
,40+,0,-100.0%,2,0.0%,7,40.0%,2,0.0%,11,10.0%,
Enrollment,1st Time in College,2,-60.0%,,,,,,,2,-60.0%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,2,-50.0%,,,,,2,-50.0%,
,1st Time Professional,,,,,,,0,-100.0%,0,-100.0%,
,1st Time Transfer,0,-100.0%,,,,,,,0,-100.0%,
,Readmitted,3,200.0%,,,,,,,3,200.0%,
,Continuing,567,0.5%,36,-28.0%,61,-9.0%,142,4.4%,806,-1.3%,
Tuition,Resident Tuition,552,-0.7%,23,-30.3%,28,7.7%,130,-12.2%,733,-3.9%,
Status,Non-Resident Tuition,8,-20.0%,2,100.0%,3,0.0%,1,0.0%,14,-6.7%,
,Tuition  Exemption/Waiver,12,100.0%,13,-35.0%,30,-21.1%,11,1000.0%,66,1.5%,
Residency,Texas Resident,551,-0.9%,23,-32.4%,30,11.1%,130,-12.2%,734,-4.1%,
Status,"Non-TX, US Resident",15,7.1%,5,0.0%,13,30.0%,12,500.0%,45,45.2%,
,"Non-TX, Non-US Resident",6,200.0%,10,-33.3%,18,-40.0%,,,34,-27.7%,
SCH,< 6 SCH,293,20.6%,30,57.9%,39,225.0%,14,-26.3%,376,28.3%,
Categories,6-8 SCH,197,-17.2%,7,-78.1%,20,-63.6%,128,-2.3%,352,-22.8%,
,9-11 SCH,66,-1.5%,1,-50.0%,2,100.0%,,,69,0.0%,
,12-14 SCH,12,-50.0%,0,-100.0%,,,,,12,-52.0%,
,15-17 SCH,2,100.0%,,,,,,,2,100.0%,
,>17 SCH,2,100.0%,,,,,,,2,100.0%,
Ft/Pt:,Less Than Half Time,86,4.9%,2,-75.0%,2,-66.7%,2,-50.0%,92,-8.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","255
3","25.6%
200.0%",2,-66.7%,1,-75.0%,7,-56.3%,"265
3","15.7%
200.0%",
,Full-Time,228,-20.3%,34,-15.0%,58,1.8%,133,2.3%,453,-11.7%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
