Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,90,164.7%,95,1483.3%,,,185,362.5%,
Gender,Female,,,46,142.1%,40,100.0%,,,86,352.6%,
,Male,,,44,193.3%,55,816.7%,,,99,371.4%,
Ethnicity,White,,,37,146.7%,30,100.0%,,,67,346.7%,
,Black,,,3,0.0%,,,,,3,0.0%,
,Hispanic,,,5,66.7%,2,100.0%,,,7,133.3%,
,Asian,,,5,0.0%,3,100.0%,,,8,60.0%,
,American Indian,,,,,,,,,,,
,International,,,39,387.5%,57,850.0%,,,96,585.7%,
,Unknown/Other,,,1,100.0%,3,100.0%,,,4,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,43,95.5%,7,600.0%,,,50,117.4%,
,26-30,,,32,255.6%,42,2000.0%,,,74,572.7%,
,31-39,,,13,550.0%,39,1200.0%,,,52,940.0%,
,40+,,,2,100.0%,7,100.0%,,,9,800.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,9,12.5%,,,,,9,12.5%,
,1st Time Graduate,,,6,50.0%,1,100.0%,,,7,75.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,75,240.9%,94,1466.7%,,,169,503.6%,
Tuition,Resident Tuition,,,40,73.9%,24,100.0%,,,64,178.3%,
Status,Non-Resident Tuition,,,6,200.0%,13,100.0%,,,19,850.0%,
,Tuition  Exemption/Waiver,,,44,388.9%,58,866.7%,,,102,580.0%,
Residency,Texas Resident,,,41,78.3%,24,100.0%,,,65,182.6%,
Status,"Non-TX, US Resident",,,10,233.3%,13,100.0%,,,23,666.7%,
,"Non-TX, Non-US Resident",,,39,387.5%,58,866.7%,,,97,592.9%,
SCH,< 6 SCH,,,63,215.0%,86,100.0%,,,149,645.0%,
Categories,6-8 SCH,,,15,87.5%,8,33.3%,,,23,64.3%,
,9-11 SCH,,,9,80.0%,1,100.0%,,,10,100.0%,
,12-14 SCH,,,3,200.0%,,,,,3,200.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,2,100.0%,12,100.0%,,,14,100.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,0,-100.0%,1,100.0%,,,1,-90.9%,
,Full-Time,,,88,282.6%,82,1266.7%,,,170,486.2%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
