Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,694,3.6%,,,,,,,694,3.6%,
Gender,Female,319,5.3%,,,,,,,319,5.3%,
,Male,375,2.2%,,,,,,,375,2.2%,
Ethnicity,White,474,-2.1%,,,,,,,474,-2.1%,
,Black,56,19.1%,,,,,,,56,19.1%,
,Hispanic,120,13.2%,,,,,,,120,13.2%,
,Asian,33,57.1%,,,,,,,33,57.1%,
,American Indian,4,33.3%,,,,,,,4,33.3%,
,International,4,-42.9%,,,,,,,4,-42.9%,
,Unknown/Other,3,50.0%,,,,,,,3,50.0%,
TAMU Age,<18,3,-50.0%,,,,,,,3,-50.0%,
Categories,18-21,667,4.1%,,,,,,,667,4.1%,
,22-25,21,10.5%,,,,,,,21,10.5%,
,26-30,2,0.0%,,,,,,,2,0.0%,
,31-39,0,-100.0%,,,,,,,0,-100.0%,
,40+,1,100.0%,,,,,,,1,100.0%,
Enrollment,1st Time in College,160,-10.6%,,,,,,,160,-10.6%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,1,0.0%,,,,,,,1,0.0%,
,Readmitted,2,100.0%,,,,,,,2,100.0%,
,Continuing,531,8.6%,,,,,,,531,8.6%,
Tuition,Resident Tuition,662,3.1%,,,,,,,662,3.1%,
Status,Non-Resident Tuition,16,0.0%,,,,,,,16,0.0%,
,Tuition  Exemption/Waiver,16,33.3%,,,,,,,16,33.3%,
Residency,Texas Resident,667,3.6%,,,,,,,667,3.6%,
Status,"Non-TX, US Resident",23,15.0%,,,,,,,23,15.0%,
,"Non-TX, Non-US Resident",4,-33.3%,,,,,,,4,-33.3%,
SCH,< 6 SCH,183,-2.7%,,,,,,,183,-2.7%,
Categories,6-8 SCH,260,22.6%,,,,,,,260,22.6%,
,9-11 SCH,209,-4.6%,,,,,,,209,-4.6%,
,12-14 SCH,42,-17.6%,,,,,,,42,-17.6%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,14,16.7%,,,,,,,14,16.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","217
4","1.9%
100.0%",,,,,,,"217
4","1.9%
100.0%",
,Full-Time,459,3.6%,,,,,,,459,3.6%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
