Summer 2005,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Business,ACCT,12,,1,3,428,3,48,1,26,3,1,13,,519,
Admin,AGBU,,,,,5,,,,,,,,,5,
,BUAD,,,10,,201,,3,,30,,,,,256,
,BUAG,,,,,1,,,,,,,,,1,
,FINC,,,,,288,,52,,26,,,6,,375,
,INFO,,,,,74,,,,1,,,9,,84,
,MGMT,,,,2,240,,1,,11,,,22,,276,
,MISY,,,,,,,11,,51,,,,,62,
,MKTG,,,,2,303,,3,,20,,,14,,342,
,MLER,,,,,,,1,,53,,,,,54,
,Subtotal,12,,11,7,"1,540",,119,,218,3,,64,,"1,974",
Education,CPSY,,,,,,,,,3,,,31,,34,
,EDAD,,,,,,,2,,53,14,,149,,223,
,EDCI,,,,,,36,32,1,100,5,,115,,289,
,EDHL,,,2,2,78,,,,,,,,,82,
,EDIS,1,,26,,166,,,,,,,,,193,
,EDKI,4,,7,4,227,,,,,,,,,242,
,EDSM,6,,3,1,64,,,,,,,,,74,
,EDTC,,,,,,,2,,17,,,,,19,
,EHRD,,,,,,2,6,,24,3,1,76,,112,
,EPSY,,,,,,1,9,1,58,1,,38,,108,
,HEED,,,,,,1,,,11,2,,15,,29,
,HLTH,,,,,98,,,,,,,,,98,
,INST,,,1,,549,,,,,,,,,550,
,ISNC,,,8,4,209,,,,,,,,,221,
,KINE,,,,,276,1,8,,39,,,21,,345,
,PHED,,,,,,,,,2,,,1,,3,
,SPMT,,,,,55,,,,,,,,,55,
,SPSY,,,,,,,,,5,,,31,,36,
,TECR,,,,,9,,,,,,,,,9,
,Subtotal,11,,47,11,"1,731",44,59,3,312,25,2,477,,"2,722",
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,,,,,
