Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,800",0.8%,418,-6.5%,504,-4.0%,,,"2,722",-1.3%,
Gender,Female,"1,345",-3.3%,313,-6.0%,350,-0.3%,,,"2,008",-3.2%,
,Male,455,15.5%,105,-7.9%,154,-11.5%,,,714,4.7%,
Ethnicity,White,"1,530",-1.3%,311,-3.1%,288,-9.1%,,,"2,129",-2.7%,
,Black,52,15.6%,26,-18.8%,69,4.5%,,,147,2.8%,
,Hispanic,175,20.7%,46,-28.1%,83,9.2%,,,304,6.7%,
,Asian,25,25.0%,7,40.0%,6,20.0%,,,38,26.7%,
,American Indian,10,-16.7%,,,2,100.0%,,,12,-7.7%,
,International,3,-40.0%,21,-4.5%,48,-7.7%,,,72,-8.9%,
,Unknown/Other,5,-37.5%,7,133.3%,8,0.0%,,,20,5.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,730,-7.4%,,,,,,,730,-7.4%,
,22-25,988,7.7%,149,-14.4%,25,38.9%,,,"1,162",4.8%,
,26-30,53,10.4%,118,10.3%,76,-15.6%,,,247,0.8%,
,31-39,23,15.0%,72,-18.2%,185,8.8%,,,280,0.7%,
,40+,6,-50.0%,79,1.3%,218,-11.7%,,,303,-10.1%,
Enrollment,1st Time in College,11,83.3%,,,,,,,11,83.3%,
Status,1st Time PB,0,-100.0%,44,83.3%,,,,,44,76.0%,
,1st Time Graduate,,,59,-24.4%,25,212.5%,,,84,-2.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,47,14.6%,,,,,,,47,14.6%,
,Readmitted,11,-15.4%,3,50.0%,2,100.0%,,,16,0.0%,
,Continuing,"1,731",0.4%,312,-9.0%,477,-7.6%,,,"2,520",-2.4%,
Tuition,Resident Tuition,"1,755",0.9%,364,-8.1%,417,-3.5%,,,"2,536",-1.2%,
Status,Non-Resident Tuition,28,3.7%,20,5.3%,22,4.8%,,,70,4.5%,
,Tuition  Exemption/Waiver,17,-10.5%,34,6.3%,65,-9.7%,,,116,-5.7%,
Residency,Texas Resident,"1,756",0.9%,369,-7.3%,420,-3.2%,,,"2,545",-1.0%,
Status,"Non-TX, US Resident",41,2.5%,28,3.7%,36,-7.7%,,,105,-0.9%,
,"Non-TX, Non-US Resident",3,-40.0%,21,-4.5%,48,-7.7%,,,72,-8.9%,
SCH,< 6 SCH,547,12.6%,114,18.8%,302,24.8%,,,963,16.9%,
Categories,6-8 SCH,624,-0.2%,155,-6.6%,126,50.0%,,,905,3.4%,
,9-11 SCH,291,-10.5%,117,-4.9%,63,-59.9%,,,471,-22.1%,
,12-14 SCH,311,1.0%,27,-55.0%,12,-68.4%,,,350,-13.8%,
,15-17 SCH,24,-38.5%,4,100.0%,1,-75.0%,,,29,-35.6%,
,>17 SCH,3,50.0%,1,100.0%,,,,,4,100.0%,
Ft/Pt:,Less Than Half Time,71,69.0%,3,50.0%,158,1.3%,,,232,16.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","564
8","9.1%
166.7%",0,-100.0%,10,-66.7%,,,"574
8","2.9%
166.7%",
,Full-Time,"1,157",-5.4%,415,-4.4%,336,-0.9%,,,"1,908",-4.4%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
