Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Summer 2005,,,,,,,
Official Combined Summer Data -- Not Certified,,,,,,,
Summer 2005,,"G6: PB
Non-Degreed","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,180,"2,477","2,464",2,"5,123",
Gender,Female,92,"1,123",948,,"2,163",
,Male,88,"1,354","1,516",2,"2,960",
Ethnicity,White,144,"1,393",927,1,"2,465",
,Black,7,77,90,,174,
,Hispanic,5,184,154,,343,
,Asian,5,60,48,,113,
,American Indian,1,5,7,,13,
,International,14,717,"1,206",1,"1,938",
,Unknown/Other,4,41,32,,77,
TAMU Age,18-21,1,9,1,,11,
Categories,22-25,33,"1,297",197,1,"1,528",
,26-30,38,763,992,1,"1,794",
,31-39,39,297,891,,"1,227",
,40+,69,111,383,,563,
College,Agriculture,11,357,380,,748,
,Architecture,,199,41,,240,
,Business Admin,,337,67,,404,
,Education,63,355,504,,922,
,Engineering,10,634,666,,"1,310",
,G. Bush School of Govt,38,65,,,103,
,Geosciences,2,92,88,,182,
,Liberal Arts,3,110,224,,337,
,Science,37,217,338,1,593,
,Veterinary Medicine,1,36,61,1,99,
,Other - Special Populations,15,75,95,,185,
Enrollment,1st Time PB,108,,,,108,
Status,1st Time Graduate,,261,46,,307,
,Readmitted,,6,2,,8,
,Continuing,72,"2,210","2,416",2,"4,700",
Tuition Status,Resident Tuition,152,"1,365",844,1,"2,362",
,Non-Resident Tuition,18,231,298,1,548,
,Tuition Exemption/Waiver,10,881,"1,322",,"2,213",
Residency,Texas Resident,155,"1,384",863,1,"2,403",
Status,"Non-TX, US Resident",11,371,382,,764,
,"Non-TX, Non-US Resident",14,722,"1,219",1,"1,956",
SCH,< 6 SCH,114,"1,565","2,016",2,"3,697",
Categories,6-8 SCH,58,552,352,,962,
,9-11 SCH,5,257,79,,341,
,12-14 SCH,3,96,15,,114,
,15-17 SCH,,6,2,,8,
,>17 SCH,,1,,,1,
Ft/Pt: TAMU,Less Than Half Time,2,279,397,,678,
Status,Half-Time,2,33,25,,60,
,Full-Time,176,"2,165","2,042",2,"4,385",
"Prepared by OISP, 16 Aug 05",,,,,,,
