Summer 2005,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"12,843",-6.2%,"2,659",-7.5%,"2,464",4.3%,142,-5.3%,"18,108",-5.1%,
Gender,Female,"6,460",-7.1%,"1,215",-6.7%,948,7.0%,109,-0.9%,"8,732",-5.6%,
,Male,"6,383",-5.4%,"1,444",-8.2%,"1,516",2.6%,33,-17.5%,"9,376",-4.7%,
Ethnicity,White,"10,251",-7.2%,"1,538",-5.2%,927,-0.1%,128,-5.9%,"12,844",-6.4%,
,Black,399,-5.7%,84,27.3%,90,3.4%,1,100.0%,574,-0.3%,
,Hispanic,"1,339",0.3%,189,-0.5%,154,25.2%,7,-22.2%,"1,689",1.9%,
,Asian,449,-4.1%,65,-4.4%,48,23.1%,3,-25.0%,565,-2.4%,
,American Indian,77,11.6%,6,50.0%,7,40.0%,0,-100.0%,90,13.9%,
,International,224,-10.0%,732,-16.5%,"1,206",4.2%,,,"2,162",-5.3%,
,Unknown/Other,104,-8.0%,45,-6.3%,32,33.3%,3,100.0%,184,-0.5%,
TAMU Age,<18,6,-14.3%,,,,,,,6,-14.3%,
Categories,18-21,"6,322",-3.5%,10,42.9%,1,100.0%,1,0.0%,"6,334",-3.4%,
,22-25,"5,980",-8.7%,"1,331",-7.7%,197,20.1%,65,-5.8%,"7,573",-7.9%,
,26-30,376,-7.6%,802,-4.8%,992,6.7%,57,0.0%,"2,227",-0.4%,
,31-39,116,-6.5%,336,-13.0%,891,3.4%,17,-19.0%,"1,360",-2.4%,
,40+,43,-34.8%,180,-9.1%,383,-5.9%,2,0.0%,608,-9.7%,
Enrollment,1st Time in College,215,-3.2%,,,,,,,215,-3.2%,
Status,1st Time PB,6,0.0%,108,6.9%,,,,,114,6.5%,
,1st Time Graduate,,,261,-10.6%,46,24.3%,,,307,-6.7%,
,1st Time Professional,,,,,,,0,-100.0%,0,-100.0%,
,1st Time Transfer,172,-7.5%,,,,,,,172,-7.5%,
,Readmitted,123,-3.9%,6,-53.8%,2,-50.0%,,,131,-9.7%,
,Continuing,"12,327",-6.3%,"2,284",-7.5%,"2,416",4.0%,142,4.4%,"17,169",-5.1%,
Tuition,Resident Tuition,"12,102",-6.7%,"1,518",-4.4%,844,2.3%,130,-12.2%,"14,594",-6.0%,
Status,Non-Resident Tuition,403,-13.1%,250,-19.6%,298,4.2%,1,0.0%,952,-10.4%,
,Tuition  Exemption/Waiver,338,27.5%,891,-8.7%,"1,322",5.6%,11,1000.0%,"2,562",2.7%,
Residency,Texas Resident,"12,132",-6.6%,"1,540",-3.4%,863,3.2%,130,-12.2%,"14,665",-5.8%,
Status,"Non-TX, US Resident",471,4.9%,382,-3.8%,382,5.5%,12,500.0%,"1,247",3.1%,
,"Non-TX, Non-US Resident",240,-6.3%,737,-16.5%,"1,219",4.6%,,,"2,196",-4.7%,
SCH,< 6 SCH,"4,092",0.5%,"1,681",77.9%,"2,016",169.2%,14,-26.3%,"7,803",34.9%,
Categories,6-8 SCH,"4,950",-5.1%,610,-59.7%,352,-74.7%,128,-2.3%,"6,040",-26.8%,
,9-11 SCH,"2,126",-16.8%,262,-7.1%,79,-54.9%,,,"2,467",-18.1%,
,12-14 SCH,"1,528",-9.5%,99,-20.8%,15,-66.7%,,,"1,642",-11.7%,
,15-17 SCH,127,-20.1%,6,-25.0%,2,-60.0%,,,135,-21.5%,
,>17 SCH,20,81.8%,1,0.0%,,,,,21,75.0%,
Ft/Pt:,Less Than Half Time,912,14.3%,281,5.2%,397,-8.3%,2,-50.0%,"1,592",6.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","4,060
59","0.1%
90.3%",35,-87.8%,25,-72.8%,7,-56.3%,"4,127
59","-7.3%
90.3%",
,Full-Time,"7,812",-11.4%,"2,343",0.9%,"2,042",11.1%,133,2.3%,"12,330",-5.9%,
"Prepared by OISP, 16 Aug 05",,,,,,,,,,,,
