Office of Institutional Studies and Planning,,,,,,,,,
Undergraduate  Students,,,,,,,,,
Summer 2005,,,,,,,,,
Official Combined Summer Data -- Not Certified,,,,,,,,,
Summer 2005,,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior",U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,182,607,"1,492","4,244","6,290",28,"12,843",
Gender,Female,93,264,706,"2,205","3,183",9,"6,460",
,Male,89,343,786,"2,039","3,107",19,"6,383",
Ethnicity,White,85,391,"1,175","3,502","5,073",25,"10,251",
,Black,12,79,54,99,155,,399,
,Hispanic,27,101,158,406,646,1,"1,339",
,Asian,10,21,69,131,218,,449,
,American Indian,1,5,9,22,39,1,77,
,International,10,9,22,69,113,1,224,
,Unknown/Other,37,1,5,15,46,,104,
TAMU Age,<18,2,4,,,,,6,
Categories,18-21,91,597,"1,392","2,894","1,347",1,"6,322",
,22-25,73,5,84,"1,237","4,571",10,"5,980",
,26-30,13,1,10,74,270,8,376,
,31-39,2,,4,27,75,8,116,
,40+,1,,2,12,27,1,43,
College,Agriculture,31,55,245,777,"1,157",6,"2,271",
,Architecture,1,10,63,167,332,,573,
,Business Admin,4,28,134,635,769,,"1,570",
,Education,4,30,140,558,"1,062",6,"1,800",
,Engineering,50,61,227,649,"1,004",10,"2,001",
,Geosciences,,4,12,56,86,3,161,
,Liberal Arts,21,56,239,927,"1,310",,"2,553",
,Science,41,22,68,213,301,3,648,
,Veterinary Medicine,25,25,66,190,266,,572,
,General Studies,5,316,298,72,3,,694,
Enrollment,1st Time in College,,215,,,,,215,
Status,1st Time PB,,,,,,6,6,
,1st Time Transfer,,6,88,75,3,,172,
,Readmitted,,4,14,43,62,,123,
,Continuing,182,382,"1,390","4,126","6,225",22,"12,327",
Tuition Status,Resident Tuition,100,554,"1,400","4,034","5,989",25,"12,102",
,Non-Resident Tuition,43,28,51,112,167,2,403,
,Tuition Exemption/Waiver,39,25,41,98,134,1,338,
Residency,Texas Resident,102,560,"1,409","4,037","5,998",26,"12,132",
Status,"Non-TX, US Resident",69,35,61,136,169,1,471,
,"Non-TX, Non-US Resident",11,12,22,71,123,1,240,
SCH Categories,< 6 SCH,147,160,546,"1,180","2,042",17,"4,092",
,6-8 SCH,30,203,601,"1,785","2,327",4,"4,950",
,9-11 SCH,3,205,207,715,989,7,"2,126",
,12-14 SCH,2,39,136,530,821,,"1,528",
,15-17 SCH,,,,29,98,,127,
,>17 SCH,,,2,5,13,,20,
Ft/Pt: TAMU,Less Than Half Time,104,22,86,221,476,3,912,
Status,Half-Time,46,156,569,"1,358","1,921",10,"4,060",
,Three-Quarter Time,,5,7,18,28,1,59,
,Full-Time,32,424,830,"2,647","3,865",14,"7,812",
Top 10% Texas,No,166,484,990,"2,646","3,867",22,"8,175",
High School,Yes,16,123,502,"1,598","2,423",6,"4,668",
First Generation,No,35,365,"1,028","2,963","3,955",22,"8,368",
,Unknown,135,14,52,211,705,3,"1,120",
,Yes,12,228,412,"1,070","1,630",3,"3,355",
"Prepared by OISP, 16 Aug 05",,,,,,,,,
