Headcount by Major by Ethnic Origin,,,,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,,,,
"Summer 2003
Science              APMS BIOL BMCB BOTN CHEM GENE MATH MBIO MEPS PHYS PPHY STAT TOXI ZOOL
Subtotal
Veterinary         BIMS
Medicine           EPID FSTC GENE LAMD TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS
Subtotal
General              GEST
Studies               TEAM
Subtotal
Other -               BIOT
Special               ENSM
Populations       MDSC
PHLT REEP
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,31,-11.4%,,,1,-66.7%,3,0.0%,,1,100.0%,1,100.0%,,1,100.0%,38,-7.3%,
,212,1.9%,14,-26.3%,35,-7.9%,31,29.2%,,,,8,14.3%,,4,-33.3%,304,0.7%,
,18,-35.7%,1,100.0%,4,33.3%,2,-66.7%,,,,3,200.0%,,1,0.0%,29,-25.6%,
,2,100.0%,,,,,,,,,,,,,,,2,100.0%,
,136,0.7%,9,12.5%,23,21.1%,13,-7.1%,,1,0.0%,90,-4.3%,,2,-83.3%,274,-3.2%,
,2,0.0%,,,,,,,,,,1,100.0%,,,,3,50.0%,
,104,31.6%,3,200.0%,8,100.0%,6,100.0%,,,,54,31.7%,,5,-37.5%,180,32.4%,
,31,-26.2%,0,-100.0%,12,100.0%,2,-60.0%,,,,2,-60.0%,,,,47,-20.3%,
,,,,,,,,,,,,1,100.0%,,,,1,100.0%,
,84,50.0%,1,0.0%,8,300.0%,2,-50.0%,,,,77,20.3%,,5,25.0%,177,35.1%,
,1,0.0%,,,,,,,,,,1,0.0%,,,,2,0.0%,
,10,-23.1%,0,-100.0%,0,-100.0%,0,-100.0%,,,,39,2.6%,,,,49,-10.9%,
,1,100.0%,,,,,1,0.0%,,,,,,,,,2,100.0%,
,29,-35.6%,1,100.0%,5,25.0%,1,0.0%,,,,1,100.0%,,0,-100.0%,37,-28.8%,
,661,2.5%,29,-6.5%,96,18.5%,61,-1.6%,,2,100.0%,278,10.8%,,18,-45.5%,"1,145",3.7%,
,465,-4.5%,9,-50.0%,53,3.9%,33,32.0%,,4,33.3%,1,0.0%,,9,-25.0%,574,-3.9%,
,2,-50.0%,,,,,,,,,,,,,,,2,-50.0%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,9,0.0%,,,,,1,100.0%,,,,5,0.0%,,1,0.0%,16,6.7%,
,,,,,,,1,100.0%,,,,,,,,,1,100.0%,
,12,-20.0%,1,0.0%,,,0,-100.0%,,,,17,13.3%,,1,0.0%,31,-6.1%,
,2,-33.3%,,,,,,,,,,,,,,,2,-33.3%,
,2,100.0%,,,1,100.0%,,,,,,,,,,,3,200.0%,
,4,0.0%,0,-100.0%,,,,,,,,3,0.0%,,,,7,-12.5%,
,6,50.0%,,,0,-100.0%,1,0.0%,,,,3,0.0%,,,,10,11.1%,
,5,-16.7%,,,,,,,,,,1,-50.0%,,1,0.0%,7,-22.2%,
,119,5.3%,,,10,233.3%,2,-71.4%,,1,100.0%,,,,4,300.0%,136,9.7%,
,17,-19.0%,1,100.0%,1,-50.0%,1,0.0%,,,,5,-44.4%,,,,25,-24.2%,
,5,0.0%,,,,,1,100.0%,,,,,,,,,6,20.0%,
,649,-3.4%,11,-45.0%,65,14.0%,40,14.3%,,5,66.7%,35,-7.9%,,16,0.0%,821,-2.4%,
,338,-4.5%,37,-27.5%,70,-14.6%,8,-65.2%,,,,7,75.0%,,6,0.0%,466,-10.4%,
,46,-17.9%,0,-100.0%,8,60.0%,0,-100.0%,,,,1,100.0%,,,,55,-12.7%,
,384,-6.3%,37,-28.8%,78,-10.3%,8,-66.7%,,,,8,100.0%,,6,0.0%,521,-10.6%,
,9,-18.2%,1,100.0%,2,100.0%,4,33.3%,,,,2,-33.3%,,,,18,5.9%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,5,66.7%,0,-100.0%,1,100.0%,,,,,,10,233.3%,,,,16,128.6%,
,11,175.0%,1,-50.0%,1,-50.0%,1,100.0%,,,,2,100.0%,,0,-100.0%,16,60.0%,
,,,,,,,,,,,,11,-31.3%,,,,11,-31.3%,
,26,44.4%,2,-33.3%,4,100.0%,5,66.7%,,,,25,8.7%,,0,-100.0%,62,24.0%,
,"13,408",-3.8%,511,-3.9%,"1,521",1.6%,553,-8.6%,,81,-4.7%,"2,302",4.2%,,248,-15.9%,"18,624",-2.8%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,,,,
