Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Education,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,507",-2.5%,427,-6.6%,499,4.2%,,,"2,433",-2.0%,
Gender,Female,"1,177",-6.7%,330,-3.5%,332,4.1%,,,"1,839",-4.3%,
,Male,330,15.8%,97,-15.7%,167,4.4%,,,594,6.1%,
Ethnicity,White,"1,295",-3.9%,326,-10.2%,324,-0.3%,,,"1,945",-4.4%,
,Black,45,9.8%,30,66.7%,55,17.0%,,,130,22.6%,
,Hispanic,120,3.4%,42,-16.0%,60,-6.3%,,,222,-3.5%,
,Asian,24,100.0%,7,250.0%,4,-20.0%,,,35,84.2%,
,American Indian,11,-8.3%,3,50.0%,2,0.0%,,,16,0.0%,
,International,5,150.0%,12,-36.8%,48,71.4%,,,65,32.7%,
,Unknown/Other,7,-56.3%,7,133.3%,6,-25.0%,,,20,-25.9%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,617,-5.8%,0,-100.0%,,,,,617,-6.2%,
,22-25,816,-1.7%,151,14.4%,15,15.4%,,,982,0.7%,
,26-30,48,29.7%,104,2.0%,83,13.7%,,,235,10.8%,
,31-39,20,11.1%,79,-30.1%,157,0.6%,,,256,-10.8%,
,40+,6,20.0%,93,-13.1%,244,3.0%,,,343,-1.7%,
Enrollment,1st Time in College,4,-42.9%,,,,,,,4,-42.9%,
Status,1st Time PB,,,55,n/a,,,,,55,n/a,
,1st Time Graduate,,,55,-15.4%,5,-77.3%,,,60,-31.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,44,-17.0%,,,,,,,44,-17.0%,
,Readmitted,10,0.0%,4,0.0%,2,100.0%,,,16,6.7%,
,Continuing,"1,449",-1.8%,313,-19.3%,492,7.9%,,,"2,254",-2.8%,
Tuition,Resident Tuition,"1,464",-3.1%,394,0.5%,412,1.0%,,,"2,270",-1.8%,
Status,Non-Resident Tuition,27,42.1%,14,-60.0%,25,47.1%,,,66,-7.0%,
,Tuition Exemption/Waiver,16,0.0%,19,-36.7%,62,14.8%,,,97,-3.0%,
Residency,Texas Resident,"1,463",-3.4%,395,-0.3%,413,1.5%,,,"2,271",-2.0%,
Status,"Non-TX, US Resident",39,30.0%,20,-52.4%,38,-11.6%,,,97,-15.7%,
,"Non-TX, Non-US Resident",5,150.0%,12,-36.8%,48,65.5%,,,65,30.0%,
SCH,< 6 SCH,421,19.6%,93,-19.8%,231,-1.7%,,,745,6.0%,
Categories,6-8 SCH,506,-4.7%,200,-4.8%,146,-7.0%,,,852,-5.1%,
,9-11 SCH,290,-11.3%,91,-11.7%,98,46.3%,,,479,-3.6%,
,12-14 SCH,272,-10.2%,39,69.6%,22,22.2%,,,333,-3.2%,
,15-17 SCH,18,-40.0%,3,-40.0%,2,0.0%,,,23,-37.8%,
,>17 SCH,0,-100.0%,1,100.0%,,,,,1,-66.7%,
Ft/Pt:,Less Than Half Time,32,28.0%,2,0.0%,135,-5.6%,,,169,-0.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","442
4","24.2%
100.0%",12,-14.3%,40,66.7%,,,"494
4","25.4%
100.0%",
,Full-Time,"1,029",-11.5%,413,-6.3%,324,3.8%,,,"1,766",-7.8%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
