Headcount by Major by Ethnic Origin,,,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,,,
Summer 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,471,2.2%,27,-10.0%,32,68.4%,2,-60.0%,4,-20.0%,2,-60.0%,9,28.6%,547,2.8%,
,AGBL,16,-61.9%,1,100.0%,,,,,,,0,-100.0%,1,100.0%,18,-59.1%,
,AGBU,92,-13.2%,,,0,-100.0%,1,100.0%,,,8,14.3%,0,-100.0%,101,-14.4%,
,AGEC,178,-11.9%,3,200.0%,7,-36.4%,2,0.0%,0,-100.0%,45,0.0%,1,0.0%,236,-10.3%,
,AGED,58,7.4%,4,100.0%,4,0.0%,,,,,5,66.7%,,,71,12.7%,
,AGEN,22,-12.0%,1,0.0%,1,100.0%,1,100.0%,,,2,-33.3%,,,27,-6.9%,
,AGJR,35,12.9%,3,-25.0%,2,0.0%,1,0.0%,1,0.0%,,,1,0.0%,43,7.5%,
,AGLS,135,73.1%,21,75.0%,31,93.8%,5,400.0%,2,-50.0%,,,0,-100.0%,194,71.7%,
,AGRO,58,1.8%,2,100.0%,,,,,,,9,125.0%,1,0.0%,70,12.9%,
,AGSC,76,-15.6%,2,100.0%,4,33.3%,1,100.0%,1,100.0%,,,,,84,-10.6%,
,AGSM,77,-23.8%,2,100.0%,4,-33.3%,,,,,1,100.0%,,,84,-21.5%,
,ANBR,1,100.0%,,,,,,,,,,,,,1,100.0%,
,ANSC,274,1.9%,4,0.0%,19,-17.4%,3,50.0%,0,-100.0%,1,-83.3%,3,-40.0%,304,-2.3%,
,BAEN,16,23.1%,1,0.0%,0,-100.0%,,,,,21,133.3%,1,0.0%,39,56.0%,
,BESC,58,16.0%,7,0.0%,18,80.0%,4,100.0%,0,-100.0%,,,2,-60.0%,89,18.7%,
,BICH,77,-20.6%,8,-11.1%,16,-5.9%,8,-33.3%,,,56,33.3%,13,160.0%,178,-2.2%,
,BSEN,10,11.1%,0,-100.0%,2,0.0%,0,-100.0%,,,,,,,12,-14.3%,
,DASC,4,33.3%,,,,,,,,,,,1,100.0%,5,66.7%,
,ENTO,44,-2.2%,,,9,200.0%,5,-16.7%,,,11,0.0%,2,100.0%,71,9.2%,
,FISC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,FLOR,3,100.0%,,,,,,,,,,,,,3,100.0%,
,FORS,24,100.0%,,,,,,,1,100.0%,7,40.0%,2,100.0%,34,100.0%,
,FSTC,32,-13.5%,2,-33.3%,7,-12.5%,0,-100.0%,,,28,-9.7%,1,-50.0%,70,-15.7%,
,GENE,67,-1.5%,3,-25.0%,2,-71.4%,7,0.0%,,,14,27.3%,0,-100.0%,93,-6.1%,
,HORT,70,-5.4%,1,0.0%,3,-25.0%,0,-100.0%,0,-100.0%,13,0.0%,0,-100.0%,87,-8.4%,
,MEPS,6,20.0%,,,,,1,100.0%,,,15,0.0%,,,22,10.0%,
,NRDV,7,250.0%,,,,,,,,,0,-100.0%,,,7,133.3%,
,NUSC,132,34.7%,1,-50.0%,14,-6.7%,2,100.0%,2,100.0%,1,-50.0%,0,-100.0%,152,26.7%,
,NUTR,22,-35.3%,,,2,0.0%,1,0.0%,,,12,9.1%,,,37,-22.9%,
,PLBR,12,50.0%,,,,,,,,,13,-7.1%,1,100.0%,26,18.2%,
,PLPA,6,-14.3%,,,0,-100.0%,,,,,19,18.8%,,,25,4.2%,
,PLSC,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,POSC,60,-4.8%,1,-50.0%,7,-30.0%,1,-50.0%,,,7,0.0%,1,100.0%,77,-8.3%,
,PPHY,,,,,,,,,,,1,-50.0%,,,1,-50.0%,
,PPRO,1,0.0%,,,,,,,,,,,,,1,0.0%,
,PREP,20,25.0%,0,-100.0%,,,,,,,5,66.7%,,,25,25.0%,
,PSSC,1,-50.0%,,,,,,,,,0,-100.0%,,,1,-66.7%,
,RENR,14,-6.7%,,,,,,,,,1,100.0%,0,-100.0%,15,-6.3%,
,RLEM,86,19.4%,,,2,-71.4%,2,-33.3%,1,0.0%,11,-21.4%,1,0.0%,103,5.1%,
,RPTS,139,-23.6%,0,-100.0%,16,33.3%,3,200.0%,3,200.0%,9,-10.0%,1,-80.0%,171,-19.7%,
,RRDV,1,-50.0%,,,,,,,,,,,,,1,-50.0%,
,SOSC,10,11.1%,0,-100.0%,,,,,,,7,40.0%,2,0.0%,19,11.8%,
,TOXI,2,100.0%,,,1,0.0%,,,,,,,,,3,50.0%,
,WFSC,199,-13.1%,4,33.3%,24,41.2%,4,-42.9%,1,-50.0%,16,14.3%,6,-25.0%,254,-9.3%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,,,
