Demographic Summary by Classification,,,,,,,
Graduate Students Summer 2003,,,,,,,
Summer 2003,,"G6: PB
Non-Degreed","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,260,"2,557","2,290",8,"5,115",
Gender,Female,145,"1,120",851,4,"2,120",
,Male,115,"1,437","1,439",4,"2,995",
Ethnicity,White,183,"1,400",913,8,"2,504",
,Black,15,41,69,,125,
,Hispanic,24,134,104,,262,
,Asian,5,58,42,,105,
,American Indian,1,4,7,,12,
,International,23,880,"1,136",,"2,039",
,Unknown/Other,9,40,19,,68,
TAMU Age,18-21,,10,4,1,15,
Categories,22-25,62,"1,361",158,2,"1,583",
,26-30,49,762,867,3,"1,681",
,31-39,52,302,858,1,"1,213",
,40+,97,122,403,1,623,
College,Agriculture,6,470,419,,895,
,Architecture,6,194,42,,242,
,Business Admin,4,325,73,,402,
,Education,92,333,499,2,926,
,Engineering,16,716,641,,"1,373",
,G. Bush School of Govt,11,51,,,62,
,Geosciences,8,93,73,2,176,
,Liberal Arts,3,115,183,,301,
,Science,77,200,295,3,575,
,Veterinary Medicine,4,41,65,1,111,
,Other - Special Populations,33,19,,,52,
Enrollment,1st Time PB,171,,,,171,
Status,1st Time Graduate,,293,35,,328,
,Readmitted,,5,2,,7,
,Continuing,89,"2,259","2,253",8,"4,609",
Tuition Status,Resident Tuition,197,"1,298",796,5,"2,296",
,Non-Resident Tuition,37,295,253,,585,
,Tuition Exemption/Waiver,26,964,"1,241",3,"2,234",
Residency,Texas Resident,200,"1,309",802,5,"2,316",
Status,"Non-TX, US Resident",37,364,348,3,752,
,"Non-TX, Non-US Resident",23,884,"1,140",,"2,047",
SCH,< 6 SCH,134,758,615,1,"1,508",
Categories,6-8 SCH,109,"1,484","1,506",7,"3,106",
,9-11 SCH,13,212,137,,362,
,12-14 SCH,4,93,28,,125,
,15-17 SCH,,9,3,,12,
,>17 SCH,,1,1,,2,
Ft/Pt: TAMU,Less Than Half Time,2,248,357,,607,
Status,Half-Time,17,215,93,,325,
,Full-Time,241,"2,094","1,840",8,"4,183",
"Prepared by OISP, 04 Aug 03",,,,,,,
