Headcount by Department by Level,,,,,,,,,,,
Summer 2003,,,,,,,,,,,
"Summer 2003
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD
INEN SABX SRPH
Subtotal
Total",Undergraduate,,Masters,,PhD,,Professional,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
,380,-6.4%,18,0.0%,27,-18.2%,,,425,-7.0%,
,65,-12.2%,87,22.5%,124,-10.8%,,,276,-2.8%,
,103,10.8%,73,49.0%,42,20.0%,,,218,23.2%,
,22,0.0%,86,95.5%,69,6.2%,,,177,35.1%,
,,,16,-30.4%,33,3.1%,,,49,-10.9%,
,570,-4.2%,280,36.6%,295,-3.0%,,,"1,145",3.7%,
,574,-3.9%,,,,,136,9.7%,710,-1.5%,
,,,11,57.1%,18,-21.7%,,,29,-3.3%,
,,,5,0.0%,,,,,5,0.0%,
,,,3,0.0%,,,,,3,0.0%,
,,,19,-9.5%,24,-14.3%,,,43,-12.2%,
,,,8,-27.3%,23,4.5%,,,31,-6.1%,
,574,-3.9%,46,-2.1%,65,-11.0%,136,9.7%,821,-2.4%,
,521,-10.6%,,,,,,,521,-10.6%,
,521,-10.6%,,,,,,,521,-10.6%,
,,,16,128.6%,,,,,16,128.6%,
,,,18,5.9%,,,,,18,5.9%,
,,,1,100.0%,,,,,1,100.0%,
,10,-37.5%,1,100.0%,,,,,11,-31.3%,
,,,16,60.0%,,,,,16,60.0%,
,10,-37.5%,52,52.9%,,,,,62,24.0%,
,"13,373",-4.6%,"2,825",0.7%,"2,290",3.4%,136,9.7%,"18,624",-2.8%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,
