Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,515",-1.5%,476,3.9%,419,3.2%,,,"3,410",-0.2%,
Gender,Female,"1,180",-4.5%,244,2.5%,160,6.7%,,,"1,584",-2.4%,
,Male,"1,335",1.3%,232,5.5%,259,1.2%,,,"1,826",1.8%,
Ethnicity,White,"2,107",-2.5%,318,-1.5%,200,2.6%,,,"2,625",-2.0%,
,Black,89,7.2%,6,-25.0%,3,50.0%,,,98,5.4%,
,Hispanic,199,13.1%,16,6.7%,12,0.0%,,,227,11.8%,
,Asian,34,-8.1%,5,0.0%,15,0.0%,,,54,-5.3%,
,American Indian,16,-20.0%,,,,,,,16,-20.0%,
,International,32,-5.9%,123,23.0%,185,3.9%,,,340,9.0%,
,Unknown/Other,38,-11.6%,8,14.3%,4,0.0%,,,50,-7.4%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,946,-1.3%,,,,,,,946,-1.3%,
,22-25,"1,431",-0.1%,246,0.8%,27,-20.6%,,,"1,704",-0.4%,
,26-30,100,-13.8%,159,16.9%,180,9.1%,,,439,5.3%,
,31-39,28,-28.2%,52,2.0%,152,1.3%,,,232,-3.3%,
,40+,10,25.0%,19,-29.6%,60,5.3%,,,89,-3.3%,
Enrollment,1st Time in College,8,700.0%,,,,,,,8,700.0%,
Status,1st Time PB,2,100.0%,1,n/a,,,,,3,n/a,
,1st Time Graduate,,,39,-13.3%,3,-57.1%,,,42,-19.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,70,-24.7%,,,,,,,70,-24.7%,
,Readmitted,36,28.6%,0,-100.0%,0,-100.0%,,,36,12.5%,
,Continuing,"2,399",-1.3%,436,6.1%,416,4.8%,,,"3,251",0.4%,
Tuition,Resident Tuition,"2,392",-1.2%,250,-4.6%,135,8.0%,,,"2,777",-1.1%,
Status,Non-Resident Tuition,74,-12.9%,44,29.4%,52,-3.7%,,,170,-1.7%,
,Tuition Exemption/Waiver,49,4.3%,182,12.3%,232,2.2%,,,463,6.2%,
Residency,Texas Resident,"2,397",-1.2%,252,-4.2%,136,8.8%,,,"2,785",-1.0%,
Status,"Non-TX, US Resident",85,-6.6%,101,6.3%,98,-3.9%,,,284,-1.4%,
,"Non-TX, Non-US Resident",33,-8.3%,123,23.0%,185,3.4%,,,341,8.3%,
SCH,< 6 SCH,783,-2.1%,120,-10.4%,100,-2.9%,,,"1,003",-3.3%,
Categories,6-8 SCH,"1,007",7.8%,328,13.5%,302,2.7%,,,"1,637",7.9%,
,9-11 SCH,430,-3.6%,22,-15.4%,14,180.0%,,,466,-2.3%,
,12-14 SCH,255,-22.0%,6,-14.3%,2,-50.0%,,,263,-22.2%,
,15-17 SCH,36,0.0%,0,-100.0%,,,,,36,-5.3%,
,>17 SCH,4,-60.0%,,,1,100.0%,,,5,-50.0%,
Ft/Pt:,Less Than Half Time,181,11.7%,57,-12.3%,65,-12.2%,,,303,0.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","825
7","4.2%
133.3%",10,-56.5%,17,0.0%,,,"852
7","2.4%
133.3%",
,Full-Time,"1,502",-5.9%,409,10.5%,337,7.0%,,,"2,248",-1.4%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
