Demographic  Summary,,,,,
for the Corps of Cadets Summer 2003,,,,,
Summer 2003,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"18,042",582,"18,624",
Gender,Female,"8,825",41,"8,866",
,Male,"9,217",541,"9,758",
Ethnicity,White,"12,942",466,"13,408",
,Black,498,13,511,
,Hispanic,"1,448",73,"1,521",
,Asian,543,10,553,
,American Indian,78,3,81,
,International,"2,295",7,"2,302",
,Unknown/Other,238,10,248,
TAMU Age Categories,<18,5,,5,
,18-21,"6,094",320,"6,414",
,22-25,"7,759",240,"7,999",
,26-30,"2,149",20,"2,169",
,31-39,"1,348",2,"1,350",
,40+,687,,687,
College,Agriculture,"3,289",121,"3,410",
,Architecture,755,43,798,
,Business Admin,"2,157",50,"2,207",
,Education,"2,408",25,"2,433",
,Engineering,"3,652",129,"3,781",
,G. Bush School of Govt,62,,62,
,Geosciences,322,13,335,
,Liberal Arts,"2,922",127,"3,049",
,Science,"1,132",13,"1,145",
,Veterinary Medicine,812,9,821,
,General Studies,469,52,521,
,Other - Special Populations,62,,62,
Enrollment Status,1st Time in College,186,9,195,
,1st Time PB,178,,178,
,1st Time Graduate,328,,328,
,1st Time Professional,11,,11,
,1st Time Transfer,254,3,257,
,Readmitted,125,,125,
,Continuing,"16,960",570,"17,530",
Tuition Status,Resident Tuition,"14,572",515,"15,087",
,Non-Resident Tuition,"1,025",8,"1,033",
,Tuition Exemption/Waiver,"2,445",59,"2,504",
Residency Status,Texas Resident,"14,610",518,"15,128",
,"Non-TX, US Resident","1,126",56,"1,182",
,"Non-TX, Non-US Resident","2,306",8,"2,314",
SCH Categories,< 6 SCH,"5,418",135,"5,553",
,6-8 SCH,"8,144",237,"8,381",
,9-11 SCH,"2,780",126,"2,906",
,12-14 SCH,"1,565",78,"1,643",
,15-17 SCH,117,6,123,
,>17 SCH,18,,18,
Ft/Pt:  TAMU Status,Less Than Half Time,"1,328",30,"1,358",
,Half-Time,"4,419",128,"4,547",
,Three-Quarter Time,36,2,38,
,Full-Time,"12,259",422,"12,681",
"Prepared by OISP, 04 Aug 03",,,,,
