Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,556,3.7%,200,11.7%,42,-6.7%,,,798,5.0%,
Gender,Female,135,-28.2%,85,26.9%,13,85.7%,,,233,-11.1%,
,Male,421,21.0%,115,2.7%,29,-23.7%,,,565,13.5%,
Ethnicity,White,475,6.7%,92,21.1%,12,-29.4%,,,579,7.6%,
,Black,7,40.0%,2,100.0%,,,,,9,50.0%,
,Hispanic,55,7.8%,9,12.5%,1,-50.0%,,,65,6.6%,
,Asian,9,-43.8%,5,-16.7%,0,-100.0%,,,14,-39.1%,
,American Indian,4,-20.0%,0,-100.0%,,,,,4,-33.3%,
,International,0,-100.0%,88,3.5%,29,20.8%,,,117,3.5%,
,Unknown/Other,6,-40.0%,4,100.0%,0,-100.0%,,,10,-23.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,223,5.7%,,,,,,,223,5.7%,
,22-25,312,3.7%,96,20.0%,,,,,408,7.1%,
,26-30,16,0.0%,77,10.0%,5,-44.4%,,,98,3.2%,
,31-39,5,-37.5%,26,4.0%,31,40.9%,,,62,12.7%,
,40+,,,1,-75.0%,6,-57.1%,,,7,-61.1%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,0,-100.0%,2,n/a,,,,,2,n/a,
,1st Time Graduate,,,19,-9.5%,1,0.0%,,,20,-9.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,14,100.0%,,,,,,,14,100.0%,
,Readmitted,2,-60.0%,,,,,,,2,-60.0%,
,Continuing,540,3.3%,179,13.3%,41,-6.8%,,,760,4.8%,
Tuition,Resident Tuition,539,4.9%,87,14.5%,12,-36.8%,,,638,4.8%,
Status,Non-Resident Tuition,10,11.1%,29,-17.1%,5,-44.4%,,,44,-17.0%,
,Tuition Exemption/Waiver,7,-46.2%,84,23.5%,25,47.1%,,,116,18.4%,
Residency,Texas Resident,540,5.1%,88,14.3%,12,-36.8%,,,640,4.9%,
Status,"Non-TX, US Resident",16,-11.1%,24,41.2%,1,-50.0%,,,41,10.8%,
,"Non-TX, Non-US Resident",0,-100.0%,88,3.5%,29,20.8%,,,117,3.5%,
SCH,< 6 SCH,178,18.7%,79,-3.7%,16,-20.0%,,,273,8.3%,
Categories,6-8 SCH,195,-2.0%,98,36.1%,23,9.5%,,,316,8.2%,
,9-11 SCH,85,-19.0%,18,28.6%,2,-50.0%,,,105,-14.6%,
,12-14 SCH,79,5.3%,4,-63.6%,1,100.0%,,,84,-2.3%,
,15-17 SCH,18,157.1%,1,100.0%,,,,,19,171.4%,
,>17 SCH,1,100.0%,,,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,74,311.1%,14,-30.0%,10,-37.5%,,,98,81.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","136
2","8.8%
100.0%",41,-2.4%,2,100.0%,,,"179
2","7.2%
100.0%",
,Full-Time,344,-12.5%,145,23.9%,30,3.4%,,,519,-3.7%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
