Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,805",-4.8%,329,-18.0%,73,10.6%,,,"2,207",-6.6%,
Gender,Female,"1,005",-2.8%,159,-20.9%,30,20.0%,,,"1,194",-5.2%,
,Male,800,-7.3%,170,-15.0%,43,4.9%,,,"1,013",-8.2%,
Ethnicity,White,"1,544",-3.6%,237,-19.9%,33,10.0%,,,"1,814",-5.9%,
,Black,33,-2.9%,2,-50.0%,2,0.0%,,,37,-7.5%,
,Hispanic,110,-13.4%,18,28.6%,2,-33.3%,,,130,-9.7%,
,Asian,61,-16.4%,8,-27.3%,,,,,69,-17.9%,
,American Indian,11,10.0%,0,-100.0%,1,0.0%,,,12,0.0%,
,International,30,36.4%,59,-9.2%,34,17.2%,,,123,6.0%,
,Unknown/Other,16,-44.8%,5,-50.0%,1,0.0%,,,22,-45.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,044",-0.8%,4,100.0%,,,,,"1,048",-0.6%,
,22-25,724,-10.2%,237,-10.9%,5,150.0%,,,966,-10.1%,
,26-30,21,-12.5%,51,-45.2%,25,25.0%,,,97,-29.2%,
,31-39,8,-27.3%,30,-6.3%,30,7.1%,,,68,-4.2%,
,40+,8,100.0%,7,-12.5%,13,-18.8%,,,28,0.0%,
Enrollment,1st Time in College,12,9.1%,,,,,,,12,9.1%,
Status,1st Time PB,0,-100.0%,2,n/a,,,,,2,n/a,
,1st Time Graduate,,,114,-26.0%,1,-50.0%,,,115,-26.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,22,83.3%,,,,,,,22,83.3%,
,Readmitted,12,-33.3%,,,,,,,12,-33.3%,
,Continuing,"1,759",-5.2%,213,-13.8%,72,12.5%,,,"2,044",-5.6%,
Tuition,Resident Tuition,"1,736",-5.1%,245,-21.0%,22,0.0%,,,"2,003",-7.4%,
Status,Non-Resident Tuition,45,15.4%,23,76.9%,6,-40.0%,,,74,19.4%,
,Tuition Exemption/Waiver,24,-14.3%,61,-21.8%,45,32.4%,,,130,-7.1%,
Residency,Texas Resident,"1,737",-5.2%,244,-21.5%,24,4.3%,,,"2,005",-7.4%,
Status,"Non-TX, US Resident",37,-9.8%,26,13.0%,15,7.1%,,,78,0.0%,
,"Non-TX, Non-US Resident",31,29.2%,59,-11.9%,34,17.2%,,,124,3.3%,
SCH,< 6 SCH,460,-4.0%,145,70.6%,19,-5.0%,,,624,6.8%,
Categories,6-8 SCH,699,-5.4%,96,-37.3%,52,18.2%,,,847,-9.5%,
,9-11 SCH,384,5.8%,49,-39.5%,2,0.0%,,,435,-2.5%,
,12-14 SCH,247,-15.1%,36,-52.6%,,,,,283,-22.9%,
,15-17 SCH,11,-47.6%,3,-50.0%,,,,,14,-48.1%,
,>17 SCH,4,0.0%,,,,,,,4,0.0%,
Ft/Pt:,Less Than Half Time,68,4.6%,27,285.7%,13,-7.1%,,,108,25.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","544
1","0.0%
100.0%",53,71.0%,1,-66.7%,,,"598
1","3.5%
100.0%",
,Full-Time,"1,192",-7.5%,249,-31.4%,59,20.4%,,,"1,500",-11.8%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
