Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"5,404",-7.1%,826,1.2%,417,2.7%,77,2.7%,"6,724",-5.4%,
,Black,212,-4.9%,34,30.8%,53,1.9%,,,299,-0.7%,
,Hispanic,640,-0.9%,84,9.1%,58,-6.5%,8,166.7%,790,0.3%,
,Asian,204,-9.7%,26,8.3%,22,0.0%,2,-50.0%,254,-8.0%,
,American Indian,35,0.0%,4,100.0%,3,0.0%,1,100.0%,43,7.5%,
,International,77,-9.4%,274,1.9%,292,11.9%,,,643,4.6%,
,Unknown/Other,85,-26.7%,21,50.0%,6,-33.3%,1,0.0%,113,-19.3%,
,Subtotal,"6,657",-6.8%,"1,269",3.3%,851,4.4%,89,7.2%,"8,866",-4.4%,
Male,White,"5,381",-1.9%,765,0.1%,496,-8.0%,42,10.5%,"6,684",-2.1%,
,Black,174,-10.8%,22,0.0%,16,14.3%,,,212,-8.2%,
,Hispanic,609,1.0%,74,19.4%,46,4.5%,2,100.0%,731,3.1%,
,Asian,242,-12.9%,37,27.6%,20,5.3%,0,-100.0%,299,-9.1%,
,American Indian,33,-15.4%,1,-75.0%,4,100.0%,,,38,-15.6%,
,International,186,22.4%,629,-6.7%,844,9.9%,,,"1,659",4.1%,
,Unknown/Other,91,-23.5%,28,21.7%,13,0.0%,3,100.0%,135,-12.9%,
,Subtotal,"6,716",-2.2%,"1,556",-1.4%,"1,439",2.9%,47,14.6%,"9,758",-1.3%,
Grand Total,,"13,373",-4.6%,"2,825",0.7%,"2,290",3.4%,136,9.7%,"18,624",-2.8%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
