Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Veterinary Medicine,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,574,-3.9%,46,-2.1%,65,-11.0%,136,9.7%,821,-2.4%,
Gender,Female,372,-6.1%,31,10.7%,32,-8.6%,89,7.2%,524,-3.3%,
,Male,202,0.5%,15,-21.1%,33,-13.2%,47,14.6%,297,-0.7%,
Ethnicity,White,465,-4.5%,33,-2.9%,32,-15.8%,119,5.3%,649,-3.4%,
,Black,9,-50.0%,1,0.0%,1,0.0%,,,11,-45.0%,
,Hispanic,53,3.9%,1,-50.0%,1,0.0%,10,233.3%,65,14.0%,
,Asian,33,32.0%,2,100.0%,3,50.0%,2,-71.4%,40,14.3%,
,American Indian,4,33.3%,,,,,1,100.0%,5,66.7%,
,International,1,0.0%,8,0.0%,26,-10.3%,,,35,-7.9%,
,Unknown/Other,9,-25.0%,1,0.0%,2,0.0%,4,300.0%,16,0.0%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,366,1.7%,,,,,3,100.0%,369,2.5%,
,22-25,195,-10.6%,24,33.3%,2,-80.0%,53,17.8%,274,-5.8%,
,26-30,11,-15.4%,11,-45.0%,27,22.7%,63,16.7%,112,2.8%,
,31-39,2,-50.0%,10,25.0%,30,-6.3%,13,-31.6%,55,-12.7%,
,40+,0,-100.0%,1,0.0%,6,-33.3%,4,-33.3%,11,-35.3%,
Enrollment,1st Time in College,10,0.0%,,,,,,,10,0.0%,
Status,1st Time PB,0,-100.0%,2,n/a,,,,,2,n/a,
,1st Time Graduate,,,3,0.0%,,,,,3,0.0%,
,1st Time Professional,,,,,,,11,100.0%,11,100.0%,
,1st Time Transfer,2,-33.3%,,,,,,,2,-33.3%,
,Readmitted,5,-16.7%,,,,,,,5,-16.7%,
,Continuing,557,-3.5%,41,-6.8%,65,-11.0%,125,0.8%,788,-3.7%,
Tuition,Resident Tuition,554,-3.8%,33,-5.7%,27,8.0%,132,12.8%,746,-0.9%,
Status,Non-Resident Tuition,13,18.2%,2,-60.0%,5,-54.5%,2,0.0%,22,-24.1%,
,Tuition Exemption/Waiver,7,-30.0%,11,57.1%,33,-10.8%,2,-60.0%,53,-10.2%,
Residency,Texas Resident,554,-3.7%,35,0.0%,27,8.0%,132,12.8%,748,-0.5%,
Status,"Non-TX, US Resident",19,-5.0%,3,-25.0%,11,-38.9%,4,-42.9%,37,-24.5%,
,"Non-TX, Non-US Resident",1,-50.0%,8,0.0%,27,-10.0%,,,36,-10.0%,
SCH,< 6 SCH,271,14.8%,19,-20.8%,11,-54.2%,18,350.0%,319,10.8%,
Categories,6-8 SCH,211,-11.3%,26,18.2%,51,10.9%,118,-1.7%,406,-4.7%,
,9-11 SCH,70,-22.2%,1,0.0%,2,-33.3%,,,73,-22.3%,
,12-14 SCH,22,-26.7%,,,1,100.0%,,,23,-23.3%,
,15-17 SCH,0,-100.0%,,,,,,,0,-100.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,71,39.2%,6,-40.0%,10,-41.2%,,,87,11.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","231
2","3.6%
-66.7%",9,12.5%,1,-83.3%,18,350.0%,"259
2","7.5%
-66.7%",
,Full-Time,270,-14.8%,31,6.9%,54,8.0%,118,-1.7%,473,-8.3%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
