Headcount by Major by Ethnic Origin,,,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,,,
Summer 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,30,-23.1%,0,-100.0%,2,-60.0%,1,100.0%,0,-100.0%,0,-100.0%,1,0.0%,33,-32.7%,
"School of
Govt",INTA PADM,"17
0","1600.0%
-100.0%",,,6,100.0%,,,1,100.0%,4,100.0%,,,"29
0","2800.0%
-100.0%",
,Subtotal,47,14.6%,0,-100.0%,8,60.0%,1,100.0%,1,0.0%,4,300.0%,1,0.0%,62,21.6%,
Geosciences,ATMO,28,16.7%,,,0,-100.0%,,,,,14,16.7%,3,200.0%,45,15.4%,
,ENGS,1,100.0%,,,,,,,,,,,,,1,100.0%,
,ENST,8,100.0%,1,100.0%,,,,,,,,,,,9,100.0%,
,ESCI,2,-60.0%,,,0,-100.0%,,,,,,,,,2,-66.7%,
,GEOG,74,-28.2%,1,0.0%,11,37.5%,0,-100.0%,,,6,-25.0%,1,0.0%,93,-23.8%,
,GEOL,45,-18.2%,,,4,0.0%,3,200.0%,,,9,-52.6%,1,-50.0%,62,-23.5%,
,GEOP,9,0.0%,,,0,-100.0%,0,-100.0%,1,0.0%,8,-52.9%,2,100.0%,20,-31.0%,
,GEOS,3,200.0%,,,,,,,,,,,,,3,200.0%,
,METR,35,-20.5%,2,100.0%,2,100.0%,,,,,1,-66.7%,,,40,-14.9%,
,OCNG,34,9.7%,,,1,-50.0%,1,0.0%,,,24,-7.7%,0,-100.0%,60,-1.6%,
,Subtotal,239,-12.1%,4,300.0%,18,0.0%,4,0.0%,1,0.0%,62,-27.1%,7,40.0%,335,-13.2%,
Liberal Arts,AMST,8,33.3%,,,2,100.0%,,,,,,,,,10,66.7%,
,ANTH,64,-3.0%,,,7,-36.4%,1,100.0%,,,3,-57.1%,3,50.0%,78,-9.3%,
,ECON,257,-13.8%,9,50.0%,35,6.1%,15,7.1%,0,-100.0%,30,-3.2%,7,-12.5%,353,-9.9%,
,ENGL,233,-10.4%,8,33.3%,25,-3.8%,4,100.0%,3,200.0%,6,0.0%,4,-33.3%,283,-7.8%,
,FREN,2,-33.3%,,,1,100.0%,,,,,,,,,3,0.0%,
,GERM,1,-50.0%,,,1,100.0%,1,100.0%,,,,,,,3,50.0%,
,HIST,227,13.5%,1,-80.0%,28,21.7%,2,-33.3%,3,200.0%,,,5,25.0%,266,12.7%,
,INTS,92,5.7%,4,-20.0%,21,-19.2%,3,-62.5%,1,100.0%,0,-100.0%,1,-50.0%,122,-6.2%,
,JOUR,156,-42.6%,5,-37.5%,11,-42.1%,2,-50.0%,1,0.0%,0,-100.0%,2,0.0%,177,-42.5%,
,MODL,1,100.0%,,,0,-100.0%,,,,,,,,,1,-50.0%,
,MUSC,6,20.0%,,,1,-66.7%,1,100.0%,,,,,,,8,0.0%,
,PHIL,37,-11.9%,,,5,400.0%,0,-100.0%,,,,,3,0.0%,45,-8.2%,
,POLS,396,5.3%,8,-46.7%,50,11.1%,9,28.6%,2,-33.3%,10,25.0%,6,0.0%,481,4.6%,
,PSYC,522,-0.9%,21,16.7%,62,-11.4%,20,-20.0%,4,33.3%,10,66.7%,9,12.5%,648,-1.4%,
,RUSS,6,50.0%,,,1,100.0%,,,,,,,,,7,75.0%,
,SCOM,276,-3.8%,4,-33.3%,27,8.0%,2,-71.4%,3,0.0%,3,-50.0%,4,33.3%,319,-5.3%,
,SOCI,135,13.4%,9,50.0%,25,92.3%,5,25.0%,,,7,-12.5%,3,50.0%,184,21.1%,
,SPAN,15,36.4%,,,15,15.4%,,,,,,,1,100.0%,31,29.2%,
,STJR,4,-33.3%,,,1,100.0%,,,,,2,-50.0%,,,7,-30.0%,
,TCMS,2,-33.3%,,,,,,,,,,,1,0.0%,3,-25.0%,
,THAR,16,23.1%,,,4,-20.0%,,,,,,,,,20,11.1%,
,Subtotal,"2,456",-5.1%,69,-8.0%,322,2.2%,65,-15.6%,17,21.4%,71,-11.3%,49,4.3%,"3,049",-4.6%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,,,
