Headcount by Major by Level,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Engineering,SENG,"2,408",-8.5%,2,0.0%,641,12.3%,,,2,0.0%,
,Subtotal,,,732,1.1%,,,,,"3,781",-3.7%,
G. Bush,BUSH,,,33,-32.7%,,,,,33,-32.7%,
"School of
Govt",INTA PADM,,,"29
0","2800.0%
-100.0%",,,,,"29
0","2800.0%
-100.0%",
,Subtotal,,,62,21.6%,,,,,62,21.6%,
Geosciences,ATMO,,,28,3.7%,17,41.7%,,,45,15.4%,
,ENGS,1,100.0%,,,,,,,1,100.0%,
,ENST,9,100.0%,,,,,,,9,100.0%,
,ESCI,2,-66.7%,,,,,,,2,-66.7%,
,GEOG,76,-19.1%,7,-41.7%,10,-37.5%,,,93,-23.8%,
,GEOL,31,-22.5%,21,-19.2%,10,-33.3%,,,62,-23.5%,
,GEOP,2,-71.4%,10,11.1%,8,-38.5%,,,20,-31.0%,
,GEOS,,,3,200.0%,,,,,3,200.0%,
,METR,38,-11.6%,1,-50.0%,1,-50.0%,,,40,-14.9%,
,OCNG,,,33,3.1%,27,-6.9%,,,60,-1.6%,
,Subtotal,159,-16.3%,103,-5.5%,73,-16.1%,,,335,-13.2%,
Liberal Arts,AMST,10,66.7%,,,,,,,10,66.7%,
,ANTH,50,8.7%,18,-41.9%,10,11.1%,,,78,-9.3%,
,ECON,319,-11.4%,17,88.9%,17,-26.1%,,,353,-9.9%,
,ENGL,254,-5.2%,11,22.2%,18,-40.0%,,,283,-7.8%,
,FREN,3,0.0%,,,,,,,3,0.0%,
,GERM,3,50.0%,,,,,,,3,50.0%,
,HIST,247,17.1%,7,40.0%,12,-40.0%,,,266,12.7%,
,INTS,122,-6.2%,,,,,,,122,-6.2%,
,JOUR,177,-42.3%,0,-100.0%,,,,,177,-42.5%,
,MODL,0,-100.0%,1,0.0%,,,,,1,-50.0%,
,MUSC,8,0.0%,,,,,,,8,0.0%,
,PHIL,36,-2.7%,8,-33.3%,1,100.0%,,,45,-8.2%,
,POLS,432,2.9%,10,-23.1%,39,44.4%,,,481,4.6%,
,PSYC,581,-1.0%,19,-32.1%,48,14.3%,,,648,-1.4%,
,RUSS,7,75.0%,,,,,,,7,75.0%,
,SCOM,289,-7.7%,9,-10.0%,21,50.0%,,,319,-5.3%,
,SOCI,156,27.9%,11,-8.3%,17,-5.6%,,,184,21.1%,
,SPAN,31,29.2%,,,,,,,31,29.2%,
,STJR,,,7,-30.0%,,,,,7,-30.0%,
,TCMS,3,-25.0%,,,,,,,3,-25.0%,
,THAR,20,11.1%,,,,,,,20,11.1%,
,Subtotal,"2,748",-4.3%,118,-16.3%,183,0.0%,,,"3,049",-4.6%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
