Headcount by Department by Level by Entry Status,,,,,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,,,,,
"Summer 2003
Liberal Arts              ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations              COFD INEN SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
2
1
1
1
2
1
1
1
10
1
1
10
10
135
135
195","1st Time PB
1
1
2
7","1st Time Transfer
1
2
7
7
2
2
1
1
8
1
6
3
41
10
1
1
12
2
2
6
6
257","Readmitted
2
2
5
6
8
1
1
4
5
2
36
2
1
1
4
5
5
118","Continuing
45
130
282
307
245
236
175
43
34
418
26
568
150
2,659
368
63
102
20
553
557
557
380
380
10
10
12,796",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,1,1,5,17,1,2,10,11,125,78,
,,,,,,,,,,,,,,,132,
,,,,,,,,,9,,,21,,,322,
,,,,,,,,,16,,,17,,,353,
,,,,,,,,,11,,,18,,,283,
,,,,,,,1,,6,,,12,,,266,
,,,,,,,,,7,,,,,,184,
,,,,,,,,,1,,,,,,45,
,,,,,,,,,8,,,1,,,45,
,,,,,,,1,,9,,,39,,,481,
,,,,,,,,,,,,,,,28,
,,,,,,,,,19,,,48,,,648,
,,,,,,,,,11,,,16,,,184,
,,,,,,1,3,,114,1,,182,,,"3,049",
,,,,,,,,,18,,,27,,,425,
,,,,,,,1,,86,1,,123,,,276,
,,,,,,13,9,,51,2,,40,,,218,
,,,,,,58,3,,25,,,69,,,177,
,,,,,,,,,16,1,,32,,,49,
,,,,,,71,13,,196,4,,291,,,"1,145",
,,,,,,,,,,,,,,,710,
,,,,,,,,,11,,,18,,,29,
,,,,,,1,,,4,,,,,,5,
,,,,,,,,,3,,,,,,3,
,,,,,,1,2,,16,,,24,,,43,
,,,,,,,1,,7,,,23,,,31,
,,,,,,2,3,,41,,,65,11,125,821,
,,,,,,,,,,,,,,,521,
,,,,,,,,,,,,,,,521,
,,,,,,7,,,9,,,,,,16,
,,,,,,,10,,8,,,,,,18,
,,,,,,,,,1,,,,,,1,
,,,,,,,,,1,,,,,,11,
,,,,,,10,,,6,,,,,,16,
,,,,,,17,10,,25,,,,,,62,
,,,,,,171,293,,"2,356",35,,"2,253",11,125,"18,624",
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,,,,,
