Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
University Total,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"13,373",-4.6%,"2,825",0.7%,"2,290",3.4%,136,9.7%,"18,624",-2.8%,
Gender,Female,"6,657",-6.8%,"1,269",3.3%,851,4.4%,89,7.2%,"8,866",-4.4%,
,Male,"6,716",-2.2%,"1,556",-1.4%,"1,439",2.9%,47,14.6%,"9,758",-1.3%,
Ethnicity,White,"10,785",-4.5%,"1,591",0.7%,913,-3.4%,119,5.3%,"13,408",-3.8%,
,Black,386,-7.7%,56,16.7%,69,4.5%,,,511,-3.9%,
,Hispanic,"1,249",0.0%,158,13.7%,104,-1.9%,10,233.3%,"1,521",1.6%,
,Asian,446,-11.5%,63,18.9%,42,2.4%,2,-71.4%,553,-8.6%,
,American Indian,68,-8.1%,5,-16.7%,7,40.0%,1,100.0%,81,-4.7%,
,International,263,11.0%,903,-4.2%,"1,136",10.4%,,,"2,302",4.2%,
,Unknown/Other,176,-25.1%,49,32.4%,19,-13.6%,4,300.0%,248,-15.9%,
TAMU Age,<18,5,-28.6%,,,,,,,5,-28.6%,
Categories,18-21,"6,396",-4.6%,11,-15.4%,4,300.0%,3,100.0%,"6,414",-4.5%,
,22-25,"6,363",-4.8%,"1,425",3.2%,158,3.9%,53,17.8%,"7,999",-3.2%,
,26-30,425,-0.2%,814,0.0%,867,7.4%,63,16.7%,"2,169",3.2%,
,31-39,124,-23.0%,355,-7.8%,858,3.0%,13,-31.6%,"1,350",-3.4%,
,40+,60,71.4%,220,3.3%,403,-4.3%,4,-33.3%,687,1.8%,
Enrollment,1st Time in College,195,-7.1%,,,,,,,195,-7.1%,
Status,1st Time PB,7,0.0%,171,n/a,,,,,178,n/a,
,1st Time Graduate,,,293,-14.3%,35,-25.5%,,,328,-15.7%,
,1st Time Professional,,,,,,,11,100.0%,11,100.0%,
,1st Time Transfer,257,-12.0%,,,,,,,257,-12.0%,
,Readmitted,118,-4.8%,5,-28.6%,2,-50.0%,,,125,-7.4%,
,Continuing,"12,796",-4.4%,"2,356",-4.1%,"2,253",4.2%,125,0.8%,"17,530",-3.3%,
Tuition,Resident Tuition,"12,659",-4.8%,"1,500",4.0%,796,1.4%,132,12.8%,"15,087",-3.6%,
Status,Non-Resident Tuition,446,7.2%,332,-9.8%,253,-11.5%,2,0.0%,"1,033",-3.6%,
,Tuition Exemption/Waiver,268,-9.2%,993,-0.3%,"1,241",8.6%,2,-60.0%,"2,504",2.7%,
Residency,Texas Resident,"12,680",-4.9%,"1,514",4.1%,802,1.8%,132,12.8%,"15,128",-3.6%,
Status,"Non-TX, US Resident",426,-2.1%,404,0.0%,348,-11.0%,4,-42.9%,"1,182",-4.4%,
,"Non-TX, Non-US Resident",267,6.4%,907,-4.2%,"1,140",10.1%,,,"2,314",3.6%,
SCH,< 6 SCH,"4,027",4.3%,893,8.8%,615,-9.6%,18,350.0%,"5,553",3.5%,
Categories,6-8 SCH,"5,157",-3.6%,"1,600",2.9%,"1,506",7.3%,118,-1.7%,"8,381",-0.5%,
,9-11 SCH,"2,544",-5.2%,225,-23.7%,137,35.6%,,,"2,906",-5.6%,
,12-14 SCH,"1,518",-21.7%,97,-19.8%,28,7.7%,,,"1,643",-21.2%,
,15-17 SCH,111,-29.3%,9,-35.7%,3,0.0%,,,123,-29.3%,
,>17 SCH,16,-40.7%,1,100.0%,1,100.0%,,,18,-33.3%,
Ft/Pt:,Less Than Half Time,751,18.3%,250,-3.5%,357,-17.7%,,,"1,358",2.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","4,204
38","3.2%
123.5%",232,10.0%,93,0.0%,18,350.0%,"4,547
38","3.8%
123.5%",
,Full-Time,"8,380",-9.8%,"2,343",0.3%,"1,840",9.1%,118,-1.7%,"12,681",-5.6%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
