Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,408",-8.5%,732,1.1%,641,12.3%,,,"3,781",-3.7%,
Gender,Female,480,-15.9%,117,1.7%,102,14.6%,,,699,-9.8%,
,Male,"1,928",-6.4%,615,1.0%,539,11.8%,,,"3,082",-2.2%,
Ethnicity,White,"1,705",-9.4%,208,30.0%,70,-1.4%,,,"1,983",-6.1%,
,Black,77,-13.5%,5,-28.6%,3,-57.1%,,,85,-17.5%,
,Hispanic,253,-7.0%,25,47.1%,8,60.0%,,,286,-2.7%,
,Asian,170,-14.1%,16,33.3%,11,57.1%,,,197,-9.2%,
,American Indian,6,-45.5%,,,1,100.0%,,,7,-36.4%,
,International,154,17.6%,473,-10.1%,547,14.0%,,,"1,174",3.3%,
,Unknown/Other,43,-12.2%,5,150.0%,1,0.0%,,,49,-5.8%,
TAMU Age,<18,2,-33.3%,,,,,,,2,-33.3%,
Categories,18-21,"1,048",-8.9%,3,-40.0%,4,100.0%,,,"1,055",-8.7%,
,22-25,"1,197",-9.2%,396,-3.6%,56,51.4%,,,"1,649",-6.7%,
,26-30,109,-1.8%,235,8.8%,297,14.7%,,,641,9.4%,
,31-39,33,-21.4%,71,-4.1%,255,5.4%,,,359,0.3%,
,40+,19,216.7%,27,50.0%,29,-12.1%,,,75,31.6%,
Enrollment,1st Time in College,15,87.5%,,,,,,,15,87.5%,
Status,1st Time PB,2,0.0%,10,n/a,,,,,12,n/a,
,1st Time Graduate,,,34,6.3%,20,100.0%,,,54,28.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,43,-33.8%,,,,,,,43,-33.8%,
,Readmitted,12,-20.0%,1,0.0%,0,-100.0%,,,13,-23.5%,
,Continuing,"2,336",-8.1%,687,-0.6%,621,10.9%,,,"3,644",-3.9%,
Tuition,Resident Tuition,"2,144",-10.0%,206,43.1%,57,11.8%,,,"2,407",-6.6%,
Status,Non-Resident Tuition,165,13.0%,147,-10.4%,98,-16.9%,,,410,-4.2%,
,Tuition Exemption/Waiver,99,-2.9%,379,-8.9%,486,20.9%,,,964,4.8%,
Residency,Texas Resident,"2,146",-10.1%,209,45.1%,60,15.4%,,,"2,415",-6.5%,
Status,"Non-TX, US Resident",108,0.9%,48,-7.7%,32,-17.9%,,,188,-5.1%,
,"Non-TX, Non-US Resident",154,11.6%,475,-10.0%,549,14.4%,,,"1,178",2.8%,
SCH,< 6 SCH,832,1.6%,221,7.3%,82,-29.9%,,,"1,135",-0.6%,
Categories,6-8 SCH,"1,011",-8.6%,483,0.0%,542,22.6%,,,"2,036",0.2%,
,9-11 SCH,441,-20.5%,22,-37.1%,14,27.3%,,,477,-20.6%,
,12-14 SCH,120,-14.9%,6,100.0%,2,100.0%,,,128,-9.9%,
,15-17 SCH,4,-55.6%,,,1,100.0%,,,5,-44.4%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,208,-8.0%,100,2.0%,57,-34.5%,,,365,-11.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","781
14","-10.6%
600.0%",73,19.7%,16,-11.1%,,,"870
14","-8.7%
600.0%",
,Full-Time,"1,405",-8.1%,559,-1.1%,568,21.9%,,,"2,532",-1.1%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
