Demographic Summary by Entry Status,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
"Summer 2003
Head Count      Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories         18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition              Resident Tuition
Status                Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status                Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                 Less Than Half Time
TAMU              Half-Time
Status                Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
195
84
111
129
15
39
5
6
1
194
1
8
12
4
15
10
1
10
135
194
1
176
13
6
178
11
6
45
36
107
7
2
24
1
168","1st Time PB
7
3
4
5
1
1
4
2
1
2
2
1
2
7
6
1
6
1
4
2
1
2
2
3","1st Time Transfer
257
115
142
208
6
22
7
2
10
2
161
67
17
7
5
70
14
22
44
43
3
41
12
2
6
145
112
243
12
2
242
5
10
102
92
40
23
6
111
140","Readmitted
118
55
63
95
5
12
4
1
1
18
64
27
8
1
36
2
12
10
12
1
36
4
5
16
102
109
9
110
7
1
38
38
17
25
6
40
72","Continuing
12,796
6,400
6,396
10,348
360
1,175
430
64
246
173
5
6,023
6,228
378
109
53
2,399
540
1,759
1,449
2,336
154
2,659
553
557
380
10
1,949
10,847
12,125
411
260
12,144
402
250
3,838
4,989
2,379
1,463
111
16
735
4,027
37
7,997",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,
,,,,,,171,328,7,"4,609",11,125,
,,,,,,91,168,6,"1,855",10,79,
,,,,,,80,160,1,"2,754",1,46,
,,,,,,124,242,5,"2,133",10,109,
,,,,,,10,8,,107,,,
,,,,,,14,15,1,232,1,9,
,,,,,,3,13,,89,,2,
,,,,,,,,,12,,1,
,,,,,,12,47,1,"1,979",,,
,,,,,,8,3,,57,,4,
,,,,,,,3,,12,2,1,
,,,,,,34,225,,"1,324",5,48,
,,,,,,27,56,3,"1,595",2,61,
,,,,,,32,27,2,"1,152",2,11,
,,,,,,78,17,2,526,,4,
,,,,,,1,42,,852,,,
,,,,,,2,20,,220,,,
,,,,,,2,115,,285,,,
,,,,,,55,60,6,805,,,
,,,,,,10,54,1,"1,308",,,
,,,,,,4,,,58,,,
,,,,,,6,3,,167,,,
,,,,,,1,4,,296,,,
,,,,,,71,17,,487,,,
,,,,,,2,3,,106,11,125,
,,,,,,17,10,,25,,,
,,,,,,171,293,5,"2,356",,,
,,,,,,,35,2,"2,253",,,
,,,,,,,,,,11,125,
,,,,,,125,247,6,"1,918",11,121,
,,,,,,32,23,1,529,,2,
,,,,,,14,58,,"2,162",,2,
,,,,,,126,249,6,"1,935",11,121,
,,,,,,33,31,,688,,4,
,,,,,,12,48,1,"1,986",,,
,,,,,,90,95,3,"1,320",11,7,
,,,,,,75,130,,"2,901",,118,
,,,,,,4,68,2,288,,,
,,,,,,2,33,1,89,,,
,,,,,,,2,,10,,,
,,,,,,,,1,1,,,
,,,,,,1,1,2,603,,,
,,,,,,9,26,1,289,11,7,
,,,,,,161,301,4,"3,717",,118,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
