Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Liberal Arts,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,748",-4.3%,118,-16.3%,183,0.0%,,,"3,049",-4.6%,
Gender,Female,"1,662",-4.6%,72,-10.0%,78,11.4%,,,"1,812",-4.2%,
,Male,"1,086",-3.8%,46,-24.6%,105,-7.1%,,,"1,237",-5.1%,
Ethnicity,White,"2,254",-4.6%,79,-20.2%,123,-2.4%,,,"2,456",-5.1%,
,Black,65,-8.5%,3,200.0%,1,-66.7%,,,69,-8.0%,
,Hispanic,298,1.4%,12,20.0%,12,9.1%,,,322,2.2%,
,Asian,59,-16.9%,4,0.0%,2,0.0%,,,65,-15.6%,
,American Indian,15,15.4%,1,100.0%,1,0.0%,,,17,21.4%,
,International,16,-5.9%,15,-42.3%,40,8.1%,,,71,-11.3%,
,Unknown/Other,41,-4.7%,4,300.0%,4,33.3%,,,49,4.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,265",-5.7%,2,100.0%,,,,,"1,267",-5.5%,
,22-25,"1,361",-4.3%,51,-1.9%,13,44.4%,,,"1,425",-3.9%,
,26-30,89,23.6%,42,-28.8%,73,10.6%,,,204,3.6%,
,31-39,20,-25.9%,15,-37.5%,73,-3.9%,,,108,-15.0%,
,40+,13,44.4%,8,33.3%,24,-25.0%,,,45,-4.3%,
Enrollment,1st Time in College,10,100.0%,,,,,,,10,100.0%,
Status,1st Time PB,2,100.0%,1,n/a,,,,,3,n/a,
,1st Time Graduate,,,3,0.0%,1,0.0%,,,4,0.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,41,-2.4%,,,,,,,41,-2.4%,
,Readmitted,36,12.5%,,,,,,,36,12.5%,
,Continuing,"2,659",-4.8%,114,-17.4%,182,0.0%,,,"2,955",-5.0%,
Tuition,Resident Tuition,"2,657",-4.2%,67,3.1%,75,-7.4%,,,"2,799",-4.1%,
Status,Non-Resident Tuition,52,-8.8%,20,-31.0%,26,8.3%,,,98,-10.9%,
,Tuition Exemption/Waiver,39,-4.9%,31,-34.0%,82,5.1%,,,152,-8.4%,
Residency,Texas Resident,"2,663",-4.1%,68,4.6%,75,-7.4%,,,"2,806",-4.0%,
Status,"Non-TX, US Resident",69,-8.0%,35,-30.0%,68,6.3%,,,172,-9.0%,
,"Non-TX, Non-US Resident",16,-11.1%,15,-42.3%,40,5.3%,,,71,-13.4%,
SCH,< 6 SCH,672,9.4%,63,-11.3%,82,-12.8%,,,817,4.9%,
Categories,6-8 SCH,"1,054",-6.2%,49,-19.7%,99,22.2%,,,"1,202",-5.1%,
,9-11 SCH,548,-2.1%,4,-50.0%,2,-60.0%,,,554,-3.3%,
,12-14 SCH,445,-14.6%,2,100.0%,0,-100.0%,,,447,-14.7%,
,15-17 SCH,22,-50.0%,,,0,-100.0%,,,22,-51.1%,
,>17 SCH,7,-12.5%,,,,,,,7,-12.5%,
Ft/Pt:,Less Than Half Time,59,110.7%,20,-48.7%,42,0.0%,,,121,11.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","846
2","12.2%
100.0%",17,88.9%,14,-33.3%,,,"877
2","11.9%
100.0%",
,Full-Time,"1,841",-11.9%,81,-12.9%,127,5.8%,,,"2,049",-11.0%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
