Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Other - Special Populations,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,10,-37.5%,52,52.9%,,,,,62,24.0%,
Gender,Female,6,-45.5%,29,61.1%,,,,,35,20.7%,
,Male,4,-20.0%,23,43.8%,,,,,27,28.6%,
Ethnicity,White,,,26,44.4%,,,,,26,44.4%,
,Black,,,2,-33.3%,,,,,2,-33.3%,
,Hispanic,,,4,100.0%,,,,,4,100.0%,
,Asian,,,5,66.7%,,,,,5,66.7%,
,American Indian,,,,,,,,,,,
,International,10,-37.5%,15,114.3%,,,,,25,8.7%,
,Unknown/Other,,,0,-100.0%,,,,,0,-100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,8,-42.9%,,,,,,,8,-42.9%,
,22-25,1,-50.0%,33,50.0%,,,,,34,41.7%,
,26-30,,,13,30.0%,,,,,13,30.0%,
,31-39,,,4,300.0%,,,,,4,300.0%,
,40+,1,100.0%,2,100.0%,,,,,3,200.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,17,n/a,,,,,17,n/a,
,1st Time Graduate,,,10,42.9%,,,,,10,42.9%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,10,-37.5%,25,-7.4%,,,,,35,-18.6%,
Tuition,Resident Tuition,,,31,29.2%,,,,,31,29.2%,
Status,Non-Resident Tuition,10,-37.5%,2,-60.0%,,,,,12,-42.9%,
,Tuition Exemption/Waiver,,,19,280.0%,,,,,19,280.0%,
Residency,Texas Resident,,,33,37.5%,,,,,33,37.5%,
Status,"Non-TX, US Resident",,,4,33.3%,,,,,4,33.3%,
,"Non-TX, Non-US Resident",10,-37.5%,15,114.3%,,,,,25,8.7%,
SCH,< 6 SCH,,,36,50.0%,,,,,36,50.0%,
Categories,6-8 SCH,9,-43.8%,5,150.0%,,,,,14,-22.2%,
,9-11 SCH,,,11,37.5%,,,,,11,37.5%,
,12-14 SCH,1,100.0%,,,,,,,1,100.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,,,,,,,,,
"TAMU
Status","Half-Time
Three-Quarter Time",0,-100.0%,8,-33.3%,,,,,8,-42.9%,
,Full-Time,10,-28.6%,44,100.0%,,,,,54,50.0%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
