Demographic Summary,,,,,,,,,,,,
Summer 2003,,,,,,,,,,,,
College Science,,,,,,,,,,,,
Summer 2003,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,570,-4.2%,280,36.6%,295,-3.0%,,,"1,145",3.7%,
Gender,Female,330,-6.5%,125,58.2%,76,-18.3%,,,531,1.1%,
,Male,240,-0.8%,155,23.0%,219,3.8%,,,614,6.0%,
Ethnicity,White,418,-3.5%,152,50.5%,91,-18.0%,,,661,2.5%,
,Black,20,-16.7%,5,66.7%,4,0.0%,,,29,-6.5%,
,Hispanic,69,11.3%,19,72.7%,8,0.0%,,,96,18.5%,
,Asian,47,-2.1%,8,0.0%,6,0.0%,,,61,-1.6%,
,American Indian,1,100.0%,,,1,0.0%,,,2,100.0%,
,International,7,75.0%,87,16.0%,184,7.0%,,,278,10.8%,
,Unknown/Other,8,-66.7%,9,28.6%,1,-50.0%,,,18,-45.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,319,-6.2%,1,0.0%,0,-100.0%,,,320,-6.4%,
,22-25,228,-4.2%,100,9.9%,38,-17.4%,,,366,-2.4%,
,26-30,17,21.4%,81,68.8%,158,-7.1%,,,256,10.3%,
,31-39,4,100.0%,41,36.7%,91,18.2%,,,136,24.8%,
,40+,2,100.0%,57,62.9%,8,-20.0%,,,67,45.7%,
Enrollment,1st Time in College,1,-50.0%,,,,,,,1,-50.0%,
Status,1st Time PB,,,71,n/a,,,,,71,n/a,
,1st Time Graduate,,,13,160.0%,4,33.3%,,,17,112.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,12,71.4%,,,,,,,12,71.4%,
,Readmitted,4,-20.0%,,,,,,,4,-20.0%,
,Continuing,553,-4.8%,196,-2.0%,291,-3.3%,,,"1,040",-3.9%,
Tuition,Resident Tuition,542,-3.2%,108,63.6%,41,0.0%,,,691,3.6%,
Status,Non-Resident Tuition,19,171.4%,38,35.7%,24,0.0%,,,81,37.3%,
,Tuition Exemption/Waiver,9,-67.9%,134,20.7%,230,-3.8%,,,373,-1.3%,
Residency,Texas Resident,543,-3.2%,111,63.2%,41,-4.7%,,,695,3.4%,
Status,"Non-TX, US Resident",20,-33.3%,80,29.0%,69,-21.6%,,,169,-6.1%,
,"Non-TX, Non-US Resident",7,75.0%,89,18.7%,185,6.9%,,,281,11.5%,
SCH,< 6 SCH,181,-5.2%,86,100.0%,55,34.1%,,,322,17.1%,
Categories,6-8 SCH,221,-6.8%,188,19.7%,237,-8.5%,,,646,-1.1%,
,9-11 SCH,120,0.8%,6,50.0%,3,0.0%,,,129,2.4%,
,12-14 SCH,47,4.4%,,,0,-100.0%,,,47,2.2%,
,15-17 SCH,1,-66.7%,0,-100.0%,,,,,1,-75.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,33,-10.8%,8,0.0%,11,-47.6%,,,52,-21.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","171
5","-3.4%
66.7%",4,-42.9%,1,-50.0%,,,"176
5","-5.4%
66.7%",
,Full-Time,361,-4.5%,268,41.1%,283,0.7%,,,912,7.4%,
"Prepared by OISP, 04 Aug 03",,,,,,,,,,,,
