Headcount by Major by Ethnic Origin,,,,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,,,,
Spring 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,60,7.1%,1,-66.7%,5,0.0%,4,-33.3%,2,100.0%,109,32.9%,2,100.0%,181,18.3%,
,COMG,14,7.7%,1,100.0%,3,0.0%,,,,,45,181.3%,,,63,96.9%,
,COSC,257,4.0%,2,100.0%,15,-25.0%,3,50.0%,,,0,-100.0%,4,-50.0%,283,1.4%,
,COSL,231,13.8%,1,0.0%,32,10.3%,1,-50.0%,1,-66.7%,1,0.0%,1,100.0%,268,12.1%,
,ENDL,248,-20.5%,6,-25.0%,24,-14.3%,10,11.1%,2,100.0%,1,-66.7%,5,-58.3%,296,-20.6%,
,ENDS,274,2.2%,6,-14.3%,30,-34.8%,14,75.0%,3,50.0%,6,-40.0%,11,83.3%,344,-0.9%,
,LADE,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,LAND,73,30.4%,,,1,-50.0%,2,100.0%,,,9,50.0%,4,33.3%,89,30.9%,
,LANL,62,-16.2%,,,4,-33.3%,1,-50.0%,1,100.0%,2,0.0%,2,-33.3%,72,-17.2%,
,LDEV,17,41.7%,,,,,1,100.0%,,,3,-40.0%,,,21,23.5%,
,URPL,1,-75.0%,1,0.0%,,,,,,,11,-21.4%,,,13,-31.6%,
,URSC,21,10.5%,2,0.0%,2,0.0%,1,100.0%,,,21,-4.5%,,,47,4.4%,
,VIZA,37,8.8%,,,6,100.0%,4,33.3%,1,0.0%,12,71.4%,1,100.0%,61,27.1%,
,Subtotal,1295,-0.3%,20,-13.0%,122,-15.3%,41,24.2%,10,42.9%,220,30.2%,30,-9.1%,1738,1.8%,
Business Admin,ACCT,587,-2.7%,10,-23.1%,35,-30.0%,14,7.7%,2,-50.0%,20,0.0%,10,11.1%,678,-4.8%,
,AGBU,9,50.0%,,,,,,,,,,,,,9,50.0%,
,BUAD,1709,-5.6%,56,12.0%,136,-2.2%,73,10.6%,10,-23.1%,70,-7.9%,30,7.1%,2084,-4.5%,
,BUAG,0,-100.0%,,,,,,,,,0,-100.0%,,,0,-100.0%,
,FINC,568,-7.2%,4,-60.0%,42,-12.5%,17,21.4%,0,-100.0%,39,44.4%,11,22.2%,681,-5.5%,
,INFO,421,-17.5%,14,40.0%,32,-22.0%,30,-16.7%,0,-100.0%,19,-13.6%,8,-33.3%,524,-17.4%,
,MGMT,320,-12.3%,7,16.7%,27,-49.1%,9,0.0%,3,50.0%,28,27.3%,7,-12.5%,401,-13.8%,
,MISY,49,2.1%,1,100.0%,3,50.0%,5,66.7%,,,30,36.4%,3,100.0%,91,21.3%,
,MKTG,717,-2.2%,12,9.1%,54,0.0%,11,0.0%,3,0.0%,18,-10.0%,11,-21.4%,826,-2.4%,
,MLER,27,22.7%,,,1,0.0%,,,,,0,-100.0%,,,28,12.0%,
,Subtotal,4407,-6.5%,104,4.0%,330,-14.9%,159,4.6%,18,-30.8%,224,5.2%,80,0.0%,5322,-6.2%,
Education,CPSY,34,-10.5%,0,-100.0%,4,-20.0%,0,-100.0%,,,1,0.0%,0,-100.0%,39,-18.8%,
,EDAD,228,4.1%,24,-31.4%,36,5.9%,2,-33.3%,2,100.0%,8,14.3%,3,0.0%,303,0.3%,
,EDCI,123,9.8%,43,-10.4%,25,13.6%,4,100.0%,,,16,-5.9%,1,-50.0%,212,4.4%,
,EDHL,151,-23.7%,11,10.0%,20,-23.1%,4,0.0%,2,100.0%,,,2,0.0%,190,-21.2%,
,EDIS,889,0.5%,6,-40.0%,41,-16.3%,7,0.0%,6,-25.0%,1,100.0%,8,-33.3%,958,-1.3%,
,EDIT,4,0.0%,,,0,-100.0%,,,,,,,,,4,-20.0%,
,EDKI,640,19.9%,14,-6.7%,53,1.9%,6,100.0%,2,0.0%,1,-75.0%,8,-27.3%,724,16.6%,
,EDTC,31,-3.1%,,,0,-100.0%,,,,,7,16.7%,1,100.0%,39,0.0%,
,EHRD,122,-9.6%,9,12.5%,27,22.7%,,,1,-50.0%,16,6.7%,2,-50.0%,177,-4.8%,
,EPSY,155,24.0%,7,-30.0%,37,48.0%,1,-50.0%,2,0.0%,14,16.7%,3,200.0%,219,23.7%,
,HEED,18,38.5%,1,0.0%,,,,,,,,,1,100.0%,20,42.9%,
,HLTH,127,35.1%,2,-66.7%,19,35.7%,0,-100.0%,,,,,1,-50.0%,149,24.2%,
,IDTC,1,0.0%,,,,,,,,,,,,,1,0.0%,
,INST,625,25.5%,9,80.0%,50,42.9%,3,-25.0%,7,600.0%,1,0.0%,9,80.0%,704,28.2%,
,KINE,283,1.4%,7,40.0%,21,0.0%,3,200.0%,2,0.0%,9,50.0%,4,0.0%,329,3.5%,
,PHED,11,-8.3%,,,2,-33.3%,1,0.0%,,,,,,,14,-12.5%,
,SPSY,27,17.4%,5,0.0%,15,-11.8%,,,,,3,200.0%,1,0.0%,51,8.5%,
,TECR,22,-37.1%,,,4,-33.3%,,,,,,,0,-100.0%,26,-38.1%,
,Subtotal,3491,7.8%,138,-13.2%,354,6.3%,31,-6.1%,24,26.3%,77,10.0%,44,-10.2%,4159,6.6%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,,,,,
