Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,4515,-8.8%,736,14.1%,71,-5.3%,,,5322,-6.2%,
Gender,Female,2447,-6.5%,297,25.3%,25,-10.7%,,,2769,-4.0%,
,Male,2068,-11.4%,439,7.6%,46,-2.1%,,,2553,-8.5%,
Ethnicity,White,3878,-8.3%,499,11.4%,30,-16.7%,,,4407,-6.5%,
,Black,83,-1.2%,19,58.3%,2,-50.0%,,,104,4.0%,
,Hispanic,299,-14.1%,28,-20.0%,3,-40.0%,,,330,-14.9%,
,Asian,138,-2.1%,21,90.9%,,,,,159,4.6%,
,American Indian,16,-30.4%,1,0.0%,1,-50.0%,,,18,-30.8%,
,International,39,-27.8%,151,14.4%,34,25.9%,,,224,5.2%,
,Unknown/Other,62,-15.1%,17,183.3%,1,0.0%,,,80,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,2492,-9.4%,2,0.0%,,,,,2494,-9.4%,
,22-25,1953,-7.0%,314,16.7%,2,0.0%,,,2269,-4.3%,
,26-30,39,-39.1%,210,2.9%,20,5.3%,,,269,-6.3%,
,31-39,21,-8.7%,132,16.8%,32,-5.9%,,,185,8.8%,
,40+,10,-33.3%,78,36.8%,17,-15.0%,,,105,14.1%,
Enrollment,1st Time in College,5,0.0%,,,,,,,5,0.0%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,28,3.7%,2,100.0%,,,30,11.1%,
,1st Time Transfer,0,-100.0%,,,,,,,0,-100.0%,
,Re-Admitted,11,-60.7%,,,,,,,11,-60.7%,
,Continuing,4499,-8.5%,708,14.6%,69,-8.0%,,,5276,-6.0%,
Tuition,Resident Tuition,4362,-8.3%,514,17.9%,21,-27.6%,,,4897,-6.2%,
Status,Non-Resident Tuition,87,-19.4%,29,-43.1%,15,25.0%,,,131,-23.4%,
,Tuition Exemption/Waiver,66,-25.0%,193,22.2%,35,2.9%,,,294,5.0%,
Residency,Texas Resident,4369,-8.2%,519,19.0%,22,-29.0%,,,4910,-6.0%,
Status,"Non-TX, US Resident",106,-24.3%,68,-11.7%,15,-11.8%,,,189,-19.2%,
,"Non-TX, Non-US Resident",40,-27.3%,149,12.9%,34,25.9%,,,223,4.2%,
SCH,< 6 SCH,43,2.4%,17,-10.5%,16,-30.4%,,,76,-9.5%,
Categories,6-8 SCH,125,2.5%,40,33.3%,,,,,165,8.6%,
,9-11 SCH,270,9.3%,232,39.8%,40,-9.1%,,,542,18.6%,
,12-14 SCH,2674,-9.1%,298,18.7%,15,114.3%,,,2987,-6.7%,
,15-17 SCH,1346,-12.4%,132,-24.1%,0,-100.0%,,,1478,-13.7%,
,>17 SCH,57,-8.1%,17,240.0%,,,,,74,10.4%,
Ft/Pt:,Less Than Half Time,33,-21.4%,14,-26.3%,15,-28.6%,,,62,-24.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","121
262","-0.8%
6.1%",43,43.3%,1,-50.0%,,,"165
262","7.1%
6.1%",
,Full-Time,4099,-9.7%,679,13.9%,55,5.8%,,,4833,-6.9%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
