Demographic Summary by Entry Status,,,,,,,,,,
Spring 2002,,,,,,,,,,
"Spring 2002
Head Count      Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories        18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering Geosciences
G. Bush School of Govt Liberal Arts
Science
Veterinary Medicine General Studies
Other - Special Populations
Student             Lower
Level                Upper Masters PhD Professional
Tuition             Resident Tuition
Status               Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status               Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories        6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                Less Than Half Time
TAMU             Half-Time
Status               Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,Professional,
,"1st Time in College
73
31
42
48
4
6
3
10
2
71
2
1
2
5
4
25
7
7
6
16
73
56
16
1
58
4
11
1
4
1
62
5
1
4
1
67","1st Time PB
28
16
12
23
2
1
1
1
13
7
2
6
7
6
4
1
1
4
4
1
28
26
2
27
1
5
7
6
8
2
5
7
6
10","1st Time Transfer
766
343
423
641
9
57
20
6
18
15
500
211
31
14
10
192
40
128
131
11
196
31
15
22
538
228
717
43
6
729
19
18
13
44
50
589
68
2
13
44
50
659","Re-Admi tted
259
109
150
201
9
34
10
2
2
1
57
148
37
13
4
79
6
11
23
38
6
48
6
6
36
80
179
249
9
1
253
4
2
15
26
21
148
46
3
15
24
21
199","Contin uing
33059
16211
16848
27207
810
2900
1101
168
409
464
2
17832
14134
725
270
96
4825
1280
4499
2856
6777
378
6080
1618
1705
3014
27
12796
20263
31422
892
745
31475
1165
419
735
912
1691
18863
10169
689
595
809
1560
30095",1st Time Graduate,Re-Admi tted,Contin uing,Continuing,
,,,,,,385,26,6788,490,
,,,,,,148,13,2631,337,
,,,,,,237,13,4157,153,
,,,,,,175,18,3377,439,
,,,,,,6,,167,,
,,,,,,13,3,342,23,
,,,,,,4,2,128,18,
,,,,,,1,,14,4,
,,,,,,183,3,2683,,
,,,,,,3,,77,6,
,,,,,,,,11,2,
,,,,,,185,1,1819,226,
,,,,,,109,3,2214,195,
,,,,,,61,12,1839,55,
,,,,,,30,10,905,12,
,,,,,,82,3,1057,,
,,,,,,18,5,387,,
,,,,,,30,,777,,
,,,,,,43,8,1091,,
,,,,,,144,6,1718,,
,,,,,,20,3,254,,
,,,,,,1,,73,,
,,,,,,19,1,651,,
,,,,,,17,,590,,
,,,,,,9,,140,490,
,,,,,,2,,50,,
,,,,,,301,19,3967,,
,,,,,,84,7,2821,,
,,,,,,,,,490,
,,,,,,162,19,3012,471,
,,,,,,76,5,860,8,
,,,,,,147,2,2916,11,
,,,,,,165,19,3041,471,
,,,,,,37,4,1056,19,
,,,,,,183,3,2691,,
,,,,,,34,16,1353,,
,,,,,,39,3,505,,
,,,,,,262,7,3921,,
,,,,,,43,,751,1,
,,,,,,7,,236,32,
,,,,,,,,22,457,
,,,,,,28,14,1134,,
,,,,,,44,5,703,,
,,,,,,313,7,4951,490,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,
