Headcount by Department by Ethnic Origin,,,,,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,,,,,
"Spring 2002
Geosciences            ATMO GEOG GEOL GEPL OCNG
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPH VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations             COFD EPSY INEN PETE SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,146,-1.4%,1,0.0%,7,16.7%,2,100.0%,,1,100.0%,14,-26.3%,,3,0.0%,174,-2.2%,
,152,-0.7%,6,100.0%,13,-7.1%,1,-66.7%,,1,-50.0%,9,80.0%,,1,-50.0%,183,0.5%,
,19,0.0%,,,1,0.0%,,,,,,,,,,,20,0.0%,
,139,-6.1%,,,11,0.0%,5,66.7%,,1,-50.0%,55,-16.7%,,4,33.3%,215,-7.7%,
,48,9.1%,,,2,0.0%,1,0.0%,,,,29,11.5%,,1,-66.7%,81,6.6%,
,504,-1.6%,7,75.0%,34,0.0%,9,12.5%,,3,-25.0%,107,-7.8%,,9,-18.2%,673,-2.3%,
,59,34.1%,3,50.0%,7,133.3%,0,-100.0%,,1,100.0%,3,50.0%,,1,100.0%,74,42.3%,
,59,34.1%,3,50.0%,7,133.3%,0,-100.0%,,1,100.0%,3,50.0%,,1,100.0%,74,42.3%,
,196,8.3%,1,0.0%,26,30.0%,5,0.0%,,2,100.0%,12,-7.7%,,2,-60.0%,244,8.4%,
,206,15.7%,10,25.0%,49,14.0%,9,28.6%,,,,1,-75.0%,,2,-33.3%,277,14.0%,
,531,23.5%,9,50.0%,47,14.6%,22,29.4%,,4,33.3%,74,-5.1%,,13,44.4%,700,19.9%,
,567,-4.4%,12,9.1%,46,-17.9%,4,-33.3%,,4,300.0%,24,20.0%,,10,0.0%,667,-4.3%,
,468,3.5%,10,-23.1%,59,1.7%,7,-30.0%,,7,16.7%,,,,13,-7.1%,564,2.0%,
,685,4.7%,21,0.0%,61,0.0%,12,-25.0%,,5,25.0%,10,42.9%,,9,-35.7%,803,3.3%,
,77,1.3%,0,-100.0%,21,-30.0%,2,0.0%,,0,-100.0%,4,0.0%,,1,-66.7%,105,-10.3%,
