Headcount by Major by Level by Entry Status,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,
"Spring 2002
Science                    APHY APMS BIOL BMCB BOTN CHEM GENE MATH MBIO PHYS PPHY STAT TOXI ZOOL
Subtotal
Veterinary                BIMS
Medicine                  EPID GENE LAMD TOXI VMSC VPAR VPAT VPHY VTAN VTMD VTMI VTMS VTPH
Subtotal
General Studies       GEST
TEAM
Subtotal
Other - Special        BIOT
Populations              ENSM MDSC PETE PHLT REEP
Subtotal
University                Total",Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,"1st Time in College
4
1
1
1
7
6
6
16
16
73","1st Time PB
3
1
4
4
4
1
1
28","1st Time Transfer
20
2
1
5
3
31
15
15
22
22
766","Re-Admi tted
2
1
2
1
6
6
6
36
36
259","Contin uing
103
767
109
1
175
177
118
64
104
1618
1705
1705
2686
328
3014
27
27
33059",1st Time Graduate,Re-Admi tted,Contin uing,1st Time Graduate,Re-Admi tted,Contin uing,Continuing,,
,,,,,,7,19,1,1,7,16,490,1,
,,,,,,,,,,,,,103,
,,,,,,,,21,,,,,834,
,,,,,,,,,,,,,111,
,,,,,,,,,,,5,,7,
,,,,,,,,91,,,129,,405,
,,,,,,,,,,,4,,4,
,,,,,,2,,57,1,,39,,285,
,,,,,,,,4,,,18,,140,
,,,,,,2,,34,,,63,,166,
,,,,,,,,,,,2,,2,
,,,,,,4,,44,,,45,,93,
,,,,,,,,,,,1,,1,
,,,,,,,,8,,,8,,121,
,,,,,,15,,260,2,,330,,2273,
,,,,,,,,,,,,,1736,
,,,,,,1,,3,,,,,4,
,,,,,,,,1,,,12,,13,
,,,,,,,,2,,,,,2,
,,,,,,2,,7,1,,29,,39,
,,,,,,2,,2,,,,,4,
,,,,,,,,1,,,,,1,
,,,,,,,,6,,,6,,12,
,,,,,,,,8,,,5,,13,
,,,,,,,,1,,,9,,10,
,,,,,,,,,,,,,490,
,,,,,,2,,23,1,,19,,45,
,,,,,,,,5,,,,,5,
,,,,,,,,1,,,,,1,
,,,,,,7,,60,2,,80,490,2375,
,,,,,,,,,,,,,2761,
,,,,,,,,,,,,,328,
,,,,,,,,,,,,,3089,
,,,,,,1,,11,,,,,12,
,,,,,,,,1,,,,,1,
,,,,,,,,6,,,,,6,
,,,,,,1,,,,,,,1,
,,,,,,,,28,,,,,28,
,,,,,,,,4,,,,,31,
,,,,,,2,,50,,,,,79,
,,,,,,301,,3967,84,,2821,490,41874,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,
