Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Agriculture,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5104,3.6%,621,2.1%,521,9.5%,,,6246,3.9%,
Gender,Female,2401,3.0%,303,-1.6%,184,10.2%,,,2888,3.0%,
,Male,2703,4.0%,318,6.0%,337,9.1%,,,3358,4.7%,
Ethnicity,White,4414,4.1%,450,2.5%,258,3.6%,,,5122,3.9%,
,Black,127,22.1%,7,75.0%,3,200.0%,,,137,25.7%,
,Hispanic,337,0.9%,25,-7.4%,17,-5.6%,,,379,0.0%,
,Asian,68,-5.6%,10,-16.7%,16,45.5%,,,94,-1.1%,
,American Indian,34,78.9%,1,-50.0%,,,,,35,66.7%,
,International,51,-15.0%,120,1.7%,221,15.7%,,,392,6.2%,
,Unknown/Other,73,-26.3%,8,33.3%,6,0.0%,,,87,-21.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,2075,-2.4%,,,,,,,2075,-2.4%,
,22-25,2736,8.4%,289,-9.4%,26,73.3%,,,3051,6.8%,
,26-30,204,4.6%,209,11.2%,186,10.7%,,,599,8.7%,
,31-39,66,11.9%,91,21.3%,225,6.6%,,,382,10.7%,
,40+,23,-8.0%,32,23.1%,84,2.4%,,,139,4.5%,
Enrollment,1st Time in College,1,-85.7%,,,,,,,1,-85.7%,
Status,1st Time PB,7,75.0%,,,,,,,7,75.0%,
,1st Time Graduate,,,62,0.0%,20,17.6%,,,82,3.8%,
,1st Time Transfer,192,-17.9%,,,,,,,192,-17.9%,
,Re-Admitted,79,21.5%,3,200.0%,0,-100.0%,,,82,22.4%,
,Continuing,4825,4.5%,556,2.0%,501,9.4%,,,5882,4.6%,
Tuition,Resident Tuition,4869,3.9%,363,3.4%,178,10.6%,,,5410,4.1%,
Status,Non-Resident Tuition,124,1.6%,70,11.1%,92,27.8%,,,286,11.3%,
,Tuition Exemption/Waiver,111,-9.0%,188,-3.1%,251,3.3%,,,550,-1.6%,
Residency,Texas Resident,4872,3.9%,364,3.7%,178,10.6%,,,5414,4.1%,
Status,"Non-TX, US Resident",178,-0.6%,136,-2.2%,121,-0.8%,,,435,-1.1%,
,"Non-TX, Non-US Resident",54,-11.5%,121,2.5%,222,15.0%,,,397,6.7%,
SCH,< 6 SCH,83,-15.3%,151,11.0%,123,5.1%,,,357,1.7%,
Categories,6-8 SCH,204,24.4%,35,-2.8%,35,66.7%,,,274,24.0%,
,9-11 SCH,272,1.5%,377,-1.3%,346,6.1%,,,995,1.9%,
,12-14 SCH,2775,2.9%,50,-2.0%,12,20.0%,,,2837,2.9%,
,15-17 SCH,1618,4.4%,8,166.7%,5,150.0%,,,1631,4.9%,
,>17 SCH,152,0.0%,,,,,,,152,0.0%,
Ft/Pt:,Less Than Half Time,76,-22.4%,121,2.5%,106,10.4%,,,303,-2.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","189
266","15.2%
-0.7%",59,9.3%,48,14.3%,,,"296
266","13.8%
-0.7%",
,Full-Time,4573,4.0%,441,1.1%,367,8.6%,,,5381,4.0%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
