Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Other - Special Populations,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,27,28.6%,52,642.9%,,,,,79,182.1%,
Gender,Female,14,100.0%,25,2400.0%,,,,,39,387.5%,
,Male,13,-7.1%,27,350.0%,,,,,40,100.0%,
Ethnicity,White,,,23,1050.0%,,,,,23,1050.0%,
,Black,,,6,100.0%,,,,,6,100.0%,
,Hispanic,,,5,100.0%,,,,,5,100.0%,
,Asian,,,3,100.0%,,,,,3,100.0%,
,American Indian,,,,,,,,,,,
,International,27,28.6%,13,225.0%,,,,,40,60.0%,
,Unknown/Other,,,2,100.0%,,,,,2,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,5,25.0%,,,,,,,5,25.0%,
,22-25,20,25.0%,28,600.0%,,,,,48,140.0%,
,26-30,1,0.0%,12,1100.0%,,,,,13,550.0%,
,31-39,1,100.0%,6,500.0%,,,,,7,600.0%,
,40+,,,6,500.0%,,,,,6,500.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,2,100.0%,,,,,2,100.0%,
,1st Time Transfer,,,,,,,,,,,
,Re-Admitted,,,,,,,,,,,
,Continuing,27,28.6%,50,733.3%,,,,,77,185.2%,
Tuition,Resident Tuition,,,34,1600.0%,,,,,34,1600.0%,
Status,Non-Resident Tuition,27,28.6%,7,75.0%,,,,,34,36.0%,
,Tuition Exemption/Waiver,,,11,1000.0%,,,,,11,1000.0%,
Residency,Texas Resident,,,34,1600.0%,,,,,34,1600.0%,
Status,"Non-TX, US Resident",,,5,400.0%,,,,,5,400.0%,
,"Non-TX, Non-US Resident",27,28.6%,13,225.0%,,,,,40,60.0%,
SCH,< 6 SCH,,,34,3300.0%,,,,,34,3300.0%,
Categories,6-8 SCH,,,4,100.0%,,,,,4,100.0%,
,9-11 SCH,2,100.0%,6,100.0%,,,,,8,700.0%,
,12-14 SCH,16,14.3%,6,100.0%,,,,,22,29.4%,
,15-17 SCH,9,50.0%,2,100.0%,,,,,11,57.1%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,31,3000.0%,,,,,31,3000.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",2,100.0%,7,250.0%,,,,,"7
2","250.0%
100.0%",
,Full-Time,25,25.0%,14,250.0%,,,,,39,62.5%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
