Demographic Summary by Classification,,,,,,,
Graduate Students Spring 2002,,,,,,,
Spring 2002,,"PB
Non-Degreed",Masters,Doctoral,"GR
Conditional","GRAND
Total",
Head Count,Total,401,3864,2912,22,7199,
Gender,Female,227,1497,1055,13,2792,
,Male,174,2367,1857,9,4407,
Ethnicity,White,257,2007,1290,16,3570,
,Black,31,57,84,1,173,
,Hispanic,46,174,136,2,358,
,Asian,10,76,48,,134,
,American Indian,,6,9,,15,
,International,49,1499,1318,3,2869,
,Unknown/Other,8,45,27,,80,
TAMU Age,18-21,2,9,,,11,
Categories,22-25,100,1763,135,7,2005,
,26-30,93,1278,951,4,2326,
,31-39,101,580,1227,4,1912,
,40+,105,234,599,7,945,
College,Agriculture,37,583,521,1,1142,
,Architecture,9,306,95,,410,
,Business Admin,7,727,71,2,807,
,Education,172,364,605,1,1142,
,Engineering,39,1084,741,4,1868,
,Geosciences,18,144,113,2,277,
,G. Bush School of Govt,26,47,,1,74,
,Liberal Arts,24,292,352,3,671,
,Science,25,243,332,7,607,
,Veterinary Medicine,7,59,82,1,149,
,Other - Special Populations,37,15,,,52,
Enrollment,1st Time Graduate,1,293,84,7,385,
Status,Re-Admitted,,19,7,,26,
,Continuing,400,3552,2821,15,6788,
Tuition Status,Resident Tuition,327,1771,1086,9,3193,
,Non-Resident Tuition,28,505,405,3,941,
,Tuition Exemption/Waiver,46,1588,1421,10,3065,
Residency,Texas Resident,336,1788,1091,10,3225,
Status,"Non-TX, US Resident",17,576,495,9,1097,
,"Non-TX, Non-US Resident",48,1500,1326,3,2877,
SCH,< 6 SCH,175,487,738,3,1403,
Categories,6-8 SCH,149,238,159,1,547,
,9-11 SCH,50,2261,1867,12,4190,
,12-14 SCH,14,658,116,6,794,
,15-17 SCH,11,201,31,,243,
,>17 SCH,2,19,1,,22,
Ft/Pt:  TAMU,Less Than Half Time,155,394,625,2,1176,
Status,Half-Time,169,321,260,2,752,
,Full-Time,77,3149,2027,18,5271,
"Prepared by OISP, 19 Mar 02",,,,,,,
