Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Engineering,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,6975,-0.4%,1127,0.5%,741,1.6%,,,8843,-0.1%,
Gender,Female,1394,-0.9%,196,-12.5%,108,11.3%,,,1698,-1.7%,
,Male,5581,-0.3%,931,3.8%,633,0.2%,,,7145,0.3%,
Ethnicity,White,5240,0.2%,228,-0.9%,107,-15.1%,,,5575,-0.2%,
,Black,197,0.0%,10,25.0%,10,25.0%,,,217,1.9%,
,Hispanic,713,0.8%,29,20.8%,4,-42.9%,,,746,1.1%,
,Asian,446,-5.1%,20,11.1%,9,-35.7%,,,475,-5.4%,
,American Indian,28,-12.5%,,,,,,,28,-12.5%,
,International,243,0.0%,837,-0.4%,609,6.5%,,,1689,2.1%,
,Unknown/Other,108,-15.0%,3,200.0%,2,0.0%,,,113,-13.1%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,3486,-6.5%,5,66.7%,,,,,3491,-6.5%,
,22-25,3142,8.0%,602,-1.0%,39,44.4%,,,3783,6.8%,
,26-30,241,-4.7%,364,0.0%,303,0.3%,,,908,-1.2%,
,31-39,81,-8.0%,126,0.0%,345,0.3%,,,552,-1.1%,
,40+,24,-7.7%,30,50.0%,54,-3.6%,,,108,5.9%,
Enrollment,1st Time in College,25,38.9%,,,,,,,25,38.9%,
Status,1st Time PB,4,-60.0%,,,,,,,4,-60.0%,
,1st Time Graduate,,,110,31.0%,34,9.7%,,,144,25.2%,
,1st Time Transfer,131,-0.8%,,,,,,,131,-0.8%,
,Re-Admitted,38,-24.0%,5,100.0%,1,100.0%,,,44,-12.0%,
,Continuing,6777,-0.3%,1012,-2.4%,706,1.1%,,,8495,-0.4%,
Tuition,Resident Tuition,6380,-0.2%,212,7.1%,82,-10.9%,,,6674,-0.1%,
Status,Non-Resident Tuition,329,0.6%,258,11.2%,129,4.0%,,,716,4.8%,
,Tuition Exemption/Waiver,266,-7.0%,657,-4.9%,530,3.3%,,,1453,-2.5%,
Residency,Texas Resident,6401,0.1%,214,8.1%,83,-10.8%,,,6698,0.1%,
Status,"Non-TX, US Resident",327,-9.4%,75,-8.5%,49,-19.7%,,,451,-10.5%,
,"Non-TX, Non-US Resident",247,0.4%,838,-0.4%,609,5.9%,,,1694,1.9%,
SCH,< 6 SCH,155,-28.6%,122,10.9%,108,-5.3%,,,385,-12.7%,
Categories,6-8 SCH,156,0.6%,38,0.0%,9,-35.7%,,,203,-1.9%,
,9-11 SCH,290,-6.5%,896,1.9%,592,3.1%,,,1778,0.9%,
,12-14 SCH,4305,-1.3%,65,-27.8%,29,20.8%,,,4399,-1.7%,
,15-17 SCH,1968,7.1%,6,50.0%,3,0.0%,,,1977,7.2%,
,>17 SCH,101,-17.2%,,,,,,,101,-17.2%,
Ft/Pt:,Less Than Half Time,46,-78.8%,102,0.0%,99,-6.6%,,,247,-41.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","155
287","0.0%
-7.4%",57,23.9%,16,-27.3%,,,"228
287","2.2%
-7.4%",
,Full-Time,6487,2.6%,968,-0.5%,626,4.2%,,,8081,2.3%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
