Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Science,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1666,1.4%,275,16.5%,332,-5.7%,,,2273,1.9%,
Gender,Female,1017,3.9%,103,33.8%,101,-8.2%,,,1221,4.7%,
,Male,649,-2.3%,172,8.2%,231,-4.5%,,,1052,-1.2%,
Ethnicity,White,1282,2.6%,126,12.5%,119,-8.5%,,,1527,2.3%,
,Black,54,17.4%,4,-33.3%,3,-40.0%,,,61,7.0%,
,Hispanic,178,-4.3%,13,225.0%,7,-22.2%,,,198,-0.5%,
,Asian,110,0.9%,9,0.0%,10,42.9%,,,129,3.2%,
,American Indian,3,200.0%,,,2,0.0%,,,5,66.7%,
,International,10,11.1%,120,17.6%,189,-4.5%,,,319,3.2%,
,Unknown/Other,29,-31.0%,3,0.0%,2,100.0%,,,34,-26.1%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,1090,-1.7%,2,-33.3%,,,,,1092,-1.8%,
,22-25,540,8.2%,134,18.6%,39,-11.4%,,,713,8.7%,
,26-30,22,-12.0%,83,12.2%,176,-4.9%,,,281,-1.1%,
,31-39,6,-14.3%,40,17.6%,103,-6.4%,,,149,-1.3%,
,40+,7,133.3%,16,33.3%,14,7.7%,,,37,32.1%,
Enrollment,1st Time in College,7,0.0%,,,,,,,7,0.0%,
Status,1st Time PB,4,100.0%,,,,,,,4,100.0%,
,1st Time Graduate,,,15,7.1%,2,-50.0%,,,17,-5.6%,
,1st Time Transfer,31,0.0%,,,,,,,31,0.0%,
,Re-Admitted,6,50.0%,,,,,,,6,50.0%,
,Continuing,1618,1.2%,260,17.1%,330,-5.2%,,,2208,1.8%,
Tuition,Resident Tuition,1572,2.2%,84,23.5%,54,-11.5%,,,1710,2.6%,
Status,Non-Resident Tuition,41,7.9%,15,-40.0%,29,-37.0%,,,85,-22.0%,
,Tuition Exemption/Waiver,53,-20.9%,176,23.1%,249,1.6%,,,478,5.1%,
Residency,Texas Resident,1576,2.3%,86,26.5%,55,-9.8%,,,1717,2.8%,
Status,"Non-TX, US Resident",79,-15.1%,68,3.0%,84,-8.7%,,,231,-8.0%,
,"Non-TX, Non-US Resident",11,22.2%,121,18.6%,193,-3.0%,,,325,4.8%,
SCH,< 6 SCH,11,-38.9%,20,-9.1%,21,-36.4%,,,52,-28.8%,
Categories,6-8 SCH,30,20.0%,18,260.0%,9,350.0%,,,57,78.1%,
,9-11 SCH,57,5.6%,214,13.2%,298,-4.5%,,,569,2.5%,
,12-14 SCH,1049,3.0%,22,10.0%,2,0.0%,,,1073,3.2%,
,15-17 SCH,486,-0.6%,1,100.0%,2,-33.3%,,,489,-0.6%,
,>17 SCH,33,-15.4%,,,,,,,33,-15.4%,
Ft/Pt:,Less Than Half Time,8,-55.6%,18,0.0%,19,-36.7%,,,45,-31.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","26
49","4.0%
-9.3%",17,88.9%,5,0.0%,,,"48
49","23.1%
-9.3%",
,Full-Time,1583,2.4%,240,14.8%,308,-2.8%,,,2131,2.8%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
