Demographic Summary,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,
College Architecture,,,,,,,,,,,,
Spring 2002,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1328,-3.2%,315,24.0%,95,15.9%,,,1738,1.8%,
Gender,Female,446,2.1%,114,21.3%,24,41.2%,,,584,6.6%,
,Male,882,-5.7%,201,25.6%,71,9.2%,,,1154,-0.5%,
Ethnicity,White,1130,-1.5%,131,4.8%,34,25.9%,,,1295,-0.3%,
,Black,15,-11.8%,2,-33.3%,3,0.0%,,,20,-13.0%,
,Hispanic,106,-18.5%,14,16.7%,2,0.0%,,,122,-15.3%,
,Asian,31,29.2%,8,14.3%,2,0.0%,,,41,24.2%,
,American Indian,9,50.0%,1,0.0%,,,,,10,42.9%,
,International,11,-35.3%,156,48.6%,53,12.8%,,,220,30.2%,
,Unknown/Other,26,-16.1%,3,200.0%,1,0.0%,,,30,-9.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,548,-12.2%,0,-100.0%,,,,,548,-12.3%,
,22-25,721,3.6%,115,38.6%,1,-50.0%,,,837,7.2%,
,26-30,40,14.3%,138,19.0%,16,-5.9%,,,194,15.5%,
,31-39,16,23.1%,50,22.0%,53,26.2%,,,119,24.0%,
,40+,3,-25.0%,12,-7.7%,25,19.0%,,,40,5.3%,
Enrollment,1st Time in College,2,-33.3%,,,,,,,2,-33.3%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,16,60.0%,2,0.0%,,,18,50.0%,
,1st Time Transfer,40,33.3%,,,,,,,40,33.3%,
,Re-Admitted,6,-40.0%,4,100.0%,1,100.0%,,,11,10.0%,
,Continuing,1280,-3.5%,295,20.9%,92,15.0%,,,1667,1.0%,
Tuition,Resident Tuition,1277,-2.4%,131,9.2%,34,25.9%,,,1442,-0.9%,
Status,Non-Resident Tuition,27,-22.9%,49,8.9%,22,0.0%,,,98,-3.9%,
,Tuition Exemption/Waiver,24,-17.2%,135,51.7%,39,18.2%,,,198,31.1%,
Residency,Texas Resident,1277,-2.4%,132,10.0%,34,25.9%,,,1443,-0.8%,
Status,"Non-TX, US Resident",40,-14.9%,27,-6.9%,8,0.0%,,,75,-10.7%,
,"Non-TX, Non-US Resident",11,-35.3%,156,48.6%,53,12.8%,,,220,30.2%,
SCH,< 6 SCH,9,12.5%,44,37.5%,32,18.5%,,,85,26.9%,
Categories,6-8 SCH,51,21.4%,12,-20.0%,6,20.0%,,,69,11.3%,
,9-11 SCH,97,16.9%,112,23.1%,45,7.1%,,,254,17.6%,
,12-14 SCH,763,-4.6%,106,24.7%,10,233.3%,,,879,-1.0%,
,15-17 SCH,378,-8.5%,40,37.9%,1,-75.0%,,,419,-6.1%,
,>17 SCH,30,15.4%,1,-50.0%,1,0.0%,,,32,10.3%,
Ft/Pt:,Less Than Half Time,8,0.0%,37,23.3%,27,12.5%,,,72,16.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","50
97","19.0%
16.9%",19,11.8%,11,37.5%,,,"80
97","19.4%
16.9%",
,Full-Time,1173,-5.3%,259,25.1%,57,14.0%,,,1489,-0.5%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,
