Headcount by Major by Ethnic Origin,,,,,,,,,,,,,,,,,,
Spring 2002,,,,,,,,,,,,,,,,,,
Spring 2002,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,21,-16.0%,6,100.0%,1,100.0%,1,-66.7%,1,-50.0%,11,-8.3%,3,200.0%,36,-5.3%,
,ESCI,12,-14.3%,,,2,0.0%,,,,,,,,,14,-12.5%,
,GEOG,152,0.0%,,,13,-7.1%,,,,,9,80.0%,1,-50.0%,183,1.1%,
,GEOL,121,-4.7%,,,9,0.0%,3,0.0%,0,-100.0%,27,-15.6%,3,50.0%,163,-6.3%,
,GEOP,23,-8.0%,,,1,0.0%,2,100.0%,1,0.0%,27,-18.2%,1,0.0%,55,-9.8%,
,GEOS,3,0.0%,,,,,,,,,1,0.0%,0,-100.0%,4,-20.0%,
,METR,125,1.6%,1,0.0%,6,0.0%,2,100.0%,1,100.0%,3,-57.1%,0,-100.0%,138,-1.4%,
,OCNG,47,9.3%,,,2,0.0%,1,0.0%,,,29,11.5%,1,-50.0%,80,8.1%,
,Subtotal,504,-1.6%,7,75.0%,34,0.0%,9,12.5%,3,-25.0%,107,-7.8%,9,-18.2%,673,-2.3%,
G. Bush School,BUSH,59,34.1%,3,50.0%,7,133.3%,0,-100.0%,1,100.0%,3,50.0%,1,100.0%,74,42.3%,
of Govt,Subtotal,59,34.1%,3,50.0%,7,133.3%,0,-100.0%,1,100.0%,3,50.0%,1,100.0%,74,42.3%,
Liberal Arts,AMST,13,100.0%,,,1,100.0%,,,,,,,,,14,100.0%,
,ANTH,196,8.9%,1,0.0%,26,30.0%,5,0.0%,2,100.0%,12,-7.7%,2,-60.0%,244,8.9%,
,ANTL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,ECOL,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,ECON,531,23.5%,9,50.0%,47,14.6%,22,29.4%,4,33.3%,74,-3.9%,13,44.4%,700,20.1%,
,ENGL,567,-4.2%,12,9.1%,46,-17.9%,4,-33.3%,4,300.0%,24,20.0%,10,0.0%,667,-4.2%,
,ENLL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,FREN,13,44.4%,0,-100.0%,0,-100.0%,,,,,,,,,13,18.2%,
,GERM,7,16.7%,,,,,1,0.0%,0,-100.0%,,,0,-100.0%,8,-11.1%,
,HIST,468,3.5%,10,-23.1%,59,1.7%,7,-30.0%,7,16.7%,,,13,-7.1%,564,2.0%,
,INTS,193,8.4%,10,25.0%,48,11.6%,9,28.6%,,,1,-75.0%,2,-33.3%,263,8.2%,
,JOUL,0,-100.0%,,,0,-100.0%,,,,,,,0,-100.0%,0,-100.0%,
,JOUR,664,3.9%,20,-4.8%,58,-3.3%,12,-20.0%,5,66.7%,5,400.0%,8,-33.3%,772,2.8%,
,MODL,9,50.0%,,,5,25.0%,,,,,3,0.0%,,,17,30.8%,
,MOLL,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,MUSC,18,100.0%,2,100.0%,3,100.0%,,,,,,,,,23,100.0%,
,PHIL,89,20.3%,,,6,200.0%,5,25.0%,,,1,100.0%,5,-16.7%,106,23.3%,
,POLL,1,0.0%,,,0,-100.0%,,,,,,,,,1,-50.0%,
,POLS,771,14.4%,15,-31.8%,96,24.7%,17,30.8%,7,16.7%,11,-15.4%,11,0.0%,928,13.7%,
,PSYC,1156,9.3%,50,2.0%,150,-1.3%,45,-2.2%,8,14.3%,10,11.1%,18,-40.0%,1437,6.4%,
,PSYL,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,RUSS,9,50.0%,,,,,,,,,,,0,-100.0%,9,28.6%,
,SCOL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,SCOM,668,20.4%,13,-27.8%,69,16.9%,14,7.7%,7,40.0%,5,66.7%,14,0.0%,790,18.4%,
,SOCI,228,12.9%,12,0.0%,31,-6.1%,9,0.0%,1,0.0%,23,-4.2%,3,-25.0%,307,7.7%,
,SOCL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,SPAN,39,-18.8%,,,16,-33.3%,1,0.0%,,,1,0.0%,1,0.0%,58,-22.7%,
,STJR,8,0.0%,,,,,0,-100.0%,0,-100.0%,5,-16.7%,0,-100.0%,13,-23.5%,
,TCMS,13,100.0%,1,100.0%,3,100.0%,,,,,,,1,100.0%,18,100.0%,
,THAR,36,-10.0%,4,100.0%,11,10.0%,0,-100.0%,,,,,,,51,-3.8%,
,Subtotal,5697,10.1%,159,-3.0%,675,4.7%,151,1.3%,45,32.4%,175,0.0%,101,-17.9%,7003,8.3%,
"Prepared by OISP, 19 Mar 02",,,,,,,,,,,,,,,,,,
